word,properties,codes,frequencies
abominable,"['Causes moral revulsion', 'Elicits intense hatred', 'Makes you recoil', 'Exceptionally unpleasant', 'Completely unacceptable']","['introspective', 'introspective', 'introspective', 'introspective', 'introspective']","[0.0, 0.0, 0.0, 1.0]"
accessible,"['Easy to enter', 'Without barriers', 'Usable by anyone', 'Accommodates disabilities', 'Features ramps']","['entity', 'entity', 'entity', 'situation', 'entity']","[0.0, 0.8, 0.2, 0.0]"
accurate,"['Matches the facts', 'Zero mistakes', 'Hits the bullseye', 'Perfect aim', 'Flawless measurement']","['entity', 'entity', 'situation', 'entity', 'entity']","[0.0, 0.8, 0.2, 0.0]"
accusation,"['Pointed finger', '""You did it!""', 'Statement of wrongdoing', 'Triggers a denial', 'Needs proof']","['situation', 'situation', 'taxonomic', 'situation', 'introspective']","[0.2, 0.0, 0.6, 0.2]"
admiration,"['Looking up to someone', 'Toward a role model', 'Sparked by great achievements', 'Thinking highly of them', 'Wanting to be like them']","['introspective', 'situation', 'situation', 'introspective', 'introspective']","[0.0, 0.0, 0.4, 0.6]"
adoring,"['Warmly gazing', 'Completely devoted', 'Seeing no flaws', 'Staring with pure wonder', 'How superfans look at idols']","['entity', 'entity', 'introspective', 'entity', 'situation']","[0.0, 0.6, 0.2, 0.2]"
affection,"['Warm feeling', 'Gentle touch', 'Caring behavior', 'Expressed physically', 'Involves hugging']","['entity', 'situation', 'situation', 'situation', 'situation']","[0.0, 0.2, 0.8, 0.0]"
affirmation,"['Positive phrase', 'Repeated to oneself', 'Said in a mirror', 'Boosts self-esteem', 'Fosters self-belief']","['entity', 'situation', 'situation', 'situation', 'situation']","[0.0, 0.2, 0.8, 0.0]"
affordable,"['Fits budget', 'Within financial reach', 'Manageable cost', 'Easy to pay for', 'No financial strain']","['entity', 'entity', 'entity', 'situation', 'introspective']","[0.0, 0.6, 0.2, 0.2]"
aging,"['Causes wrinkles', 'Turns hair gray', 'Gradual physical decline', 'Improves wine and cheese', 'Loss of youth']","['entity', 'entity', 'entity', 'situation', 'entity']","[0.0, 0.8, 0.2, 0.0]"
agitation,"['Cannot sit still', 'Constant pacing', 'Wringing hands', 'Trembling', 'Bothered mood']","['entity', 'entity', 'entity', 'entity', 'introspective']","[0.0, 0.8, 0.0, 0.2]"
agree,"['Nodding head', 'Saying ""yes""', 'Same opinion', 'No arguing', 'Shaking hands']","['situation', 'situation', 'entity', 'introspective', 'situation']","[0.0, 0.2, 0.6, 0.2]"
amazing,"['Dropped jaw', 'Wide eyes', 'Sudden positive surprise', 'Watching a magic trick', 'Hard to believe']","['entity', 'entity', 'introspective', 'situation', 'introspective']","[0.0, 0.4, 0.2, 0.4]"
amused,"['Slight smile', 'Chuckling', 'After a joke', 'Finding something funny', 'Lighthearted feeling']","['entity', 'entity', 'situation', 'introspective', 'introspective']","[0.0, 0.4, 0.2, 0.4]"
angry,"['Clenched fists', 'Furrowed brow', 'Red face', 'Urge to yell', 'After being wronged']","['entity', 'entity', 'entity', 'introspective', 'situation']","[0.0, 0.6, 0.2, 0.2]"
angst,"['Peaks during adolescence', 'Inner turmoil', 'Existential crisis', 'Feeling misunderstood', 'Causes brooding']","['situation', 'entity', 'entity', 'introspective', 'situation']","[0.0, 0.4, 0.4, 0.2]"
annoyed,"['Rolling eyes', 'Heavy sigh', 'Losing patience', 'After a minor inconvenience', 'Wishing something would stop']","['entity', 'entity', 'entity', 'situation', 'introspective']","[0.0, 0.6, 0.2, 0.2]"
anxious,"['Racing heart', 'Sweaty palms', 'Biting your nails', 'Overthinking the future', 'Expecting a bad outcome']","['entity', 'entity', 'situation', 'introspective', 'introspective']","[0.0, 0.4, 0.2, 0.4]"
appeal,"['Sent to a higher court', 'Filed after losing a trial', ""Challenges a judge's decision"", 'Aims to overturn a ruling', 'Asks for official review']","['situation', 'introspective', 'situation', 'situation', 'situation']","[0.0, 0.0, 0.8, 0.2]"
appreciation,"['After a kind favor', 'Seeing the true worth', 'Not taking for granted', 'Noticing extra effort', 'Taught in art classes']","['situation', 'introspective', 'introspective', 'introspective', 'situation']","[0.0, 0.0, 0.4, 0.6]"
apprehensive,"['Anticipating an unpleasant outcome', 'Butterflies in stomach', 'Holding back', 'Before facing the unknown', 'Imagining the worst']","['introspective', 'introspective', 'situation', 'situation', 'introspective']","[0.0, 0.0, 0.4, 0.6]"
ashamed,"['Lowered head', 'Avoiding eye contact', 'After doing something wrong', 'Loss of pride', 'Wanting to hide']","['entity', 'entity', 'situation', 'entity', 'introspective']","[0.0, 0.6, 0.2, 0.2]"
assassinate,"['End a life', 'Target prominent leaders', 'Political motives', 'Secretly planned', 'Surprise attack']","['situation', 'situation', 'situation', 'situation', 'situation']","[0.0, 0.0, 1.0, 0.0]"
astonished,"['Wide eyes', 'Dropped jaw', 'Sudden disbelief', 'Loss for words', 'Encountering the unbelievable']","['entity', 'entity', 'introspective', 'introspective', 'situation']","[0.0, 0.4, 0.2, 0.4]"
atrocity,"['Extremely wicked act', 'Severe violence', 'Occurs during war', 'Causes intense horror', 'Targets innocent people']","['entity', 'entity', 'situation', 'introspective', 'situation']","[0.0, 0.4, 0.4, 0.2]"
avenge,"['After a wrong', 'Punish the offender', 'Harm in return', 'For a victim', 'Restore justice']","['situation', 'situation', 'situation', 'situation', 'situation']","[0.0, 0.0, 1.0, 0.0]"
