word,properties,codes,frequencies
ability,[''],[],"[0, 0, 0, 0]"
accusation,"['trial', 'conspiracy', 'fingerprint', 'liability']","['other abstract concept', 'social constellation', 'sensorimotor feature', 'other abstract concept']","[0.25, 0.0, 0.25, 0.5]"
achievement,[''],[],"[0, 0, 0, 0]"
activity,"['sports', 'party', 'festival', 'workout']","['sensorimotor feature', 'social constellation', 'social constellation', 'sensorimotor feature']","[0.5, 0.0, 0.5, 0.0]"
addiction,"['rehab', 'pill bottle', 'control freak', 'inner demons']","['association', 'sensorimotor feature', 'internal state and emotion', 'internal state and emotion']","[0.25, 0.5, 0.0, 0.25]"
admiration,"['heroism', 'paintings', 'gratitude', 'butterflies']","['other abstract concept', 'association', 'internal state and emotion', 'sensorimotor feature']","[0.25, 0.25, 0.0, 0.5]"
advantage,"['1. negotiator', '2. competition', '3. strength training', '4. insurance plan']","['social constellation', 'social constellation', 'sensorimotor feature', 'association']","[0.25, 0.0, 0.5, 0.25]"
adventure,"['jungle temple', 'ancient map', 'treasure chest', 'midnight sky']","['sensorimotor feature', 'association', 'association', 'association']","[0.25, 0.0, 0.0, 0.75]"
advice,"['lawyer', 'mentorship', 'hardwired', 'diary']","['association', 'social constellation', 'other abstract concept', 'association']","[0.0, 0.0, 0.25, 0.75]"
agony,"['hospitals', 'darkness', 'despair', 'scar']","['association', 'sensorimotor feature', 'internal state and emotion', 'sensorimotor feature']","[0.5, 0.25, 0.0, 0.25]"
agreement,[''],[],"[0, 0, 0, 0]"
amazement,[''],[],"[0, 0, 0, 0]"
ambition,"['firework', 'journey', 'trophy', 'mentorship']","['association', 'other abstract concept', 'association', 'social constellation']","[0.0, 0.0, 0.25, 0.75]"
ambush,[''],[],"[0, 0, 0, 0]"
amusement,[''],[],"[0, 0, 0, 0]"
anger,"['eye contact', 'fist punch', 'aggressive shouting', 'road rage']","['social constellation', 'sensorimotor feature', 'sensorimotor feature', 'association']","[0.5, 0.0, 0.25, 0.25]"
anxiety,"['heartbeat', 'coffee', 'darkness', 'secret']","['sensorimotor feature', 'association', 'association', 'association']","[0.25, 0.0, 0.0, 0.75]"
apology,"['forgiveness', 'tearful', 'handwritten note', 'remorse']","['other abstract concept', 'internal state and emotion', 'association', 'internal state and emotion']","[0.0, 0.5, 0.0, 0.5]"
appearance,[''],[],"[0, 0, 0, 0]"
appetite,"['water', 'breakfast', 'restaurants', 'food craving']","['sensorimotor feature', 'association', 'association', 'internal state and emotion']","[0.25, 0.25, 0.0, 0.5]"
application,"['interview', 'software', 'university', 'approval']","['social constellation', 'association', 'association', 'internal state and emotion']","[0.0, 0.25, 0.25, 0.5]"
aptitude,"['sports', 'intelligence', 'puzzle', 'talent']","['sensorimotor feature', 'other abstract concept', 'association', 'other abstract concept']","[0.25, 0.0, 0.0, 0.75]"
argument,"['chaos', 'family', 'lawyer', 'disagreement']","['association', 'social constellation', 'social constellation', 'other abstract concept']","[0.0, 0.0, 0.5, 0.5]"
art,[''],[],"[0, 0, 0, 0]"
