word,properties,codes,frequencies
ability,"['skill', 'talent', 'potential', 'competence']","['other abstract concept', 'other abstract concept', 'other abstract concept', 'other abstract concept']","[0.0, 0.0, 0.0, 1.0]"
accusation,"['finger', 'courtroom', 'denial', 'guilt']","['sensorimotor feature', 'social constellation', 'internal state and emotion', 'internal state and emotion']","[0.25, 0.5, 0.25, 0.0]"
achievement,"['trophy', 'milestone', 'sweat', 'celebration']","['association', 'other abstract concept', 'sensorimotor feature', 'social constellation']","[0.25, 0.0, 0.25, 0.5]"
activity,"['buzzing', 'playground', 'schedule', 'sweat']","['sensorimotor feature', 'social constellation', 'other abstract concept', 'sensorimotor feature']","[0.5, 0.0, 0.25, 0.25]"
addiction,"['craving', 'withdrawal', 'gambling', 'spiral']","['internal state and emotion', 'internal state and emotion', 'association', 'association']","[0.0, 0.5, 0.0, 0.5]"
admiration,"['pedestal', 'gaze', 'achievement', 'applause']","['association', 'sensorimotor feature', 'other abstract concept', 'social constellation']","[0.25, 0.0, 0.25, 0.5]"
advantage,"['edge', 'competition', 'chess', 'leverage']","['sensorimotor feature', 'social constellation', 'association', 'other abstract concept']","[0.25, 0.0, 0.25, 0.5]"
adventure,"['jungle', 'treasure', 'compass', 'unknown']","['sensorimotor feature', 'association', 'sensorimotor feature', 'other abstract concept']","[0.5, 0.0, 0.0, 0.5]"
advice,"['mentor', 'column', 'unsolicited', 'wisdom']","['social constellation', 'association', 'internal state and emotion', 'other abstract concept']","[0.0, 0.25, 0.25, 0.5]"
agony,"['scream', 'wound', 'writhing', 'hospital']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'association']","[0.75, 0.0, 0.0, 0.25]"
agreement,"['handshake', 'contract', 'nod', 'compromise']","['sensorimotor feature', 'other abstract concept', 'sensorimotor feature', 'other abstract concept']","[0.5, 0.0, 0.0, 0.5]"
amazement,"['wide eyes', 'magic trick', 'gasp', 'unexpected']","['sensorimotor feature', 'association', 'sensorimotor feature', 'internal state and emotion']","[0.5, 0.25, 0.0, 0.25]"
ambition,"['ladder', 'fire', 'sleepless', 'summit']","['association', 'association', 'internal state and emotion', 'association']","[0.0, 0.25, 0.0, 0.75]"
ambush,"['jungle', 'surprise', 'hidden', 'predator']","['association', 'internal state and emotion', 'sensorimotor feature', 'association']","[0.25, 0.25, 0.0, 0.5]"
amusement,"['roller coaster', 'laughter', 'carnival', 'popcorn']","['sensorimotor feature', 'internal state and emotion', 'association', 'association']","[0.25, 0.25, 0.0, 0.5]"
anger,"['fist', 'red', 'shout', 'volcano']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'association']","[0.75, 0.0, 0.0, 0.25]"
anxiety,"['sweating', 'exam', 'sleepless', 'knot']","['sensorimotor feature', 'association', 'internal state and emotion', 'sensorimotor feature']","[0.5, 0.25, 0.0, 0.25]"
apology,"['regret', 'letter', 'forgiveness', 'sincerity']","['internal state and emotion', 'association', 'other abstract concept', 'internal state and emotion']","[0.0, 0.5, 0.0, 0.5]"
appearance,"['mirror', 'first impression', 'costume', 'deceptive']","['sensorimotor feature', 'social constellation', 'sensorimotor feature', 'internal state and emotion']","[0.5, 0.25, 0.25, 0.0]"
appetite,"['hunger', 'buffet', 'growling', 'suppression']","['sensorimotor feature', 'association', 'sensorimotor feature', 'internal state and emotion']","[0.5, 0.25, 0.0, 0.25]"
application,"['resume', 'software', 'rejection', 'form']","['association', 'association', 'internal state and emotion', 'association']","[0.0, 0.25, 0.0, 0.75]"
aptitude,"['test', 'talent', 'learning', 'potential']","['association', 'other abstract concept', 'other abstract concept', 'other abstract concept']","[0.0, 0.0, 0.0, 1.0]"
argument,"['heated', 'debate', 'fists', 'resolution']","['internal state and emotion', 'social constellation', 'sensorimotor feature', 'other abstract concept']","[0.25, 0.25, 0.25, 0.25]"
art,"['canvas', 'museum', 'creativity', 'brush']","['sensorimotor feature', 'association', 'internal state and emotion', 'sensorimotor feature']","[0.5, 0.25, 0.0, 0.25]"
aspect,"['facet', 'viewpoint', 'ratio', 'consideration']","['other abstract concept', 'other abstract concept', 'other abstract concept', 'internal state and emotion']","[0.0, 0.25, 0.0, 0.75]"
assassination,"['president', 'bullet', 'conspiracy', 'shadow']","['social constellation', 'sensorimotor feature', 'association', 'association']","[0.25, 0.0, 0.25, 0.5]"
assumption,"['leap', 'risk', 'unverified', 'foundation']","['sensorimotor feature', 'internal state and emotion', 'other abstract concept', 'association']","[0.25, 0.25, 0.0, 0.5]"
astonishment,"['gasp', 'wide-eyes', 'unexpected', 'thunderbolt']","['sensorimotor feature', 'sensorimotor feature', 'other abstract concept', 'association']","[0.5, 0.0, 0.0, 0.5]"
attack,"['sword', 'sudden', 'defend', 'heart']","['sensorimotor feature', 'other abstract concept', 'social constellation', 'association']","[0.25, 0.0, 0.25, 0.5]"
attention,"['spotlight', 'classroom', 'deficit', 'salute']","['association', 'social constellation', 'other abstract concept', 'sensorimotor feature']","[0.25, 0.0, 0.25, 0.5]"
attraction,"['magnet', 'roller coaster', 'chemistry', 'gravity']","['association', 'association', 'association', 'association']","[0.0, 0.0, 0.0, 1.0]"
beauty,"['mirror', 'rose', 'sunset', 'grace']","['sensorimotor feature', 'association', 'association', 'other abstract concept']","[0.25, 0.0, 0.0, 0.75]"
being,"['existence', 'alive', 'human', 'presence']","['other abstract concept', 'sensorimotor feature', 'social constellation', 'sensorimotor feature']","[0.5, 0.0, 0.25, 0.25]"
betrayal,"['knife', 'trust', 'shadow', 'tears']","['association', 'internal state and emotion', 'association', 'internal state and emotion']","[0.0, 0.5, 0.0, 0.5]"
blackmail,"['secret', 'envelope', 'leverage', 'threat']","['association', 'association', 'other abstract concept', 'internal state and emotion']","[0.0, 0.25, 0.0, 0.75]"
boredom,"['clock', 'yawn', 'rainy', 'fidget']","['association', 'sensorimotor feature', 'association', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
boycott,"['protest', 'refusal', 'brand', 'solidarity']","['social constellation', 'internal state and emotion', 'association', 'social constellation']","[0.0, 0.25, 0.5, 0.25]"
bravery,"['firefighter', 'lion', 'medal', 'cliff']","['association', 'association', 'association', 'association']","[0.0, 0.0, 0.0, 1.0]"
career,"['ladder', 'ambition', 'resume', 'promotion']","['sensorimotor feature', 'internal state and emotion', 'association', 'other abstract concept']","[0.25, 0.25, 0.0, 0.5]"
carefulness,"['tightrope', 'porcelain', 'surgeon', 'slow']","['association', 'association', 'association', 'sensorimotor feature']","[0.25, 0.0, 0.0, 0.75]"
catastrophe,"['earthquake', 'ruins', 'sirens', 'aftermath']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'association']","[0.75, 0.0, 0.0, 0.25]"
caution,"['yellow', 'tape', 'slippery', 'warning']","['association', 'association', 'sensorimotor feature', 'other abstract concept']","[0.25, 0.0, 0.0, 0.75]"
challenge,"['obstacle', 'growth', 'daring', 'competition']","['sensorimotor feature', 'other abstract concept', 'internal state and emotion', 'social constellation']","[0.25, 0.25, 0.25, 0.25]"
chaos,"['storm', 'shattered', 'labyrinth', 'carnival']","['sensorimotor feature', 'sensorimotor feature', 'association', 'association']","[0.5, 0.0, 0.0, 0.5]"
character,"['novel', 'strength', 'alphabet', 'reputation']","['association', 'sensorimotor feature', 'other abstract concept', 'social constellation']","[0.25, 0.0, 0.25, 0.5]"
charm,"['bracelet', 'spell', 'smile', 'lucky']","['association', 'association', 'sensorimotor feature', 'internal state and emotion']","[0.25, 0.25, 0.0, 0.5]"
comfort,"['blanket', 'couch', 'warm', 'home']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'association']","[0.75, 0.0, 0.0, 0.25]"
commitment,"['ring', 'dedication', 'promise', 'long-term']","['association', 'internal state and emotion', 'other abstract concept', 'other abstract concept']","[0.0, 0.25, 0.0, 0.75]"
comparison,"['chart', 'rival', 'shopping', 'microscope']","['association', 'social constellation', 'association', 'sensorimotor feature']","[0.25, 0.0, 0.25, 0.5]"
compassion,"['warmth', 'helping', 'tears', 'kindness']","['sensorimotor feature', 'social constellation', 'internal state and emotion', 'other abstract concept']","[0.25, 0.25, 0.25, 0.25]"
competence,"['skill', 'interview', 'confidence', 'threshold']","['sensorimotor feature', 'social constellation', 'internal state and emotion', 'other abstract concept']","[0.25, 0.25, 0.25, 0.25]"
compromise,"['negotiation', 'middle ground', 'sacrifice', 'agreement']","['social constellation', 'other abstract concept', 'internal state and emotion', 'other abstract concept']","[0.0, 0.25, 0.25, 0.5]"
compulsion,"['handwashing', 'urge', 'gambling', 'ritual']","['sensorimotor feature', 'internal state and emotion', 'association', 'association']","[0.25, 0.25, 0.0, 0.5]"
confession,"['priest', 'guilt', 'booth', 'secret']","['social constellation', 'internal state and emotion', 'sensorimotor feature', 'association']","[0.25, 0.25, 0.25, 0.25]"
conflict,"['war', 'tension', 'resolution', 'battlefield']","['association', 'internal state and emotion', 'other abstract concept', 'sensorimotor feature']","[0.25, 0.25, 0.0, 0.5]"
consideration,"['thoughtful', 'contract', 'weight', 'pause']","['internal state and emotion', 'association', 'sensorimotor feature', 'internal state and emotion']","[0.25, 0.5, 0.0, 0.25]"
consolation,"['prize', 'tears', 'embrace', 'loss']","['association', 'sensorimotor feature', 'sensorimotor feature', 'other abstract concept']","[0.5, 0.0, 0.0, 0.5]"
contempt,"['sneer', 'courtroom', 'disdain', 'superiority']","['sensorimotor feature', 'association', 'internal state and emotion', 'other abstract concept']","[0.25, 0.25, 0.0, 0.5]"
convention,"['lanyard', 'cosplay', 'hotel', 'keynote']","['association', 'association', 'association', 'association']","[0.0, 0.0, 0.0, 1.0]"
cooperation,"['teamwork', 'handshake', 'puzzle', 'bridge']","['social constellation', 'sensorimotor feature', 'association', 'other abstract concept']","[0.25, 0.0, 0.25, 0.5]"
courage,"['lion', 'battlefield', 'standing alone', 'heartbeat']","['association', 'association', 'social constellation', 'internal state and emotion']","[0.0, 0.25, 0.25, 0.5]"
creativity,"['spark', 'canvas', 'brainstorm', 'freedom']","['association', 'sensorimotor feature', 'internal state and emotion', 'other abstract concept']","[0.25, 0.25, 0.0, 0.5]"
crime,"['detective', 'punishment', 'alley', 'fingerprint']","['association', 'other abstract concept', 'sensorimotor feature', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
criticism,"['review', 'sting', 'growth', 'red pen']","['other abstract concept', 'sensorimotor feature', 'other abstract concept', 'association']","[0.25, 0.0, 0.0, 0.75]"
cruelty,"['cage', 'whip', 'tears', 'darkness']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'association']","[0.75, 0.0, 0.0, 0.25]"
culture,"['petri dish', 'traditions', 'museum', 'yogurt']","['association', 'social constellation', 'association', 'sensorimotor feature']","[0.25, 0.0, 0.25, 0.5]"
curiosity,"['cat', 'keyhole', 'child', 'exploration']","['association', 'association', 'social constellation', 'sensorimotor feature']","[0.25, 0.0, 0.25, 0.5]"
custom,"['tailor', 'tradition', 'border', 'unique']","['sensorimotor feature', 'association', 'other abstract concept', 'other abstract concept']","[0.25, 0.0, 0.0, 0.75]"
danger,"['warning', 'cliff', 'red', 'adrenaline']","['association', 'sensorimotor feature', 'association', 'internal state and emotion']","[0.25, 0.25, 0.0, 0.5]"
death,"['coffin', 'grief', 'silence', 'cold']","['sensorimotor feature', 'internal state and emotion', 'association', 'sensorimotor feature']","[0.5, 0.25, 0.0, 0.25]"
decision,"['crossroads', 'weight', 'judge', 'fork']","['association', 'sensorimotor feature', 'social constellation', 'association']","[0.25, 0.0, 0.25, 0.5]"
demand,"['strike', 'urgent', 'supply', 'negotiation']","['association', 'internal state and emotion', 'other abstract concept', 'social constellation']","[0.0, 0.25, 0.25, 0.5]"
desire,"['flame', 'longing', 'forbidden', 'pulse']","['association', 'internal state and emotion', 'other abstract concept', 'sensorimotor feature']","[0.25, 0.25, 0.0, 0.5]"
desperation,"['cliff', 'sweat', 'last-resort', 'drowning']","['association', 'sensorimotor feature', 'other abstract concept', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
destruction,"['rubble', 'tornado', 'aftermath', 'demolition']","['sensorimotor feature', 'association', 'association', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
detection,"['magnifying glass', 'clue', 'alarm', 'hidden']","['sensorimotor feature', 'association', 'association', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
dictatorship,"['oppression', 'propaganda', 'military', 'censorship']","['internal state and emotion', 'association', 'association', 'association']","[0.0, 0.25, 0.0, 0.75]"
difference,"['gap', 'opinion', 'subtraction', 'unique']","['sensorimotor feature', 'internal state and emotion', 'other abstract concept', 'other abstract concept']","[0.25, 0.25, 0.0, 0.5]"
difficulty,"['mountain', 'struggle', 'sweat', 'puzzle']","['association', 'internal state and emotion', 'sensorimotor feature', 'association']","[0.25, 0.25, 0.0, 0.5]"
dignity,"['posture', 'respect', 'courtroom', 'silence']","['sensorimotor feature', 'internal state and emotion', 'association', 'sensorimotor feature']","[0.5, 0.25, 0.0, 0.25]"
diligence,"['homework', 'ant', 'persistence', 'deadline']","['sensorimotor feature', 'association', 'internal state and emotion', 'other abstract concept']","[0.25, 0.25, 0.0, 0.5]"
disadvantage,"['underdog', 'obstacle', 'unfair', 'competition']","['social constellation', 'sensorimotor feature', 'other abstract concept', 'social constellation']","[0.25, 0.0, 0.5, 0.25]"
disappointment,"['sigh', 'expectations', 'hollow', 'rain']","['sensorimotor feature', 'internal state and emotion', 'sensorimotor feature', 'association']","[0.5, 0.25, 0.0, 0.25]"
discovery,"['eureka', 'expedition', 'unknown', 'microscope']","['internal state and emotion', 'association', 'other abstract concept', 'sensorimotor feature']","[0.25, 0.25, 0.0, 0.5]"
disgust,"['rotten', 'cockroach', 'grimace', 'nausea']","['sensorimotor feature', 'association', 'sensorimotor feature', 'internal state and emotion']","[0.5, 0.25, 0.0, 0.25]"
dismay,"['shock', 'falling', 'headline', 'sinking']","['internal state and emotion', 'sensorimotor feature', 'association', 'sensorimotor feature']","[0.5, 0.25, 0.0, 0.25]"
dispute,"['courtroom', 'neighbors', 'fence', 'heated']","['association', 'social constellation', 'sensorimotor feature', 'internal state and emotion']","[0.25, 0.25, 0.25, 0.25]"
distance,"['marathon', 'horizon', 'longing', 'miles']","['association', 'sensorimotor feature', 'internal state and emotion', 'other abstract concept']","[0.25, 0.25, 0.0, 0.5]"
distraction,"['phone', 'noise', 'daydream', 'detour']","['sensorimotor feature', 'sensorimotor feature', 'internal state and emotion', 'association']","[0.5, 0.25, 0.0, 0.25]"
diversity,"['mosaic', 'inclusion', 'ecosystem', 'spectrum']","['association', 'social constellation', 'association', 'other abstract concept']","[0.0, 0.0, 0.25, 0.75]"
doubt,"['shadow', 'hesitation', 'trust', 'question']","['association', 'internal state and emotion', 'other abstract concept', 'other abstract concept']","[0.0, 0.25, 0.0, 0.75]"
downfall,"['empire', 'hubris', 'rain', 'avalanche']","['other abstract concept', 'internal state and emotion', 'association', 'sensorimotor feature']","[0.25, 0.25, 0.0, 0.5]"
dream,"['pillow', 'ambition', 'fog', 'sleep']","['sensorimotor feature', 'internal state and emotion', 'association', 'sensorimotor feature']","[0.5, 0.25, 0.0, 0.25]"
duty,"['soldier', 'obligation', 'taxes', 'honor']","['social constellation', 'other abstract concept', 'association', 'internal state and emotion']","[0.0, 0.25, 0.25, 0.5]"
eagerness,"['puppy', 'leaning forward', 'bright eyes', 'first day']","['association', 'sensorimotor feature', 'sensorimotor feature', 'association']","[0.5, 0.0, 0.0, 0.5]"
effort,"['sweat', 'struggle', 'reward', 'gym']","['sensorimotor feature', 'internal state and emotion', 'association', 'association']","[0.25, 0.25, 0.0, 0.5]"
elegance,"['chandelier', 'swan', 'ballroom', 'silk']","['association', 'sensorimotor feature', 'association', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
emotion,"['tears', 'heartbeat', 'overwhelm', 'face']","['sensorimotor feature', 'sensorimotor feature', 'internal state and emotion', 'sensorimotor feature']","[0.75, 0.25, 0.0, 0.0]"
enchantment,"['forest', 'spell', 'glowing', 'fairytale']","['association', 'other abstract concept', 'sensorimotor feature', 'association']","[0.25, 0.0, 0.0, 0.75]"
enthusiasm,"['sparkle', 'cheerleader', 'contagious', 'fireworks']","['sensorimotor feature', 'social constellation', 'association', 'association']","[0.25, 0.0, 0.25, 0.5]"
envy,"['green', 'neighbor', 'desire', 'comparison']","['association', 'social constellation', 'internal state and emotion', 'other abstract concept']","[0.0, 0.25, 0.25, 0.5]"
error,"['red', 'code', 'human', 'trial']","['association', 'association', 'social constellation', 'other abstract concept']","[0.0, 0.0, 0.25, 0.75]"
event,"['ticket', 'crowd', 'calendar', 'celebration']","['sensorimotor feature', 'social constellation', 'association', 'other abstract concept']","[0.25, 0.0, 0.25, 0.5]"
excitement,"['rollercoaster', 'heartbeat', 'confetti', 'anticipation']","['sensorimotor feature', 'sensorimotor feature', 'association', 'internal state and emotion']","[0.5, 0.25, 0.0, 0.25]"
expectation,"['anticipation', 'deadline', 'disappointment', 'pregnancy']","['internal state and emotion', 'association', 'internal state and emotion', 'association']","[0.0, 0.5, 0.0, 0.5]"
experience,"['resume', 'wisdom', 'journey', 'firsthand']","['association', 'other abstract concept', 'association', 'sensorimotor feature']","[0.25, 0.0, 0.0, 0.75]"
