word,properties,codes,frequencies
ability,"['flight', 'trophy', 'wrench', 'mountain']","['association', 'association', 'sensorimotor feature', 'association']","[0.25, 0.0, 0.0, 0.75]"
accusation,"['finger', 'courtroom', 'sweat', 'gavel']","['sensorimotor feature', 'social constellation', 'internal state and emotion', 'association']","[0.25, 0.25, 0.25, 0.25]"
achievement,"['trophy', 'sweat', 'summit', 'applause']","['association', 'sensorimotor feature', 'association', 'social constellation']","[0.25, 0.0, 0.25, 0.5]"
activity,"['sweat', 'classroom', 'noise', 'schedule']","['sensorimotor feature', 'association', 'sensorimotor feature', 'other abstract concept']","[0.5, 0.0, 0.0, 0.5]"
addiction,"['ritual', 'itch', 'midnight', 'shadow']","['association', 'sensorimotor feature', 'association', 'association']","[0.25, 0.0, 0.0, 0.75]"
admiration,"['applause', 'pedestal', 'eyes', 'mentor']","['association', 'association', 'sensorimotor feature', 'social constellation']","[0.25, 0.0, 0.25, 0.5]"
advantage,"['tennis', 'hilltop', 'sprint', 'chess']","['association', 'association', 'association', 'association']","[0.0, 0.0, 0.0, 1.0]"
adventure,"['backpack', 'mountain', 'compass', 'adrenaline']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'internal state and emotion']","[0.75, 0.25, 0.0, 0.0]"
advice,"['crossroads', 'ears', 'grandfather', 'ink']","['association', 'sensorimotor feature', 'social constellation', 'association']","[0.25, 0.0, 0.25, 0.5]"
agony,"['scream', 'hospital', 'thorns', 'sweat']","['sensorimotor feature', 'association', 'sensorimotor feature', 'sensorimotor feature']","[0.75, 0.0, 0.0, 0.25]"
agreement,"['handshake', 'pen', 'nod', 'table']","['sensorimotor feature', 'association', 'sensorimotor feature', 'association']","[0.5, 0.0, 0.0, 0.5]"
amazement,"['fireworks', 'jaw', 'magic', 'galaxy']","['association', 'sensorimotor feature', 'association', 'association']","[0.25, 0.0, 0.0, 0.75]"
ambition,"['mountain', 'coffee', 'ladder', 'blueprint']","['association', 'association', 'association', 'association']","[0.0, 0.0, 0.0, 1.0]"
ambush,"['jungle', 'camouflage', 'silence', 'tiger']","['association', 'sensorimotor feature', 'sensorimotor feature', 'association']","[0.5, 0.0, 0.0, 0.5]"
amusement,"['carnival', 'rollercoaster', 'tickle', 'popcorn']","['association', 'sensorimotor feature', 'sensorimotor feature', 'association']","[0.5, 0.0, 0.0, 0.5]"
anger,"['fist', 'red', 'volcano', 'shouting']","['sensorimotor feature', 'sensorimotor feature', 'association', 'sensorimotor feature']","[0.75, 0.0, 0.0, 0.25]"
anxiety,"['breathing', 'deadline', 'pacing', 'static']","['sensorimotor feature', 'association', 'sensorimotor feature', 'sensorimotor feature']","[0.75, 0.0, 0.0, 0.25]"
apology,"['flowers', 'mistake', 'handshake', 'tears']","['association', 'other abstract concept', 'sensorimotor feature', 'internal state and emotion']","[0.25, 0.25, 0.0, 0.5]"
appearance,"['mirror', 'stage', 'disguise', 'courtroom']","['sensorimotor feature', 'association', 'social constellation', 'association']","[0.25, 0.0, 0.25, 0.5]"
appetite,"['dinner', 'growl', 'menu', 'napkin']","['sensorimotor feature', 'sensorimotor feature', 'association', 'association']","[0.5, 0.0, 0.0, 0.5]"
application,"['interview', 'smartphone', 'brush', 'paperwork']","['social constellation', 'association', 'sensorimotor feature', 'association']","[0.25, 0.0, 0.25, 0.5]"
aptitude,"['pencil', 'piano', 'DNA', 'gears']","['sensorimotor feature', 'sensorimotor feature', 'association', 'association']","[0.5, 0.0, 0.0, 0.5]"
argument,"['shouting', 'gavel', 'red', 'breath']","['sensorimotor feature', 'association', 'association', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
art,"['museum', 'canvas', 'expression', 'auction']","['association', 'sensorimotor feature', 'internal state and emotion', 'association']","[0.25, 0.25, 0.0, 0.5]"
aspect,"['prism', 'grammar', 'stars', 'diamond']","['sensorimotor feature', 'other abstract concept', 'association', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
assassination,"['crosshairs', 'motorcade', 'poison', 'bodyguard']","['sensorimotor feature', 'social constellation', 'sensorimotor feature', 'social constellation']","[0.5, 0.0, 0.5, 0.0]"
assumption,"['iceberg', 'gavel', 'shadow', 'mirror']","['association', 'association', 'association', 'association']","[0.0, 0.0, 0.0, 1.0]"
astonishment,"['jaw', 'fireworks', 'gasp', 'magician']","['sensorimotor feature', 'association', 'sensorimotor feature', 'association']","[0.5, 0.0, 0.0, 0.5]"
attack,"['lion', 'castle', 'heart', 'keyboard']","['association', 'association', 'association', 'association']","[0.0, 0.0, 0.0, 1.0]"
attention,"['spotlight', 'blackboard', 'uniform', 'whistle']","['association', 'association', 'association', 'association']","[0.0, 0.0, 0.0, 1.0]"
attraction,"['magnet', 'rollercoaster', 'perfume', 'gravity']","['association', 'sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature']","[0.75, 0.0, 0.0, 0.25]"
beauty,"['sunset', 'symmetry', 'canvas', 'petal']","['association', 'sensorimotor feature', 'association', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
being,"['breath', 'light', 'silence', 'pulse']","['sensorimotor feature', 'association', 'sensorimotor feature', 'sensorimotor feature']","[0.75, 0.0, 0.0, 0.25]"
betrayal,"['knife', 'mask', 'whisper', 'ice']","['sensorimotor feature', 'association', 'sensorimotor feature', 'association']","[0.5, 0.0, 0.0, 0.5]"
blackmail,"['photograph', 'envelope', 'silence', 'checkbook']","['sensorimotor feature', 'sensorimotor feature', 'internal state and emotion', 'association']","[0.5, 0.25, 0.0, 0.25]"
boredom,"['clock', 'ceiling', 'doodle', 'waiting']","['association', 'sensorimotor feature', 'sensorimotor feature', 'internal state and emotion']","[0.5, 0.25, 0.0, 0.25]"
boycott,"['protest', 'wallet', 'bus', 'banner']","['social constellation', 'association', 'association', 'association']","[0.0, 0.0, 0.25, 0.75]"
bravery,"['lion', 'fire', 'shield', 'medals']","['association', 'association', 'sensorimotor feature', 'association']","[0.25, 0.0, 0.0, 0.75]"
career,"['ladder', 'briefcase', 'retirement', 'salary']","['sensorimotor feature', 'sensorimotor feature', 'other abstract concept', 'association']","[0.5, 0.0, 0.0, 0.5]"
carefulness,"['glassware', 'eggshells', 'surgeon', 'ice']","['sensorimotor feature', 'sensorimotor feature', 'association', 'sensorimotor feature']","[0.75, 0.0, 0.0, 0.25]"
catastrophe,"['earthquake', 'red', 'rubble', 'siren']","['sensorimotor feature', 'association', 'sensorimotor feature', 'association']","[0.5, 0.0, 0.0, 0.5]"
caution,"['yellow', 'slippery', 'brake', 'tape']","['association', 'sensorimotor feature', 'sensorimotor feature', 'association']","[0.5, 0.0, 0.0, 0.5]"
challenge,"['mountain', 'sweat', 'stopwatch', 'trophy']","['sensorimotor feature', 'sensorimotor feature', 'association', 'association']","[0.5, 0.0, 0.0, 0.5]"
chaos,"['storm', 'static', 'spilled ink', 'earthquake']","['sensorimotor feature', 'association', 'sensorimotor feature', 'sensorimotor feature']","[0.75, 0.0, 0.0, 0.25]"
character,"['ink', 'stage', 'spine', 'costume']","['association', 'association', 'sensorimotor feature', 'association']","[0.25, 0.0, 0.0, 0.75]"
charm,"['bracelet', 'clover', 'wand', 'smile']","['association', 'association', 'association', 'sensorimotor feature']","[0.25, 0.0, 0.0, 0.75]"
comfort,"['blanket', 'tea', 'fireplace', 'cat']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'association']","[0.75, 0.0, 0.0, 0.25]"
commitment,"['ring', 'gym', 'signature', 'anchor']","['association', 'association', 'sensorimotor feature', 'association']","[0.25, 0.0, 0.0, 0.75]"
comparison,"['scales', 'shopping', 'envy', 'ruler']","['sensorimotor feature', 'association', 'internal state and emotion', 'sensorimotor feature']","[0.5, 0.25, 0.0, 0.25]"
compassion,"['hands', 'blanket', 'soup', 'shoulder']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature']","[1.0, 0.0, 0.0, 0.0]"
competence,"['surgery', 'bridge', 'interview', 'checklist']","['sensorimotor feature', 'association', 'social constellation', 'association']","[0.25, 0.0, 0.25, 0.5]"
compromise,"['handshake', 'scales', 'gray', 'bridge']","['sensorimotor feature', 'association', 'association', 'association']","[0.25, 0.0, 0.0, 0.75]"
compulsion,"['hand-washing', 'padlock', 'itch', 'magnet']","['sensorimotor feature', 'association', 'internal state and emotion', 'association']","[0.25, 0.25, 0.0, 0.5]"
confession,"['priest', 'handcuffs', 'diary', 'relief']","['social constellation', 'association', 'association', 'internal state and emotion']","[0.0, 0.25, 0.25, 0.5]"
conflict,"['knot', 'sparks', 'border', 'storm']","['association', 'association', 'other abstract concept', 'association']","[0.0, 0.0, 0.0, 1.0]"
consideration,"['scales', 'contract', 'door', 'pause']","['sensorimotor feature', 'social constellation', 'association', 'internal state and emotion']","[0.25, 0.25, 0.25, 0.25]"
consolation,"['prize', 'shoulder', 'chocolate', 'blanket']","['association', 'sensorimotor feature', 'association', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
contempt,"['sneer', 'gavel', 'trash', 'eye-roll']","['sensorimotor feature', 'association', 'association', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
convention,"['lanyard', 'cosplay', 'podium', 'badge']","['sensorimotor feature', 'association', 'association', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
cooperation,"['bees', 'gears', 'orchestra', 'ants']","['association', 'association', 'association', 'association']","[0.0, 0.0, 0.0, 1.0]"
courage,"['lion', 'cliff', 'firefighter', 'heart']","['association', 'sensorimotor feature', 'social constellation', 'internal state and emotion']","[0.25, 0.25, 0.25, 0.25]"
creativity,"['kaleidoscope', 'attic', 'scribble', 'lightning']","['association', 'association', 'sensorimotor feature', 'association']","[0.25, 0.0, 0.0, 0.75]"
crime,"['handcuffs', 'siren', 'alleyway', 'gavel']","['sensorimotor feature', 'association', 'sensorimotor feature', 'sensorimotor feature']","[0.75, 0.0, 0.0, 0.25]"
criticism,"['red ink', 'shield', 'podium', 'mirror']","['association', 'sensorimotor feature', 'social constellation', 'association']","[0.25, 0.0, 0.25, 0.5]"
cruelty,"['whip', 'cage', 'stone', 'shadow']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'association']","[0.75, 0.0, 0.0, 0.25]"
culture,"['petri dish', 'museum', 'spices', 'passport']","['association', 'association', 'sensorimotor feature', 'association']","[0.25, 0.0, 0.0, 0.75]"
curiosity,"['Mars', 'cat', 'keyhole', 'magnifying glass']","['association', 'association', 'association', 'association']","[0.0, 0.0, 0.0, 1.0]"
custom,"['passport', 'needle', 'ritual', 'paint']","['association', 'sensorimotor feature', 'sensorimotor feature', 'association']","[0.5, 0.0, 0.0, 0.5]"
danger,"['cliff', 'red', 'siren', 'tiger']","['sensorimotor feature', 'association', 'association', 'association']","[0.25, 0.0, 0.0, 0.75]"
death,"['skull', 'clock', 'silence', 'cold']","['association', 'association', 'sensorimotor feature', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
decision,"['crossroads', 'coin', 'judge', 'regret']","['association', 'association', 'social constellation', 'internal state and emotion']","[0.0, 0.25, 0.25, 0.5]"
demand,"['market', 'boss', 'clock', 'finger']","['association', 'social constellation', 'association', 'sensorimotor feature']","[0.25, 0.0, 0.25, 0.5]"
desire,"['star', 'fire', 'chocolate', 'magnet']","['association', 'sensorimotor feature', 'sensorimotor feature', 'association']","[0.5, 0.0, 0.0, 0.5]"
desperation,"['cliff', 'echo', 'sweat', 'dice']","['sensorimotor feature', 'association', 'sensorimotor feature', 'association']","[0.5, 0.0, 0.0, 0.5]"
destruction,"['rubble', 'wrecking ball', 'ash', 'hurricane']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'association']","[0.75, 0.0, 0.0, 0.25]"
detection,"['magnifying glass', 'radar', 'fingerprint', 'smoke']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'association']","[0.75, 0.0, 0.0, 0.25]"
dictatorship,"['propaganda', 'tank', 'uniform', 'silence']","['association', 'sensorimotor feature', 'sensorimotor feature', 'internal state and emotion']","[0.5, 0.25, 0.0, 0.25]"
difference,"['subtraction', 'magnifying glass', 'Venn diagram', 'fingerprint']","['other abstract concept', 'sensorimotor feature', 'other abstract concept', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
