word,properties,codes,frequencies
ability,"['skill', 'talent', 'capacity', 'potential']","['other abstract concept', 'other abstract concept', 'other abstract concept', 'other abstract concept']","[0.0, 0.0, 0.0, 1.0]"
accusation,"['courtroom', 'pointing', 'guilt', 'defense']","['association', 'sensorimotor feature', 'internal state and emotion', 'social constellation']","[0.25, 0.25, 0.25, 0.25]"
achievement,"['trophy', 'hard work', 'success', 'milestone']","['association', 'internal state and emotion', 'other abstract concept', 'other abstract concept']","[0.0, 0.25, 0.0, 0.75]"
activity,"['running', 'dancing', 'cooking', 'reading']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature']","[1.0, 0.0, 0.0, 0.0]"
addiction,"['cravings', 'compulsion', 'dependency', 'withdrawal']","['internal state and emotion', 'internal state and emotion', 'internal state and emotion', 'internal state and emotion']","[0.0, 1.0, 0.0, 0.0]"
admiration,"['idol', 'applause', 'respect', 'mentor']","['association', 'sensorimotor feature', 'internal state and emotion', 'social constellation']","[0.25, 0.25, 0.25, 0.25]"
advantage,"['lead', 'gain', 'strength', 'opportunity']","['other abstract concept', 'other abstract concept', 'sensorimotor feature', 'other abstract concept']","[0.25, 0.0, 0.0, 0.75]"
adventure,"['unknown', 'journey', 'risk', 'discovery']","['other abstract concept', 'sensorimotor feature', 'other abstract concept', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
advice,"['listening', 'mentor', 'experience', 'caution']","['sensorimotor feature', 'social constellation', 'association', 'internal state and emotion']","[0.25, 0.25, 0.25, 0.25]"
agony,"['childbirth', 'broken bone', 'torture', 'grief']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'internal state and emotion']","[0.75, 0.25, 0.0, 0.0]"
agreement,"['handshake', 'contract', 'consent', 'compromise']","['sensorimotor feature', 'other abstract concept', 'internal state and emotion', 'social constellation']","[0.25, 0.25, 0.25, 0.25]"
amazement,"['wide eyes', 'dropped jaw', 'speechless', 'awe']","['sensorimotor feature', 'sensorimotor feature', 'internal state and emotion', 'internal state and emotion']","[0.5, 0.5, 0.0, 0.0]"
ambition,"['climb', 'goal', 'drive', 'success']","['sensorimotor feature', 'other abstract concept', 'internal state and emotion', 'association']","[0.25, 0.25, 0.0, 0.5]"
ambush,"['surprise attack', 'hiding place', 'sudden violence', 'trap']","['other abstract concept', 'sensorimotor feature', 'sensorimotor feature', 'other abstract concept']","[0.5, 0.0, 0.0, 0.5]"
amusement,"['laughter', 'park', 'games', 'circus']","['sensorimotor feature', 'association', 'association', 'association']","[0.25, 0.0, 0.0, 0.75]"
anger,"['clenched fists', 'red face', 'shouting', 'frustration']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'internal state and emotion']","[0.75, 0.25, 0.0, 0.0]"
anxiety,"['racing heart', 'knot in stomach', 'worrying', 'restlessness']","['sensorimotor feature', 'sensorimotor feature', 'internal state and emotion', 'internal state and emotion']","[0.5, 0.5, 0.0, 0.0]"
apology,"['regret', 'forgiveness', 'reconciliation', 'sincerity']","['internal state and emotion', 'social constellation', 'social constellation', 'internal state and emotion']","[0.0, 0.5, 0.5, 0.0]"
appearance,[''],[],"[0, 0, 0, 0]"
appetite,"['hunger', 'food', 'craving', 'dining']","['sensorimotor feature', 'sensorimotor feature', 'internal state and emotion', 'social constellation']","[0.5, 0.25, 0.25, 0.0]"
application,[''],[],"[0, 0, 0, 0]"
aptitude,"['natural talent', 'skill', 'quick learner', 'potential']","['other abstract concept', 'other abstract concept', 'internal state and emotion', 'other abstract concept']","[0.0, 0.25, 0.0, 0.75]"
argument,"['shouting', 'disagreement', 'logic', 'frustration']","['sensorimotor feature', 'social constellation', 'other abstract concept', 'internal state and emotion']","[0.25, 0.25, 0.25, 0.25]"
art,"['painting', 'sculpture', 'creativity', 'exhibition']","['sensorimotor feature', 'sensorimotor feature', 'internal state and emotion', 'social constellation']","[0.5, 0.25, 0.25, 0.0]"
aspect,"['facet', 'viewpoint', 'dimension', 'appearance']","['other abstract concept', 'other abstract concept', 'other abstract concept', 'sensorimotor feature']","[0.25, 0.0, 0.0, 0.75]"
assassination,"['political', 'betrayal', 'secret', 'power']","['other abstract concept', 'internal state and emotion', 'association', 'other abstract concept']","[0.0, 0.25, 0.0, 0.75]"
