word,properties,codes,frequencies
abominable,"['Extreme dislike', 'Moral offense', 'Repulsive quality', 'Causes disgust', 'Unacceptable behavior']","['introspective', 'entity', 'entity', 'entity', 'entity']","[0.0, 0.8, 0.0, 0.2]"
accessible,"['Easy', 'Reachable', 'Open', 'Available', 'Approachable']","['taxonomic', 'taxonomic', 'taxonomic', 'taxonomic', 'taxonomic']","[1.0, 0.0, 0.0, 0.0]"
accurate,"['Truthful', 'Measurement', 'Close', 'Details', 'Verified']","['taxonomic', 'situation', 'entity', 'situation', 'situation']","[0.2, 0.2, 0.6, 0.0]"
accusation,"['Formal', 'Blame', 'Serious', 'Dispute', 'Formal charge']","['entity', 'taxonomic', 'entity', 'situation', 'taxonomic']","[0.4, 0.4, 0.2, 0.0]"
admiration,"['Respectful feeling', 'Looking up', 'Often unspoken', 'Quiet pleasure', 'Acknowledging excellence']","['introspective', 'situation', 'situation', 'introspective', 'introspective']","[0.0, 0.0, 0.4, 0.6]"
adoring,"['Deep fondness', 'Often expressed verbally', 'Toward a person', 'Implies respect', 'Warm sentiment']","['taxonomic', 'situation', 'situation', 'entity', 'taxonomic']","[0.4, 0.2, 0.4, 0.0]"
affection,"['Warmth', 'Connection', 'Tenderness', 'Showing care', 'Reciprocal feeling']","['entity', 'entity', 'entity', 'situation', 'entity']","[0.0, 0.8, 0.2, 0.0]"
affirmation,"['Promise', 'Belief', 'Declaration', 'Repeated', 'Strength']","['entity', 'entity', 'taxonomic', 'entity', 'entity']","[0.2, 0.8, 0.0, 0.0]"
affordable,"['Cost', 'Within reach', 'Budget', 'Manageable', 'Reasonable price']","['entity', 'taxonomic', 'situation', 'introspective', 'taxonomic']","[0.4, 0.2, 0.2, 0.2]"
aging,"['Time’s effect', 'Skin changes', 'Loss of strength', 'Process of becoming older', 'Biological decline']","['situation', 'entity', 'entity', 'taxonomic', 'entity']","[0.2, 0.6, 0.2, 0.0]"
agitation,"['Restlessness', 'Internal disturbance', 'Unease', 'Often forceful', 'A striving to move']","['taxonomic', 'taxonomic', 'taxonomic', 'entity', 'entity']","[0.6, 0.4, 0.0, 0.0]"
agree,"['Mutual', 'Harmonious', 'Concord', 'Shared viewpoint', 'Confirmation']","['entity', 'entity', 'taxonomic', 'entity', 'entity']","[0.2, 0.8, 0.0, 0.0]"
amazing,"['Surprise', 'Unexpected', 'Joyful', 'Remarkable', 'Difficult to believe']","['introspective', 'entity', 'introspective', 'taxonomic', 'introspective']","[0.2, 0.2, 0.0, 0.6]"
amused,"['Lighthearted', 'Gentle reaction', 'A smile', 'Finding something diverting', 'Not serious']","['entity', 'situation', 'entity', 'introspective', 'introspective']","[0.0, 0.4, 0.2, 0.4]"
angry,"['Discomfort', 'Tightened muscles', 'Raised voice', 'A reaction', 'Frustration']","['introspective', 'entity', 'entity', 'entity', 'introspective']","[0.0, 0.6, 0.0, 0.4]"
angst,"['Emotional', 'Discomfort', 'Teenage', 'Yearning', 'Unresolved']","['taxonomic', 'entity', 'situation', 'entity', 'entity']","[0.2, 0.6, 0.2, 0.0]"
annoyed,"['Restless', 'Mild irritation', 'Small complaint', 'A slight frown', 'Discomforted feeling']","['entity', 'taxonomic', 'situation', 'entity', 'introspective']","[0.2, 0.4, 0.2, 0.2]"
anxious,"['Unease', 'Worried thoughts', 'Before an event', 'Restlessness', 'Overthinking']","['introspective', 'introspective', 'situation', 'entity', 'introspective']","[0.0, 0.2, 0.2, 0.6]"
appeal,"['Legal argument', 'Higher court', 'Request for change', 'Emotional draw', 'Sense of beauty']","['entity', 'situation', 'situation', 'entity', 'entity']","[0.0, 0.6, 0.4, 0.0]"
appreciation,"['Feeling', 'Growth', 'Acknowledging', 'Value', 'Gratitude']","['introspective', 'entity', 'situation', 'entity', 'taxonomic']","[0.2, 0.4, 0.2, 0.2]"
