word,properties,codes,frequencies
ability,"['competition', 'practice', 'challenge', 'tool']","['social constellation', 'sensorimotor feature', 'other abstract concept', 'association']","[0.25, 0.0, 0.25, 0.5]"
accusation,"['courtroom', 'public dispute', 'denial', 'investigation']","['association', 'social constellation', 'internal state and emotion', 'other abstract concept']","[0.0, 0.25, 0.25, 0.5]"
achievement,"['certificate', 'triumph', 'milestone', 'recognition']","['association', 'internal state and emotion', 'other abstract concept', 'social constellation']","[0.0, 0.25, 0.25, 0.5]"
activity,"['gym class', 'school project', 'community event', 'nature hike']","['sensorimotor feature', 'association', 'social constellation', 'sensorimotor feature']","[0.5, 0.0, 0.25, 0.25]"
addiction,"['withdrawal symptoms', 'compulsive behavior', 'isolation', 'denial']","['sensorimotor feature', 'internal state and emotion', 'social constellation', 'internal state and emotion']","[0.25, 0.5, 0.25, 0.0]"
admiration,"['monument', 'silent applause', 'distant peak', 'award handshake']","['association', 'social constellation', 'association', 'social constellation']","[0.0, 0.0, 0.5, 0.5]"
advantage,"['chessboard position', 'resource surplus', 'favorable timing', 'tactical edge']","['association', 'association', 'association', 'association']","[0.0, 0.0, 0.0, 1.0]"
adventure,"['uncertain terrain', 'hidden dangers', 'unexpected twists', 'self-discovery']","['sensorimotor feature', 'association', 'association', 'internal state and emotion']","[0.25, 0.25, 0.0, 0.5]"
advice,"['mentorship', 'decision-making', 'written notes', 'guidance']","['social constellation', 'internal state and emotion', 'sensorimotor feature', 'other abstract concept']","[0.25, 0.25, 0.25, 0.25]"
agony,"['shattered heart', 'burning ember', 'silent scream', 'endless night']","['internal state and emotion', 'association', 'sensorimotor feature', 'association']","[0.25, 0.25, 0.0, 0.5]"
agreement,"['handshake', 'legal contract', 'peace accord', 'mutual understanding']","['sensorimotor feature', 'other abstract concept', 'social constellation', 'internal state and emotion']","[0.25, 0.25, 0.25, 0.25]"
amazement,"['solar eclipse', 'levitation', 'AI breakthrough', 'starry night']","['association', 'sensorimotor feature', 'other abstract concept', 'association']","[0.25, 0.0, 0.0, 0.75]"
ambition,"['climb', 'horizon', 'grind', 'legacy']","['sensorimotor feature', 'association', 'sensorimotor feature', 'association']","[0.5, 0.0, 0.0, 0.5]"
ambush,"['sudden attack', 'hidden movement', 'strategic advantage', 'unexpected threat']","['sensorimotor feature', 'sensorimotor feature', 'other abstract concept', 'internal state and emotion']","[0.5, 0.25, 0.0, 0.25]"
amusement,"['laughter', 'carnival rides', 'surprise', 'shared stories']","['sensorimotor feature', 'association', 'internal state and emotion', 'social constellation']","[0.25, 0.25, 0.25, 0.25]"
anger,"['road rage', 'clenched fist', 'red', 'fight']","['social constellation', 'sensorimotor feature', 'association', 'social constellation']","[0.25, 0.0, 0.5, 0.25]"
anxiety,"['clenched jaw', 'waiting in line', 'racing thoughts', 'sleepless night']","['sensorimotor feature', 'social constellation', 'internal state and emotion', 'association']","[0.25, 0.25, 0.25, 0.25]"
apology,"['humble gesture', 'written note', 'moment of regret', 'restoring trust']","['sensorimotor feature', 'association', 'internal state and emotion', 'social constellation']","[0.25, 0.25, 0.25, 0.25]"
appearance,"['first impressions', 'fashion shows', 'animal camouflage', 'optical illusions']","['association', 'association', 'sensorimotor feature', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
appetite,"['craving', 'satiation', 'dining', 'thirst']","['internal state and emotion', 'internal state and emotion', 'sensorimotor feature', 'sensorimotor feature']","[0.5, 0.5, 0.0, 0.0]"
application,"['form filling', 'program launch', 'job interview', 'paint spread']","['sensorimotor feature', 'other abstract concept', 'social constellation', 'association']","[0.25, 0.0, 0.25, 0.5]"
aptitude,"['problem-solving', 'musical talent', 'academic excellence', 'athletic ability']","['sensorimotor feature', 'sensorimotor feature', 'other abstract concept', 'sensorimotor feature']","[0.75, 0.0, 0.0, 0.25]"
argument,"['courtroom', 'raised voices', 'political debate', 'family conflict']","['association', 'sensorimotor feature', 'social constellation', 'social constellation']","[0.25, 0.0, 0.5, 0.25]"
art,"['canvas', 'chisel', 'gallery', 'palette']","['sensorimotor feature', 'sensorimotor feature', 'association', 'sensorimotor feature']","[0.75, 0.0, 0.0, 0.25]"
aspect,"['angle', 'viewpoint', 'feature', 'side']","['sensorimotor feature', 'other abstract concept', 'other abstract concept', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
assassination,"['shadow', 'hidden dagger', 'bloodstain', 'silence']","['association', 'sensorimotor feature', 'sensorimotor feature', 'association']","[0.5, 0.0, 0.0, 0.5]"
assumption,"['experimental setup', 'political strategy', 'mathematical proof', 'daily conversation']","['association', 'other abstract concept', 'other abstract concept', 'social constellation']","[0.0, 0.0, 0.25, 0.75]"
astonishment,"['lightning strike', 'ancient artifact', 'cosmic event', 'unexpected revelation']","['association', 'association', 'association', 'other abstract concept']","[0.0, 0.0, 0.0, 1.0]"
attack,"['predator', 'firewall', 'goal', 'trauma']","['sensorimotor feature', 'association', 'other abstract concept', 'internal state and emotion']","[0.25, 0.25, 0.0, 0.5]"
attention,"['classroom', 'spotlight', 'distraction', 'listening']","['association', 'association', 'other abstract concept', 'sensorimotor feature']","[0.25, 0.0, 0.0, 0.75]"
attraction,"['magnetic pull', 'spark', 'crowd', 'gravity']","['sensorimotor feature', 'association', 'social constellation', 'other abstract concept']","[0.25, 0.0, 0.25, 0.5]"
beauty,"['mirror', 'sunrise', 'symmetry', 'rose']","['sensorimotor feature', 'association', 'sensorimotor feature', 'association']","[0.5, 0.0, 0.0, 0.5]"
being,"['essence', 'consciousness', 'presence', 'identity']","['other abstract concept', 'internal state and emotion', 'sensorimotor feature', 'other abstract concept']","[0.25, 0.25, 0.0, 0.5]"
betrayal,"['espionage', 'broken vows', 'heartbreak', 'secret dealings']","['association', 'other abstract concept', 'internal state and emotion', 'social constellation']","[0.0, 0.25, 0.25, 0.5]"
blackmail,"['secret leverage', 'fear-based coercion', 'forced agreement', 'hidden motives']","['association', 'internal state and emotion', 'social constellation', 'internal state and emotion']","[0.0, 0.5, 0.25, 0.25]"
boredom,"['waiting in line', 'empty room', 'mindless scrolling', 'endless task']","['sensorimotor feature', 'sensorimotor feature', 'internal state and emotion', 'other abstract concept']","[0.5, 0.25, 0.0, 0.25]"
boycott,"['refusal', 'economic pressure', 'community action', 'social media campaigns']","['other abstract concept', 'association', 'social constellation', 'social constellation']","[0.0, 0.0, 0.5, 0.5]"
bravery,"['battlefield', 'rescue mission', 'whistleblowing', 'confronting fear']","['association', 'social constellation', 'social constellation', 'internal state and emotion']","[0.0, 0.25, 0.5, 0.25]"
career,"['ladder', 'portfolio', 'retirement', 'competition']","['sensorimotor feature', 'association', 'other abstract concept', 'social constellation']","[0.25, 0.0, 0.25, 0.5]"
carefulness,"['meticulous document review', 'handling fragile objects', 'error prevention', 'quiet focus']","['other abstract concept', 'sensorimotor feature', 'other abstract concept', 'internal state and emotion']","[0.25, 0.25, 0.0, 0.5]"
catastrophe,"['rebuilding', 'fear', 'loss', 'contrast']","['association', 'internal state and emotion', 'other abstract concept', 'association']","[0.0, 0.25, 0.0, 0.75]"
caution,"['yellow triangle sign', 'gradual deceleration', 'secure grip', 'warning bell sound']","['association', 'sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature']","[0.75, 0.0, 0.0, 0.25]"
challenge,"['mountain summit', 'coding puzzle', 'sparring session', 'race against time']","['sensorimotor feature', 'association', 'social constellation', 'internal state and emotion']","[0.25, 0.25, 0.25, 0.25]"
chaos,"['collapsing building', 'unorganized market', 'shattered glass', 'tangled wires']","['sensorimotor feature', 'social constellation', 'sensorimotor feature', 'sensorimotor feature']","[0.75, 0.0, 0.25, 0.0]"
character,"['resilience', 'moral dilemma', 'depth', 'testing through adversity']","['internal state and emotion', 'internal state and emotion', 'other abstract concept', 'association']","[0.0, 0.5, 0.0, 0.5]"
charm,"['spellbook', 'lucky pendant', 'persuasive speech', 'enchanted forest']","['association', 'association', 'sensorimotor feature', 'association']","[0.25, 0.0, 0.0, 0.75]"
comfort,"['blanket', 'warm drink', 'secure home', 'post-stress relaxation']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'internal state and emotion']","[0.75, 0.25, 0.0, 0.0]"
commitment,"['marriage vows', 'project deadlines', 'personal sacrifice', 'team loyalty']","['association', 'other abstract concept', 'internal state and emotion', 'social constellation']","[0.0, 0.25, 0.25, 0.5]"
comparison,"['scale', 'mirror', 'graph', 'competition']","['sensorimotor feature', 'association', 'association', 'social constellation']","[0.25, 0.0, 0.25, 0.5]"
compassion,"['volunteer work', 'comforting gesture', 'aiding disaster victims', 'shared support']","['association', 'sensorimotor feature', 'social constellation', 'social constellation']","[0.25, 0.0, 0.5, 0.25]"
competence,"['surgical precision', 'data analysis', 'mentorship', 'crisis management']","['sensorimotor feature', 'other abstract concept', 'social constellation', 'internal state and emotion']","[0.25, 0.25, 0.25, 0.25]"
compromise,"['negotiation', 'balance', 'sacrifice', 'truce']","['social constellation', 'other abstract concept', 'internal state and emotion', 'social constellation']","[0.0, 0.25, 0.5, 0.25]"
compulsion,"['door-checking', 'ritualistic counting', 'trapped loops', 'resisting harm']","['sensorimotor feature', 'sensorimotor feature', 'internal state and emotion', 'internal state and emotion']","[0.5, 0.5, 0.0, 0.0]"
confession,"['religious ritual', 'emotional vulnerability', 'silent anticipation', 'forgiveness']","['association', 'internal state and emotion', 'internal state and emotion', 'other abstract concept']","[0.0, 0.5, 0.0, 0.5]"
conflict,"['war', 'negotiation', 'tension', 'division']","['association', 'social constellation', 'internal state and emotion', 'other abstract concept']","[0.0, 0.25, 0.25, 0.5]"
consideration,"['gift selection', 'traffic route planning', 'quiet reflection', 'equitable resource allocation']","['association', 'association', 'internal state and emotion', 'other abstract concept']","[0.0, 0.25, 0.0, 0.75]"
consolation,"['shared silence', 'recollection of kindnesses', 'a shoulder to lean on', 'familiar scent of lavender']","['social constellation', 'association', 'sensorimotor feature', 'association']","[0.25, 0.0, 0.25, 0.5]"
contempt,"['sneer', 'averted gaze', 'dismissive silence', 'scornful laugh']","['sensorimotor feature', 'sensorimotor feature', 'social constellation', 'sensorimotor feature']","[0.75, 0.0, 0.25, 0.0]"
convention,"['panels', 'exhibits', 'networking', 'scheduled talks']","['sensorimotor feature', 'sensorimotor feature', 'social constellation', 'social constellation']","[0.5, 0.0, 0.5, 0.0]"
cooperation,"['construction site', 'puzzle solving', 'relay race', 'committee meeting']","['association', 'sensorimotor feature', 'social constellation', 'social constellation']","[0.25, 0.0, 0.5, 0.25]"
courage,"['""lion\'s roar""', 'first step into the unknown', 'standing tall in front of a crowd', 'torch held high in darkness']","['association', 'sensorimotor feature', 'social constellation', 'association']","[0.25, 0.0, 0.25, 0.5]"
creativity,"['sketchbook', 'brainstorming session', 'eureka moment', 'unconventional methods']","['sensorimotor feature', 'social constellation', 'internal state and emotion', 'other abstract concept']","[0.25, 0.25, 0.25, 0.25]"
crime,"['courtroom', 'imprisonment', 'fear', 'covert']","['association', 'association', 'internal state and emotion', 'sensorimotor feature']","[0.25, 0.25, 0.0, 0.5]"
criticism,"['scolding', 'debate', 'flaw', 'reflection']","['sensorimotor feature', 'social constellation', 'other abstract concept', 'internal state and emotion']","[0.25, 0.25, 0.25, 0.25]"
cruelty,"['torment', 'desolation', 'coldness', 'neglect']","['sensorimotor feature', 'internal state and emotion', 'sensorimotor feature', 'social constellation']","[0.5, 0.25, 0.25, 0.0]"
culture,"['festivals', 'language', 'art', 'cuisine']","['association', 'other abstract concept', 'other abstract concept', 'sensorimotor feature']","[0.25, 0.0, 0.0, 0.75]"
curiosity,"['child asking questions', 'detective solving mysteries', 'magnifying glass examining details', 'unending quest for knowledge']","['social constellation', 'social constellation', 'sensorimotor feature', 'other abstract concept']","[0.25, 0.0, 0.5, 0.25]"
custom,"['tailor shop', 'cultural festival', 'user preferences', 'habitual behavior']","['association', 'social constellation', 'internal state and emotion', 'other abstract concept']","[0.0, 0.25, 0.25, 0.5]"
danger,"['adrenaline rush', 'cliff edges', 'sirens', 'unseen threats']","['internal state and emotion', 'sensorimotor feature', 'association', 'other abstract concept']","[0.25, 0.25, 0.0, 0.5]"
death,"['funeral', 'absence', 'finality', 'silence']","['association', 'other abstract concept', 'other abstract concept', 'sensorimotor feature']","[0.25, 0.0, 0.0, 0.75]"
decision,"['crossroads', 'conflict', 'consequences', 'commitment']","['association', 'internal state and emotion', 'other abstract concept', 'internal state and emotion']","[0.0, 0.5, 0.0, 0.5]"
demand,"['negotiation table', 'clenched fist', 'legal summons', 'resource scarcity']","['social constellation', 'sensorimotor feature', 'association', 'other abstract concept']","[0.25, 0.0, 0.25, 0.5]"
desire,"['pursuit', 'craving', 'obsession', 'longing']","['association', 'internal state and emotion', 'internal state and emotion', 'internal state and emotion']","[0.0, 0.75, 0.0, 0.25]"
desperation,"['last resort', 'self-sacrifice', 'trembling hands', 'empty silence']","['other abstract concept', 'social constellation', 'sensorimotor feature', 'association']","[0.25, 0.0, 0.25, 0.5]"
destruction,"['hurricane', 'debris', 'explosion', 'collapse']","['association', 'sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature']","[0.75, 0.0, 0.0, 0.25]"
detection,"['surveillance cameras', 'lab experiments', 'pipe leaks', 'intuition']","['association', 'association', 'sensorimotor feature', 'internal state and emotion']","[0.25, 0.25, 0.0, 0.5]"
dictatorship,"['absolute control', 'silenced opposition', 'militarized rule', 'enforced obedience']","['other abstract concept', 'social constellation', 'association', 'internal state and emotion']","[0.0, 0.25, 0.25, 0.5]"
difference,"['prism splitting light', 'debate dynamics', 'unique trait', 'contrast in cultures']","['sensorimotor feature', 'social constellation', 'other abstract concept', 'association']","[0.25, 0.0, 0.25, 0.5]"
difficulty,"['steep mountain path', 'tangled knot', 'tight deadline', 'malfunctioning machine']","['sensorimotor feature', 'sensorimotor feature', 'other abstract concept', 'association']","[0.5, 0.0, 0.0, 0.5]"
dignity,"['standing tall', 'refusing to apologize unnecessarily', 'facing adversity calmly', 'being acknowledged without condescension']","['sensorimotor feature', 'internal state and emotion', 'internal state and emotion', 'social constellation']","[0.25, 0.5, 0.25, 0.0]"
diligence,"['meticulous planning', 'relentless focus', 'long-term commitment', 'methodical execution']","['internal state and emotion', 'internal state and emotion', 'internal state and emotion', 'sensorimotor feature']","[0.25, 0.75, 0.0, 0.0]"
disadvantage,"['uneven playing field', 'resource gaps', 'inherited biases', 'stalled progress']","['sensorimotor feature', 'association', 'social constellation', 'other abstract concept']","[0.25, 0.0, 0.25, 0.5]"
disappointment,"['broken promise', 'missed opportunity', 'empty chair', 'stormy sky']","['association', 'association', 'association', 'association']","[0.0, 0.0, 0.0, 1.0]"
discovery,"['hidden room', 'unexpected twist', 'scientific breakthrough', 'mysterious object']","['sensorimotor feature', 'association', 'other abstract concept', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
disgust,"['grimace', 'rotten food', 'spit', 'vomit']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature']","[1.0, 0.0, 0.0, 0.0]"
dismay,"['storm', 'unexpected betrayal', 'lost job', 'empty chair']","['association', 'social constellation', 'association', 'association']","[0.0, 0.0, 0.25, 0.75]"
dispute,"['courtroom', 'mediation', 'trade war', 'family feud']","['association', 'social constellation', 'social constellation', 'social constellation']","[0.0, 0.0, 0.75, 0.25]"
distance,"['long-distance communication', 'separation in space', 'emotional detachment', 'travel across oceans']","['social constellation', 'sensorimotor feature', 'internal state and emotion', 'sensorimotor feature']","[0.5, 0.25, 0.25, 0.0]"
distraction,"['loud noise', 'smartphone notifications', 'restlessness', 'misdirection']","['sensorimotor feature', 'association', 'internal state and emotion', 'other abstract concept']","[0.25, 0.25, 0.0, 0.5]"
diversity,"['mosaic', 'global cuisine', 'cultural festival', 'language blend']","['association', 'sensorimotor feature', 'social constellation', 'social constellation']","[0.25, 0.0, 0.5, 0.25]"
doubt,"['hesitation', 'questioning', 'uncertainty', 'skepticism']","['internal state and emotion', 'internal state and emotion', 'internal state and emotion', 'internal state and emotion']","[0.0, 1.0, 0.0, 0.0]"
downfall,"['political scandal', 'economic collapse', 'personal betrayal', 'crumbling infrastructure']","['association', 'association', 'social constellation', 'sensorimotor feature']","[0.25, 0.0, 0.25, 0.5]"
dream,"['escape', 'subconscious', 'surreal', 'nighttime']","['internal state and emotion', 'internal state and emotion', 'association', 'association']","[0.0, 0.5, 0.0, 0.5]"
duty,"['guard post', 'guilt', 'uniform', 'schedule']","['sensorimotor feature', 'internal state and emotion', 'association', 'other abstract concept']","[0.25, 0.25, 0.0, 0.5]"
eagerness,"['child awaiting gifts', 'runner preparing for race', 'classroom on first day', 'volunteer ready to help']","['internal state and emotion', 'internal state and emotion', 'association', 'internal state and emotion']","[0.0, 0.75, 0.0, 0.25]"
effort,"['pushing against resistance', 'climbing a mountain', 'gradual progress', 'sustained action']","['sensorimotor feature', 'sensorimotor feature', 'other abstract concept', 'other abstract concept']","[0.5, 0.0, 0.0, 0.5]"
elegance,"['black-tie gala', 'antique vase', 'ballet pirouette', 'minimalist room']","['social constellation', 'association', 'sensorimotor feature', 'association']","[0.25, 0.0, 0.25, 0.5]"
