word,response,properties
abominable,"Repulsive
Extremely bad
Inspires disgust
Morally wrong
Unacceptable","['Repulsive', 'Extremely bad', 'Inspires disgust', 'Morally wrong', 'Unacceptable']"
accessible,"Available
Usable
Without barriers
Welcoming
Easy to reach","['Available', 'Usable', 'Without barriers', 'Welcoming', 'Easy to reach']"
accurate,"Precise
Correctness
Verified
Data
Measurements","['Precise', 'Correctness', 'Verified', 'Data', 'Measurements']"
accusation,"Blame
Formal
Legal
Deny
Public","['Blame', 'Formal', 'Legal', 'Deny', 'Public']"
admiration,"Respect
Approval
Inspiration
Observing closely
Positive feeling","['Respect', 'Approval', 'Inspiration', 'Observing closely', 'Positive feeling']"
adoring,"Intense
Affection
Gaze
Devotion
Idolizing","['Intense', 'Affection', 'Gaze', 'Devotion', 'Idolizing']"
affection,"Warmth
Caring
Gentle
Displayed openly
Close bond","['Warmth', 'Caring', 'Gentle', 'Displayed openly', 'Close bond']"
affirmation,"Positive
Statement
Self-belief
Encouragement
Repeated","['Positive', 'Statement', 'Self-belief', 'Encouragement', 'Repeated']"
affordable,"Within reach
Budget-friendly
Reasonable price
Accessible
Economical","['Within reach', 'Budget-friendly', 'Reasonable price', 'Accessible', 'Economical']"
aging,"Gradual
Time
Decline
Wrinkles
Process","['Gradual', 'Time', 'Decline', 'Wrinkles', 'Process']"
agitation,"Restlessness
Unease
Shaking
Stirring
Provoked","['Restlessness', 'Unease', 'Shaking', 'Stirring', 'Provoked']"
agree,"Concur
Shared view
Resolution
Nod
Unity","['Concur', 'Shared view', 'Resolution', 'Nod', 'Unity']"
amazing,"Exceptional
Inspiring awe
Beyond expectation
Positive reaction
Remarkable","['Exceptional', 'Inspiring awe', 'Beyond expectation', 'Positive reaction', 'Remarkable']"
amused,"Mildly pleased
A smile
Lighthearted
Entertainment
Enjoyment","['Mildly pleased', 'A smile', 'Lighthearted', 'Entertainment', 'Enjoyment']"
angry,"Elevated heart rate
Facial reddening
Frustration
Raised voice
Uncontrolled","['Elevated heart rate', 'Facial reddening', 'Frustration', 'Raised voice', 'Uncontrolled']"
angst,"Inward
Existential
Teenagers
Overwhelming
Searching","['Inward', 'Existential', 'Teenagers', 'Overwhelming', 'Searching']"
annoyed,"Mild irritation
Slight frustration
Impatience
Small disturbances
Restrained reaction","['Mild irritation', 'Slight frustration', 'Impatience', 'Small disturbances', 'Restrained reaction']"
anxious,"Worry
Restless
Anticipation
Unease
Physical tension","['Worry', 'Restless', 'Anticipation', 'Unease', 'Physical tension']"
appeal,"Request
Persuasion
Court
Attractive
Entreaty","['Request', 'Persuasion', 'Court', 'Attractive', 'Entreaty']"
appreciation,"Gratitude
Recognition
Value
Acknowledgment
Positive regard","['Gratitude', 'Recognition', 'Value', 'Acknowledgment', 'Positive regard']"
apprehensive,"Anxious
Uncertainty
Upcoming event
Mild fear
Expecting negative","['Anxious', 'Uncertainty', 'Upcoming event', 'Mild fear', 'Expecting negative']"
ashamed,"Regret
Internal
Blush
Socially
Wrongdoing","['Regret', 'Internal', 'Blush', 'Socially', 'Wrongdoing']"
assassinate,"Secret
Sudden
Political
Fatal
Targeted","['Secret', 'Sudden', 'Political', 'Fatal', 'Targeted']"
astonished,"Unexpected
Wide-eyed
Speechless
Surprise
Overwhelmed","['Unexpected', 'Wide-eyed', 'Speechless', 'Surprise', 'Overwhelmed']"
atrocity,"Heinous
Violation
Outrageous
Widespread suffering
Unspeakable","['Heinous', 'Violation', 'Outrageous', 'Widespread suffering', 'Unspeakable']"
avenge,"Retribution
Justice
Harm
Response
Wrongdoing","['Retribution', 'Justice', 'Harm', 'Response', 'Wrongdoing']"
