word,response,properties
abominable,"Extremely hateful or disgusting
Morally revolting behavior or actions
Describes something deserving strong condemnation
Inspires intense loathing and horror
Often paired with ""snowman"" in folklore","['Extremely hateful or disgusting', 'Morally revolting behavior or actions', 'Describes something deserving strong condemnation', 'Inspires intense loathing and horror', 'Often paired with ""snowman"" in folklore']"
accessible,"Easy to reach or enter
Available to everyone, including people with disabilities
Ramps and wide doorways
Simple to understand or use
No barriers preventing approach","['Easy to reach or enter', 'Available to everyone, including people with disabilities', 'Ramps and wide doorways', 'Simple to understand or use', 'No barriers preventing approach']"
accurate,"Correct without errors
Hitting the intended target
Precise measurement
Free from mistakes
Closely matching truth or reality","['Correct without errors', 'Hitting the intended target', 'Precise measurement', 'Free from mistakes', 'Closely matching truth or reality']"
accusation,"Blame directed at someone
Claim of wrongdoing
Courtroom or legal setting
Pointed finger
Requires evidence to prove","['Blame directed at someone', 'Claim of wrongdoing', 'Courtroom or legal setting', 'Pointed finger', 'Requires evidence to prove']"
admiration,"Deep respect felt toward someone impressive
Looking up to a person's achievements or qualities
Warm feeling of approval and appreciation
Often directed at heroes, mentors, or role models
Gazing with wonder and high regard","['Deep respect felt toward someone impressive', ""Looking up to a person's achievements or qualities"", 'Warm feeling of approval and appreciation', 'Often directed at heroes, mentors, or role models', 'Gazing with wonder and high regard']"
adoring,"Deep affection toward someone
Gazing lovingly with warm eyes
Devoted and worshipful attitude
How a fan looks at their idol
Expressing intense fondness openly","['Deep affection toward someone', 'Gazing lovingly with warm eyes', 'Devoted and worshipful attitude', 'How a fan looks at their idol', 'Expressing intense fondness openly']"
affection,"Warm feeling toward someone
Expressed through hugs and gentle touches
Felt between parent and child
Deeper than liking but softer than passion
Tenderness shown in everyday caring gestures","['Warm feeling toward someone', 'Expressed through hugs and gentle touches', 'Felt between parent and child', 'Deeper than liking but softer than passion', 'Tenderness shown in everyday caring gestures']"
affirmation,"Positive statement spoken to oneself
Reinforces self-worth or belief
Often repeated daily as a routine
Saying ""I am enough"" is an example
Encouragement through deliberate declaration","['Positive statement spoken to oneself', 'Reinforces self-worth or belief', 'Often repeated daily as a routine', 'Saying ""I am enough"" is an example', 'Encouragement through deliberate declaration']"
affordable,"Reasonably priced
Within your budget
Won't cause financial strain
Accessible to average income earners
Describes housing, healthcare, or everyday goods people can manage to pay for","['Reasonably priced', 'Within your budget', ""Won't cause financial strain"", 'Accessible to average income earners', 'Describes housing, healthcare, or everyday goods people can manage to pay for']"
aging,"Gradual biological process over time
Wrinkles and gray hair
Happens to every living organism
Loss of youthful vitality
Getting older year by year","['Gradual biological process over time', 'Wrinkles and gray hair', 'Happens to every living organism', 'Loss of youthful vitality', 'Getting older year by year']"
agitation,"Restless, nervous energy
Unable to sit still
Shaking or trembling movements
Emotional disturbance or upset
Stirring up or provoking unrest","['Restless, nervous energy', 'Unable to sit still', 'Shaking or trembling movements', 'Emotional disturbance or upset', 'Stirring up or provoking unrest']"
agree,"Same opinion as another person
Saying yes to a proposal or plan
Nodding your head
Harmony between two parties
Opposite of disagree or refuse","['Same opinion as another person', 'Saying yes to a proposal or plan', 'Nodding your head', 'Harmony between two parties', 'Opposite of disagree or refuse']"
