word,response,properties
ability,"word: ability  
properties: skill, talent, power, potential","['skill', 'talent', 'power', 'potential']"
accusation,"word: accusation  
properties: courtroom, evidence, suspicion, trial","['courtroom', 'evidence', 'suspicion', 'trial']"
achievement,"word: achievement  
properties: medal, milestone, pride, effort","['medal', 'milestone', 'pride', 'effort']"
activity,"word: activity  
properties: movement, energy, engagement, routine","['movement', 'energy', 'engagement', 'routine']"
addiction,"word: addiction  
properties: craving, withdrawal, relapse, obsession","['craving', 'withdrawal', 'relapse', 'obsession']"
admiration,"word: admiration  
properties: stars, applause, hero, gaze","['stars', 'applause', 'hero', 'gaze']"
advantage,"word: advantage  
properties: edge, benefit, upper hand, gain","['edge', 'benefit', 'upper hand', 'gain']"
adventure,"word: adventure  
properties: map, mountain, treasure, courage","['map', 'mountain', 'treasure', 'courage']"
advice,"word: advice  
properties: mentor, decision, warning, guidance","['mentor', 'decision', 'warning', 'guidance']"
agony,"word: agony  
properties: scream, tears, silence, fire","['scream', 'tears', 'silence', 'fire']"
agreement,"word: agreement  
properties: handshake, contract, peace, signature","['handshake', 'contract', 'peace', 'signature']"
amazement,"word: amazement  
properties: gasp, wonder, sky, lightning","['gasp', 'wonder', 'sky', 'lightning']"
ambition,"word: ambition  
properties: climb, fire, goal, drive","['climb', 'fire', 'goal', 'drive']"
ambush,"word: ambush  
properties: surprise, danger, hiding, attack","['surprise', 'danger', 'hiding', 'attack']"
amusement,"word: amusement  
properties: laughter, carnival, game, smile","['laughter', 'carnival', 'game', 'smile']"
anger,"word: anger  
properties: clenched fist, red face, shouting, tight jaw","['clenched fist', 'red face', 'shouting', 'tight jaw']"
anxiety,"word: anxiety  
properties: racing heart, tight chest, restless mind, trembling hands","['racing heart', 'tight chest', 'restless mind', 'trembling hands']"
apology,"word: apology  
properties: regret, gesture, forgiveness, silence","['regret', 'gesture', 'forgiveness', 'silence']"
appearance,"word: appearance  
properties: mirror, reflection, first impression, clothing","['mirror', 'reflection', 'first impression', 'clothing']"
appetite,"word: appetite  
properties: hunger, food, craving, meal","['hunger', 'food', 'craving', 'meal']"
application,"word: application  
properties: form, download, software, submission","['form', 'download', 'software', 'submission']"
aptitude,"word: aptitude  
properties: test, skill, learning, talent","['test', 'skill', 'learning', 'talent']"
argument,"word: argument  
properties: conflict, debate, disagreement, tension","['conflict', 'debate', 'disagreement', 'tension']"
art,"word: art  
properties: canvas, brush, museum, creativity","['canvas', 'brush', 'museum', 'creativity']"
aspect,"word: aspect  
properties: angle, light, view, detail","['angle', 'light', 'view', 'detail']"
assassination,"word: assassination  
properties: conspiracy, secret, death, betrayal","['conspiracy', 'secret', 'death', 'betrayal']"
assumption,"word: assumption  
properties: blind, belief, guess, trust","['blind', 'belief', 'guess', 'trust']"
astonishment,"word: astonishment  
properties: gasp, lightning, sudden, wide eyes","['gasp', 'lightning', 'sudden', 'wide eyes']"
attack,"word: attack  
properties: weapon, fear, defense, war","['weapon', 'fear', 'defense', 'war']"
attention,"word: attention  
properties: spotlight, focus, silence, eyes","['spotlight', 'focus', 'silence', 'eyes']"
attraction,"word: attraction  
properties: magnet, gaze, pull, sparkle","['magnet', 'gaze', 'pull', 'sparkle']"
beauty,"word: beauty  
properties: sunrise, mirror, smile, garden","['sunrise', 'mirror', 'smile', 'garden']"
being,"word: being  
properties: breath, shadow, silence, light","['breath', 'shadow', 'silence', 'light']"
betrayal,"word: betrayal  
properties: broken trust, hidden motives, shattered loyalty, emotional pain","['broken trust', 'hidden motives', 'shattered loyalty', 'emotional pain']"
blackmail,"word: blackmail  
properties: threat, secret, fear, power","['threat', 'secret', 'fear', 'power']"
boredom,"word: boredom  
properties: waiting, silence, scrolling, yawn","['waiting', 'silence', 'scrolling', 'yawn']"
boycott,"word: boycott  
properties: protest, refusal, action, solidarity","['protest', 'refusal', 'action', 'solidarity']"
bravery,"word: bravery  
properties: fire, soldier, mountain, silence","['fire', 'soldier', 'mountain', 'silence']"
career,"word: career  
properties: promotion, office, ambition, growth","['promotion', 'office', 'ambition', 'growth']"
carefulness,"word: carefulness  
properties: caution, precision, safety, attention","['caution', 'precision', 'safety', 'attention']"
catastrophe,"word: catastrophe  
properties: earthquake, fire, panic, destruction","['earthquake', 'fire', 'panic', 'destruction']"
caution,"word: caution  
properties: warning sign, slow down, safety, risk","['warning sign', 'slow down', 'safety', 'risk']"
challenge,"word: challenge  
properties: mountain, obstacle, growth, fire","['mountain', 'obstacle', 'growth', 'fire']"
chaos,"word: chaos  
properties: storm, disorder, noise, confusion","['storm', 'disorder', 'noise', 'confusion']"
