word,response,properties
ability,"word: ability
properties: skill, talent, effort, success","['skill', 'talent', 'effort', 'success']"
accusation,"word: accusation
properties: courtroom, finger-pointing, denial, scandal","['courtroom', 'finger-pointing', 'denial', 'scandal']"
achievement,"word: achievement
properties: trophy, graduation, pride, medal","['trophy', 'graduation', 'pride', 'medal']"
activity,"word: activity
properties: exercise, busy, playground, movement","['exercise', 'busy', 'playground', 'movement']"
addiction,"word: addiction
properties: craving, relapse, withdrawal, habit","['craving', 'relapse', 'withdrawal', 'habit']"
admiration,"word: admiration
properties: applause, statue, leader, shining eyes","['applause', 'statue', 'leader', 'shining eyes']"
advantage,"word: advantage
properties: competition, lead, opportunity, strategy","['competition', 'lead', 'opportunity', 'strategy']"
adventure,"word: adventure
properties: backpack, jungle, map, risk","['backpack', 'jungle', 'map', 'risk']"
advice,"word: advice
properties: mentor, warning, guidance, decision","['mentor', 'warning', 'guidance', 'decision']"
agony,"word: agony
properties: scream, hospital, tears, burning","['scream', 'hospital', 'tears', 'burning']"
agreement,"word: agreement
properties: handshake, contract, signature, meeting","['handshake', 'contract', 'signature', 'meeting']"
amazement,"word: amazement
properties: fireworks, wide eyes, magic trick, gasp","['fireworks', 'wide eyes', 'magic trick', 'gasp']"
ambition,"word: ambition
properties: ladder, promotion, late nights, trophy","['ladder', 'promotion', 'late nights', 'trophy']"
ambush,"word: ambush
properties: forest, surprise, hidden, attack","['forest', 'surprise', 'hidden', 'attack']"
amusement,"word: amusement
properties: rollercoaster, laughter, carnival, popcorn","['rollercoaster', 'laughter', 'carnival', 'popcorn']"
anger,"word: anger
properties: shouting, red face, argument, slammed door","['shouting', 'red face', 'argument', 'slammed door']"
anxiety,"word: anxiety
properties: racing heart, insomnia, crowded room, nail-biting","['racing heart', 'insomnia', 'crowded room', 'nail-biting']"
apology,"word: apology
properties: regret, mistake, forgiveness, awkwardness","['regret', 'mistake', 'forgiveness', 'awkwardness']"
appearance,"word: appearance
properties: mirror, first impression, clothing, confidence","['mirror', 'first impression', 'clothing', 'confidence']"
appetite,"word: appetite
properties: hunger, meal, cravings, stomach","['hunger', 'meal', 'cravings', 'stomach']"
application,"word: application
properties: job, form, submit, deadline","['job', 'form', 'submit', 'deadline']"
aptitude,"word: aptitude
properties: test, school, talent, score","['test', 'school', 'talent', 'score']"
argument,"word: argument
properties: shouting, tension, misunderstanding, debate","['shouting', 'tension', 'misunderstanding', 'debate']"
art,"word: art
properties: paint, museum, canvas, gallery","['paint', 'museum', 'canvas', 'gallery']"
aspect,"word: aspect
properties: angle, perspective, feature, side","['angle', 'perspective', 'feature', 'side']"
assassination,"word: assassination
properties: target, sniper, conspiracy, security","['target', 'sniper', 'conspiracy', 'security']"
assumption,"word: assumption
properties: guess, misunderstanding, bias, expectation","['guess', 'misunderstanding', 'bias', 'expectation']"
astonishment,"word: astonishment
properties: wide eyes, dropped jaw, fireworks, sudden silence","['wide eyes', 'dropped jaw', 'fireworks', 'sudden silence']"
attack,"word: attack
properties: alarm, defender, sudden, injury","['alarm', 'defender', 'sudden', 'injury']"
attention,"word: attention
properties: spotlight, classroom, focus, noise","['spotlight', 'classroom', 'focus', 'noise']"
attraction,"word: attraction
properties: magnet, amusement park, chemistry, crowd","['magnet', 'amusement park', 'chemistry', 'crowd']"
beauty,"word: beauty
properties: mirror, flowers, elegance, art","['mirror', 'flowers', 'elegance', 'art']"
being,"word: being
properties: existence, presence, consciousness, life","['existence', 'presence', 'consciousness', 'life']"
betrayal,"word: betrayal
properties: broken trust, secret revealed, backstabbing, tears","['broken trust', 'secret revealed', 'backstabbing', 'tears']"
blackmail,"word: blackmail
properties: secret, threat, money, scandal","['secret', 'threat', 'money', 'scandal']"
