word,response,properties
ability,"

word: ability  
properties: mastering a musical instrument, solving complex puzzles under pressure, climbing a mountain without equipment, crafting intricate machinery","['mastering a musical instrument', 'solving complex puzzles under pressure', 'climbing a mountain without equipment', 'crafting intricate machinery']"
accusation,"

word: accusation  
properties: courtroom drama, betrayal, finger-pointing, reputation damage","['courtroom drama', 'betrayal', 'finger-pointing', 'reputation damage']"
achievement,"

word: achievement  
properties: medal, relentless effort, public acknowledgment, self-validation","['medal', 'relentless effort', 'public acknowledgment', 'self-validation']"
activity,"

word: activity  
properties: competition, physical exertion, collaboration, time passing","['competition', 'physical exertion', 'collaboration', 'time passing']"
addiction,"

word: addiction  
properties: cravings, secret rituals, loss of self-control, isolation","['cravings', 'secret rituals', 'loss of self-control', 'isolation']"
admiration,"

word: admiration  
properties: bowing, pride in others, statue of a hero, moment of awe","['bowing', 'pride in others', 'statue of a hero', 'moment of awe']"
advantage,"

word: advantage  
properties: strategic positioning, favorable terms, superior resources, positive momentum","['strategic positioning', 'favorable terms', 'superior resources', 'positive momentum']"
adventure,"

word: adventure  
properties: map, risk, unknown terrain, excitement","['map', 'risk', 'unknown terrain', 'excitement']"
advice,"

word: advice  
properties: medical consultation, crossroads decision, written notes, consequence avoidance","['medical consultation', 'crossroads decision', 'written notes', 'consequence avoidance']"
agony,"

word: agony  
properties: burning chest, elevator silence, toothache, midnight siren","['burning chest', 'elevator silence', 'toothache', 'midnight siren']"
agreement,"

word: agreement  
properties: handshake, contract, compromise, peace","['handshake', 'contract', 'compromise', 'peace']"
amazement,"

word: amazement  
properties: meteor shower, ancient artifact, gasp, iridescent light","['meteor shower', 'ancient artifact', 'gasp', 'iridescent light']"
ambition,"

word: ambition  
properties: long hours, mountain climbing, rivalries, ladder","['long hours', 'mountain climbing', 'rivalries', 'ladder']"
ambush,"

word: ambush  
properties: predator, concealed position, sudden movement, unseen threat","['predator', 'concealed position', 'sudden movement', 'unseen threat']"
amusement,"

word: amusement  
properties: circus, laughter, roller coaster, clown","['circus', 'laughter', 'roller coaster', 'clown']"
anger,"

word: anger  
properties: heated argument, red face, clenched fist, stormy sky","['heated argument', 'red face', 'clenched fist', 'stormy sky']"
anxiety,"

word: anxiety  
properties: racing heart, public speaking, cluttered room, waiting in line","['racing heart', 'public speaking', 'cluttered room', 'waiting in line']"
apology,"

word: apology  
properties: admitting fault, heartfelt gesture, reconciliation, emotional weight","['admitting fault', 'heartfelt gesture', 'reconciliation', 'emotional weight']"
appearance,"

word: appearance  
properties: first impression, disguise, mirror reflection, costume party","['first impression', 'disguise', 'mirror reflection', 'costume party']"
appetite,"

word: appetite  
properties: feast, satisfaction, craving, overeating","['feast', 'satisfaction', 'craving', 'overeating']"
application,"

word: application  
properties: job submission, software interface, paint brush, research implementation","['job submission', 'software interface', 'paint brush', 'research implementation']"
aptitude,"

word: aptitude  
properties: problem-solving, logical reasoning, rapid learning, strategic insight","['problem-solving', 'logical reasoning', 'rapid learning', 'strategic insight']"
argument,"

word: argument  
properties: family dinner, political debate, compromise, emotional tension","['family dinner', 'political debate', 'compromise', 'emotional tension']"
art,"

word: art  
properties: creation, emotion, aesthetics, expression","['creation', 'emotion', 'aesthetics', 'expression']"
aspect,"

word: aspect  
properties: perspective, design, terrain, analysis","['perspective', 'design', 'terrain', 'analysis']"
assassination,"

word: assassination  
properties: silent strike, shadowed alley, political instability, poisoned blade","['silent strike', 'shadowed alley', 'political instability', 'poisoned blade']"
assumption,"

word: assumption  
properties: premise, risk, bias, conflict","['premise', 'risk', 'bias', 'conflict']"
astonishment,"

word: astonishment  
properties: meteor shower, unearthing ancient relic, sudden silence in a crowd, lightning strike","['meteor shower', 'unearthing ancient relic', 'sudden silence in a crowd', 'lightning strike']"
attack,"

word: attack  
properties: military strike, cyber breach, soccer dribble, verbal retaliation","['military strike', 'cyber breach', 'soccer dribble', 'verbal retaliation']"
attention,"

word: attention  
properties: focus, distraction, presence, engagement","['focus', 'distraction', 'presence', 'engagement']"
attraction,"

word: attraction  
properties: magnet, crowd, landscape, warmth","['magnet', 'crowd', 'landscape', 'warmth']"
beauty,"

word: beauty  
properties: sunrise, sculpture, whisper, mirror","['sunrise', 'sculpture', 'whisper', 'mirror']"
being,"

word: being  
properties: respiration, posture, presence, relationships","['respiration', 'posture', 'presence', 'relationships']"
betrayal,"

word: betrayal  
properties: dagger, secret meeting, cold silence, broken vows","['dagger', 'secret meeting', 'cold silence', 'broken vows']"
blackmail,"

word: blackmail  
properties: threatening exposure, coercive negotiation, emotional manipulation, exploitation of secrets","['threatening exposure', 'coercive negotiation', 'emotional manipulation', 'exploitation of secrets']"
boredom,"

word: boredom  
properties: waiting in line, empty room, repetitive task, rainy day","['waiting in line', 'empty room', 'repetitive task', 'rainy day']"
boycott,"

word: boycott  
properties: protest, economic consequences, solidarity, non-cooperation","['protest', 'economic consequences', 'solidarity', 'non-cooperation']"
bravery,"

word: bravery  
properties: fire, silence, wounds, dawn","['fire', 'silence', 'wounds', 'dawn']"
career,"

word: career  
properties: promotion, office, networking events, stress","['promotion', 'office', 'networking events', 'stress']"
carefulness,"

word: carefulness  
properties: double-checking, meticulous steps, avoiding risks, detailed preparation","['double-checking', 'meticulous steps', 'avoiding risks', 'detailed preparation']"
catastrophe,"

word: catastrophe  
properties: volcanic eruption, terrorist attack, economic collapse, pandemic outbreak","['volcanic eruption', 'terrorist attack', 'economic collapse', 'pandemic outbreak']"
caution,"

word: caution  
properties: yellow sign, icy path, construction zone, slipperiness","['yellow sign', 'icy path', 'construction zone', 'slipperiness']"
challenge,"

word: challenge  
properties: mountain climb, solving riddle, competition, overcoming fear","['mountain climb', 'solving riddle', 'competition', 'overcoming fear']"
chaos,"

word: chaos  
properties: broken mirror, tangled web, stormy sea, jumbled puzzle","['broken mirror', 'tangled web', 'stormy sea', 'jumbled puzzle']"
character,"

word: character  
properties: protagonist's arc, integrity, distinctiveness, resilience","[""protagonist's arc"", 'integrity', 'distinctiveness', 'resilience']"
charm,"

word: charm  
properties: spell, magnetic pull, heirloom, twilight glow","['spell', 'magnetic pull', 'heirloom', 'twilight glow']"
comfort,"

word: comfort  
properties: blanket, warm drink, familiar song, quiet room","['blanket', 'warm drink', 'familiar song', 'quiet room']"
commitment,"

word: commitment  
properties: staying through challenges, consistent actions over time, loyalty in relationships, dedication to goals","['staying through challenges', 'consistent actions over time', 'loyalty in relationships', 'dedication to goals']"
comparison,"

word: comparison  
properties: shopping aisle, debate arguments, product reviews, balance scale","['shopping aisle', 'debate arguments', 'product reviews', 'balance scale']"
compassion,"

word: compassion  
properties: helping strangers, emotional connection, selfless acts, shared understanding","['helping strangers', 'emotional connection', 'selfless acts', 'shared understanding']"
competence,"

word: competence  
properties: job interview, project completion, certification, mentorship role","['job interview', 'project completion', 'certification', 'mentorship role']"
compromise,"

word: compromise  
properties: negotiation, adjustment, middle ground, shared agreement","['negotiation', 'adjustment', 'middle ground', 'shared agreement']"
compulsion,"

word: compulsion  
properties: repetitive hand-washing, urge to check locks, unending scroll, ritualistic counting","['repetitive hand-washing', 'urge to check locks', 'unending scroll', 'ritualistic counting']"
confession,"

word: confession  
properties: priest, raw moment, turning point, redemption","['priest', 'raw moment', 'turning point', 'redemption']"
conflict,"

word: conflict  
properties: battle, distrust, border, mediation","['battle', 'distrust', 'border', 'mediation']"
consideration,"

word: consideration  
properties: bridge-building, delayed gratification, empathetic compromise, moral weighing","['bridge-building', 'delayed gratification', 'empathetic compromise', 'moral weighing']"
consolation,"

word: consolation  
properties: warm embrace, shared memory, quiet garden, handwritten letter","['warm embrace', 'shared memory', 'quiet garden', 'handwritten letter']"
contempt,"

word: contempt  
properties: scornful glance, rejection gesture, superiority stance, bitter remark","['scornful glance', 'rejection gesture', 'superiority stance', 'bitter remark']"
convention,"

word: convention  
properties: debate rules, trade show, social norms, political gathering","['debate rules', 'trade show', 'social norms', 'political gathering']"
cooperation,"

word: cooperation  
properties: teamwork, trust, shared goals, interdependence","['teamwork', 'trust', 'shared goals', 'interdependence']"
courage,"

word: courage  
properties: facing fear head-on, stepping into the unknown, enduring pain without flinching, leading others through danger","['facing fear head-on', 'stepping into the unknown', 'enduring pain without flinching', 'leading others through danger']"
creativity,"

word: creativity  
properties: blank canvas, sudden insight, unconventional method, uncharted territory","['blank canvas', 'sudden insight', 'unconventional method', 'uncharted territory']"
crime,"

word: crime  
properties: courtroom, secret plans, stolen item, fearful gaze","['courtroom', 'secret plans', 'stolen item', 'fearful gaze']"
criticism,"

word: criticism  
properties: debate, feedback session, comment section, performance review","['debate', 'feedback session', 'comment section', 'performance review']"
cruelty,"

word: cruelty  
properties: whip, screams, stone heart, frozen lake","['whip', 'screams', 'stone heart', 'frozen lake']"
culture,"

word: culture  
properties: rituals, museums, language, cuisine","['rituals', 'museums', 'language', 'cuisine']"
curiosity,"

word: curiosity  
properties: magnifying glass, detective, child's wide-eyed gaze, uncharted forest","['magnifying glass', 'detective', ""child's wide-eyed gaze"", 'uncharted forest']"
custom,"

word: custom  
properties: tailor, tradition, bespoke, habit","['tailor', 'tradition', 'bespoke', 'habit']"
danger,"

word: danger  
properties: cliff edge, ticking clock, locked door, storm approach","['cliff edge', 'ticking clock', 'locked door', 'storm approach']"
death,"

word: death  
properties: silence, absence of warmth, eternal rest, funeral home","['silence', 'absence of warmth', 'eternal rest', 'funeral home']"
decision,"

word: decision  
properties: crossroads, consequence, weighing options, resolve","['crossroads', 'consequence', 'weighing options', 'resolve']"
demand,"

word: demand  
properties: workplace conflict, price increase, emotional tension, scarcity","['workplace conflict', 'price increase', 'emotional tension', 'scarcity']"
