word,response,properties
ability,"ability: 
 properties: talent, hardwork, confidence, opportunity","['talent', 'hardwork', 'confidence', 'opportunity']"
accusation,"accusation: police, court, guilty, conspiracy",[]
achievement,"achievement: trophy awarded, strong work ethic, prideful parent, athletic championship",[]
activity,"activity: vacation
 properties: summer, memories, beach, planning","['summer', 'memories', 'beach', 'planning']"
addiction,"addiction: withdrawal, rehab center, relapse, denial",[]
admiration,"word: admiration 
properties: award, fan, icon, mentor","['award', 'fan', 'icon', 'mentor']"
advantage,"advantage: business strategy, sports competition, economic growth, negotiation point",[]
adventure,"adventure:
 properties: map, pirate, treasure, canyon","['map', 'pirate', 'treasure', 'canyon']"
advice,"word: advice
 properties: diary, mentor, journaling, counseling","['diary', 'mentor', 'journaling', 'counseling']"
agony,"word: agony
properties: tears, surgery, desperation, darkness","['tears', 'surgery', 'desperation', 'darkness']"
agreement,"agreement: 
 properties: contract, sign language, compromise, handshake","['contract', 'sign language', 'compromise', 'handshake']"
amazement,"amazement: eyes wide, fairy tale, thrill ride, fireworks display",[]
ambition,"ambition: success, drive, late nights, trophies",[]
ambush,"ambush: 
properties: warfare, forest, camouflage, unexpected","['warfare', 'forest', 'camouflage', 'unexpected']"
amusement,"amusement:  arcade, children, laughter, rollercoaster",[]
anger,"anger: 
 properties: 
  1. explosion
  2. revenge
  3. road rage 
  4. stormy weather","['1. explosion', '2. revenge', '3. road rage', '4. stormy weather']"
anxiety,"anxiety: racing heart, panic attack, anxious thoughts, sleepless night",[]
apology,"apology: regret, email, tears, forgiveness",[]
appearance,"word: appearance
properties: mirror, clothes, smile, contest","['mirror', 'clothes', 'smile', 'contest']"
appetite,"word: appetite
properties: breakfast, restaurant, hunger, binge-watching","['breakfast', 'restaurant', 'hunger', 'binge-watching']"
application,"application: 
 properties: document, security, interview, resume","['document', 'security', 'interview', 'resume']"
aptitude,"word: aptitude
properties: talent, test, interview, certificates","['talent', 'test', 'interview', 'certificates']"
argument,"argument: 
properties: disagreement, courtroom, teenager, loud mouthed","['disagreement', 'courtroom', 'teenager', 'loud mouthed']"
art,"word: art
properties: museum, piano, canvas, sculpture","['museum', 'piano', 'canvas', 'sculpture']"
aspect,"aspect: 
properties: darkness, sculpture, mountain, shadow","['darkness', 'sculpture', 'mountain', 'shadow']"
assassination,"assassination:
 properties: courtroom, conspiracy, dark alley, fingerprint","['courtroom', 'conspiracy', 'dark alley', 'fingerprint']"
assumption,"word: assumption
properties: judgment, prejudice, stereotype, theory","['judgment', 'prejudice', 'stereotype', 'theory']"
astonishment,"astonishment: 
 properties: silence, smile, mirror, amazement","['silence', 'smile', 'mirror', 'amazement']"
attack,"attack: war, surprise, vulnerability, chaos",[]
attention,"attention: focus, teacher, meeting, silence",[]
attraction,"attraction: 
stars, festival, romance, magnetism",[]
beauty,"beauty: makeup, flowers, sunset, perfection",[]
being,"being: 

 properties: existence, universe, essence, reality","['existence', 'universe', 'essence', 'reality']"
betrayal,"betrayal: 
property1: prison
property2: revenge
property3: trust
 property4: public",[]
blackmail,"word: blackmail
properties: ransom, secret, espionage, crime","['ransom', 'secret', 'espionage', 'crime']"
boredom,"word: boredom
properties: homework, insomnia, office, road trip","['homework', 'insomnia', 'office', 'road trip']"
boycott,"word: boycott
properties: protest, workers' rights, apartheid, divestment","['protest', ""workers' rights"", 'apartheid', 'divestment']"
bravery,"word: bravery
properties: shield, eagle, poem, soldier","['shield', 'eagle', 'poem', 'soldier']"
career,"career: 
work-life balance, salary range, job security, professional networking",[]
carefulness,"carefulness:
 properties: children playing, precision instruments, elderly guidance, fragile plants","['children playing', 'precision instruments', 'elderly guidance', 'fragile plants']"
