word,response,properties
ability,"word: ability
properties: potential, practice, tool, challenge","['potential', 'practice', 'tool', 'challenge']"
accusation,"word: accusation
properties: finger, trial, doubt, whisper","['finger', 'trial', 'doubt', 'whisper']"
achievement,"word: achievement
properties: pride, medal, goal, podium","['pride', 'medal', 'goal', 'podium']"
activity,"word: activity
properties: hobby, children, sweat, schedule","['hobby', 'children', 'sweat', 'schedule']"
addiction,"word: addiction
properties: chains, needle, hiding, empty wallet","['chains', 'needle', 'hiding', 'empty wallet']"
admiration,"word: admiration
properties: awe, mentorship, plaque, blueprint","['awe', 'mentorship', 'plaque', 'blueprint']"
advantage,"word: advantage
properties: head start, leverage, skill, information","['head start', 'leverage', 'skill', 'information']"
adventure,"word: adventure
properties: map, mountain, discovery, courage","['map', 'mountain', 'discovery', 'courage']"
advice,"word: advice
properties: parent, crossroads, listen, experience","['parent', 'crossroads', 'listen', 'experience']"
agony,"agony: scream, broken leg, tears, clenched teeth",[]
agreement,"word: agreement
properties: handshake, contract, compromise, peace","['handshake', 'contract', 'compromise', 'peace']"
amazement,"word: amazement
properties: wide eyes, gasp, magic show, waterfall","['wide eyes', 'gasp', 'magic show', 'waterfall']"
ambition,"word: ambition
properties: stairs, finish line, sweat, mountain peak","['stairs', 'finish line', 'sweat', 'mountain peak']"
ambush,"word: ambush
properties: bush, sudden, patience, shock","['bush', 'sudden', 'patience', 'shock']"
amusement,"word: amusement
properties: laughter, theme park, cotton candy, rollercoaster","['laughter', 'theme park', 'cotton candy', 'rollercoaster']"
anger,"word: anger
properties: redness, shouting, fist, steam","['redness', 'shouting', 'fist', 'steam']"
anxiety,"word: anxiety
properties: racing heart, job interview, overthinking, storm cloud","['racing heart', 'job interview', 'overthinking', 'storm cloud']"
apology,"word: apology
properties: relief, forgiveness, guilt, repair","['relief', 'forgiveness', 'guilt', 'repair']"
appearance,"word: appearance
properties: deception, clothing, shape, debut","['deception', 'clothing', 'shape', 'debut']"
appetite,"word: appetite
properties: food, stomach, growl, meal","['food', 'stomach', 'growl', 'meal']"
application,"word: application
properties: resume, icon, formula, sunscreen","['resume', 'icon', 'formula', 'sunscreen']"
aptitude,"word: aptitude
properties: quick learning, discovery, smooth progress, aptitude test","['quick learning', 'discovery', 'smooth progress', 'aptitude test']"
argument,"word: argument
properties: raised voices, frustration, evidence, resolution","['raised voices', 'frustration', 'evidence', 'resolution']"
art,"word: art
properties: brush, museum, color, sculpture","['brush', 'museum', 'color', 'sculpture']"
aspect,"word: aspect
properties: viewpoint, component, characteristic, dimension","['viewpoint', 'component', 'characteristic', 'dimension']"
assassination,"word: assassination
properties: flash, headline, crown, plot","['flash', 'headline', 'crown', 'plot']"
assumption,"word: assumption
properties: hypothesis, mistake, future, basis","['hypothesis', 'mistake', 'future', 'basis']"
astonishment,"word: astonishment
properties: wide eyes, dropped jaw, silence, discovery","['wide eyes', 'dropped jaw', 'silence', 'discovery']"
attack,"word: attack
properties: claws, scream, ambush, adrenaline","['claws', 'scream', 'ambush', 'adrenaline']"
