word,response,properties
ability,"ability: sports skills, success story, talent show, superpower",[]
accusation,"word: accusation
properties: trial, lawyer, fingerprint, suspect","['trial', 'lawyer', 'fingerprint', 'suspect']"
achievement,"achievement: Nobel Prize, college graduate, competitive sports, life-long goal",[]
activity,"activity: 
properties: exercise, schedule, excitement, team","['exercise', 'schedule', 'excitement', 'team']"
addiction,"addiction: withdrawal, pills, overdose, therapy",[]
admiration,"admiration: inspiration, flowers, respect, museum",[]
advantage,"word: advantage
properties: negotiation, athleticism, competition, salary","['negotiation', 'athleticism', 'competition', 'salary']"
adventure,"word: adventure
properties: camping, treasure, pirates, journey","['camping', 'treasure', 'pirates', 'journey']"
advice,"advice: 
older sister, lawyer, diary, mentorship.",[]
agony,"word: agony
properties: hospital bed, tears, heavy rain, nightmare","['hospital bed', 'tears', 'heavy rain', 'nightmare']"
agreement,"agreement: law, contract, handshake, politician",[]
amazement,"amazement: 
properties:  fireworks, smile, rollercoaster, wonder","['fireworks', 'smile', 'rollercoaster', 'wonder']"
ambition,"word: ambition
properties: drive, mountain, leader, fire","['drive', 'mountain', 'leader', 'fire']"
ambush,"word: ambush
properties: night, jungle, soldier, fear","['night', 'jungle', 'soldier', 'fear']"
amusement,"amusement 
properties: park, laughter, arcade, birthday","['park', 'laughter', 'arcade', 'birthday']"
anger,"anger: explosive gesture, street protest, dark cloud, heavy breath.",[]
anxiety,"anxiety: 
properties: 
    nightmares
    medication
    storm
    performance","['nightmares', 'medication', 'storm', 'performance']"
apology,"word: apology
properties: tears, regret, confrontation, resolution","['tears', 'regret', 'confrontation', 'resolution']"
appearance,"appearance: 
 properties: makeup, reflection, photo, mask","['makeup', 'reflection', 'photo', 'mask']"
appetite,"word: appetite
properties: hunger, buffet, dieting, craving","['hunger', 'buffet', 'dieting', 'craving']"
application,"application: 
 properties:  resume, interview, software, process","['resume', 'interview', 'software', 'process']"
aptitude,"word: aptitude
properties: puzzle, exam, athletic, genius","['puzzle', 'exam', 'athletic', 'genius']"
argument,"argument: 
 properties: shouting, debate, family dinner, divorce","['shouting', 'debate', 'family dinner', 'divorce']"
art,"word: art
properties: canvas, museum, sculpture, palette","['canvas', 'museum', 'sculpture', 'palette']"
aspect,"aspect: 
properties: landscape, dimension, perception, shadow","['landscape', 'dimension', 'perception', 'shadow']"
assassination,"assassination: 

properties: secret mission, presidential protection, film noir plot twist, organized crime cartel","['secret mission', 'presidential protection', 'film noir plot twist', 'organized crime cartel']"
assumption,"assumption: 
properties:  prediction, 
             stereotype, 
             prejudice, 
             hypothesis","['prediction', 'stereotype', 'prejudice', 'hypothesis']"
astonishment,"astonishment: 
lost for words, large eyes wide open, fireworks explosion, deep breath startled",[]
attack,"attack: 

- chaos 
- military 
- knife
- first strike",[]
attention,"word: attention
properties: focus, distraction, exam, concert","['focus', 'distraction', 'exam', 'concert']"
attraction,"word: attraction
properties: beach, festival, chemistry, gravity","['beach', 'festival', 'chemistry', 'gravity']"
beauty,"beauty: flawless skin, fragrance oils, pearl necklace, sunset glow",[]
being,"being: existence, solitude, meditation, rebirth",[]
betrayal,"betrayal: 
properties: memory loss, war propaganda, Shakespearean drama, cheating partner","['memory loss', 'war propaganda', 'Shakespearean drama', 'cheating partner']"
blackmail,"word: blackmail
properties: ransom, investigation, secret, powerful","['ransom', 'investigation', 'secret', 'powerful']"
boredom,"word: boredom
properties: napping, video games, countryside, routine","['napping', 'video games', 'countryside', 'routine']"
boycott,"word: boycott
properties: protest, economy, farming, sanctions","['protest', 'economy', 'farming', 'sanctions']"
bravery,"word: bravery
properties: battlefield, superhero, medals, pride","['battlefield', 'superhero', 'medals', 'pride']"
career,"career: workplace, retirement, education, stress",[]
carefulness,"carefulness: 
 properties:  fragile objects, perfectionism, old furniture, hospitals","['fragile objects', 'perfectionism', 'old furniture', 'hospitals']"
catastrophe,"catastrophe: 
1. natural disaster
2. financial collapse
3. apocalyptic movie plot twist
4. environmental degradation",[]
caution,"caution: warning, slow speed limit, crime scene tape, road sign",[]
challenge,"word: challenge
properties: obstacle, competition, team effort, achievement","['obstacle', 'competition', 'team effort', 'achievement']"
chaos,"chaos: pandemonium, video game glitch, unpredictable weather, natural disaster",[]
character,"character: 
 properties: costume, superhero, personality, drama","['costume', 'superhero', 'personality', 'drama']"
charm,"charm: magic, romantic, jewelry, sparkle",[]
comfort,"comfort: warm blanket, family dinner, peaceful evening, cozy home",[]
commitment,"commitment: vow, team, investment, engagement",[]
comparison,"comparison: contrast, science fair, differences, highlight reel",[]
compassion,"compassion:
 properties: tear, orphanage, kindness, flowers","['tear', 'orphanage', 'kindness', 'flowers']"
competence,"competence: 
properties: skills, leadership, resume, certification","['skills', 'leadership', 'resume', 'certification']"
compromise,"(compromise): flexibility, negotiation, sacrifice, mediator",[]
compulsion,"compulsion: 
properties: obsession, neurosis, addiction, coercion","['obsession', 'neurosis', 'addiction', 'coercion']"
confession,"word: confession
properties: 
1. Monastery
2. Secret diary
3. Overheard by someone
4. Public apology","['1. Monastery', '2. Secret diary', '3. Overheard by someone', '4. Public apology']"
conflict,"conflict: 
properties: resolution, hostage, war, trenches","['resolution', 'hostage', 'war', 'trenches']"
consideration,"consideration: complex emotions, delicate balance, career choices, compromise",[]
consolation,"consolation: 
properties: support, regret, comfort zone, goodbye","['support', 'regret', 'comfort zone', 'goodbye']"
contempt,"contempt: 
 properties: eye-roll, insult, politician, condescension","['eye-roll', 'insult', 'politician', 'condescension']"
convention,"convention: 
- banners 
- schedule 
- delegate 
- handshake",[]
cooperation,"cooperation: teamwork meetings, trust issues, united we stand, peaceful resolution",[]
courage,"courage:
 properties: bravery badges, knight in shining armor, rocky roads, true loyalty","['bravery badges', 'knight in shining armor', 'rocky roads', 'true loyalty']"
creativity,"word: creativity
properties: imagination, art gallery, brainstorming session, child's play","['imagination', 'art gallery', 'brainstorming session', ""child's play""]"
crime,"crime: 
 properties: detective, prison, guns, jury","['detective', 'prison', 'guns', 'jury']"
criticism,"word: criticism
properties: defensiveness, speech, review, silence","['defensiveness', 'speech', 'review', 'silence']"
cruelty,"cruelty: violence, abandoned children, corrupt officials, toxic relationship",[]
culture,"culture: 
properties: festival, diversity, art, custom","['festival', 'diversity', 'art', 'custom']"
curiosity,"curiosity:
 properties: 
 1. childhood museum
 2. detective novels
 3. science experiments
 4. discovery adventure","['1. childhood museum', '2. detective novels', '3. science experiments', '4. discovery adventure']"
custom,"custom: 
tailors, logo, festival, luxury",[]
danger,"danger: 
properties: explosions, hiking paths, warning signs, predators","['explosions', 'hiking paths', 'warning signs', 'predators']"
death,"death: 
 properties: cemetery, black, mourning, forever","['cemetery', 'black', 'mourning', 'forever']"
decision,"decision: lawyer, debate, midnight oil, crisis",[]
demand,"demand: protest, negotiation, salary, striker",[]
desire,"desire: passion, music, midnight, obsession",[]
desperation,"desperation: 
properties: poverty, prison, lost, chaos","['poverty', 'prison', 'lost', 'chaos']"
destruction,"destruction: war, radiation, mansion collapse, chaos",[]
detection,"detection:
 properties:  
 airport security,  law enforcement, x ray machine,  new species discovery","['airport security', 'law enforcement', 'x ray machine', 'new species discovery']"
dictatorship,"dictatorship: 
properties: concentration camp, totalitarian regime, ancient Rome, coup d'état","['concentration camp', 'totalitarian regime', 'ancient Rome', ""coup d'état""]"
difference,"difference: contrast, statistics, debate, mirrors",[]
difficulty,"difficulty: 
challenging process, frustrating obstacle, sports competition, learning curve",[]
dignity,"dignity:
 properties: 
 1. crown
 2. courage
 3. funeral
 4. integrity","['1. crown', '2. courage', '3. funeral', '4. integrity']"
diligence,"word: diligence
properties: morning routine, hard-work ethics, productive team leader, precise craftsman","['morning routine', 'hard-work ethics', 'productive team leader', 'precise craftsman']"
disadvantage,"disadvantage: 
properties: learning curve, risk assessment, physical limitation, unequal treatment","['learning curve', 'risk assessment', 'physical limitation', 'unequal treatment']"
disappointment,"disappointment:  
 properties: 
1. stormy weather
2. cancelled birthday party
3..postponed plans with friends 
4. broken dreams","['1. stormy weather', '2. cancelled birthday party', '3..postponed plans with friends', '4. broken dreams']"
discovery,"word: discovery
properties: treasure chest, space exploration, youth education, breakthrough moment","['treasure chest', 'space exploration', 'youth education', 'breakthrough moment']"
disgust,"disgust:    
   vomit 
   betrayal 
   spoiled food 
   disgust on child's face",[]
dismay,"dismay: chaos, alarm, shadowy, forgotten",[]
dispute,"word: dispute
properties: mediator, lawyer, negotiation, courtroom","['mediator', 'lawyer', 'negotiation', 'courtroom']"
