word,response,properties
ability,"word: ability
properties: superhero, trophy, puzzle, muscle","['superhero', 'trophy', 'puzzle', 'muscle']"
accusation,"word: accusation
properties: pointing, courtroom, anger, defense","['pointing', 'courtroom', 'anger', 'defense']"
achievement,"word: achievement
properties: medal, podium, applause, graduation","['medal', 'podium', 'applause', 'graduation']"
activity,"word: activity
properties: sweat, children, playground, heartbeat","['sweat', 'children', 'playground', 'heartbeat']"
addiction,"word: addiction
properties: casino, dopamine, recovery, smoke","['casino', 'dopamine', 'recovery', 'smoke']"
admiration,"word: admiration
properties: applause, hero, spotlight, trophy","['applause', 'hero', 'spotlight', 'trophy']"
advantage,"word: advantage
properties: race, height, chess, education","['race', 'height', 'chess', 'education']"
adventure,"word: adventure
properties: map, backpack, adrenaline, tent","['map', 'backpack', 'adrenaline', 'tent']"
advice,"word: advice
properties: mentor, crossroads, ear, mistake","['mentor', 'crossroads', 'ear', 'mistake']"
agony,"word: agony
properties: scream, sweat, waiting, tears","['scream', 'sweat', 'waiting', 'tears']"
agreement,"word: agreement
properties: handshake, table, pen, smile","['handshake', 'table', 'pen', 'smile']"
amazement,"word: amazement
properties: magic, fireworks, gasp, stars","['magic', 'fireworks', 'gasp', 'stars']"
ambition,"word: ambition
properties: mountain, ladder, sweat, trophy","['mountain', 'ladder', 'sweat', 'trophy']"
ambush,"word: ambush
properties: forest, silence, predator, camouflage","['forest', 'silence', 'predator', 'camouflage']"
amusement,"word: amusement
properties: rollercoaster, park, clown, popcorn","['rollercoaster', 'park', 'clown', 'popcorn']"
anger,"word: anger
properties: fire, yelling, red, fists","['fire', 'yelling', 'red', 'fists']"
anxiety,"word: anxiety
properties: heartbeat, clock, crowd, sweat","['heartbeat', 'clock', 'crowd', 'sweat']"
apology,"word: apology
properties: flowers, argument, tears, letter","['flowers', 'argument', 'tears', 'letter']"
appearance,"word: appearance
properties: mirror, makeup, interview, spotlight","['mirror', 'makeup', 'interview', 'spotlight']"
appetite,"word: appetite
properties: food, stomach, dinner, smell","['food', 'stomach', 'dinner', 'smell']"
application,"word: application
properties: phone, interview, waiting, screen","['phone', 'interview', 'waiting', 'screen']"
aptitude,"word: aptitude
properties: test, puzzle, career, brain","['test', 'puzzle', 'career', 'brain']"
argument,"word: argument
properties: yelling, courtroom, tears, tension","['yelling', 'courtroom', 'tears', 'tension']"
art,"word: art
properties: canvas, museum, expression, colors","['canvas', 'museum', 'expression', 'colors']"
aspect,"word: aspect
properties: ratio, screen, grammar, planets","['ratio', 'screen', 'grammar', 'planets']"
assassination,"word: assassination
properties: politics, president, sniper, conspiracy","['politics', 'president', 'sniper', 'conspiracy']"
assumption,"word: assumption
properties: blindfold, error, gossip, trap","['blindfold', 'error', 'gossip', 'trap']"
astonishment,"word: astonishment
properties: magic trick, wide eyes, gasp, lottery","['magic trick', 'wide eyes', 'gasp', 'lottery']"
attack,"word: attack
properties: shield, fear, dog, virus","['shield', 'fear', 'dog', 'virus']"
attention,"word: attention
properties: spotlight, classroom, salute, megaphone","['spotlight', 'classroom', 'salute', 'megaphone']"
attraction,"word: attraction
properties: magnet, rollercoaster, butterflies, gravity","['magnet', 'rollercoaster', 'butterflies', 'gravity']"
beauty,"word: beauty
properties: flower, sunset, painting, smile","['flower', 'sunset', 'painting', 'smile']"
being,"word: being
properties: heartbeat, universe, mind, breath","['heartbeat', 'universe', 'mind', 'breath']"
betrayal,"word: betrayal
properties: knife, secret, tears, shadows","['knife', 'secret', 'tears', 'shadows']"
blackmail,"word: blackmail
properties: secret, money, photos, envelope","['secret', 'money', 'photos', 'envelope']"
boredom,"word: boredom
properties: yawning, ticking clock, doodling, waiting room","['yawning', 'ticking clock', 'doodling', 'waiting room']"
boycott,"word: boycott
properties: signs, bus, store, history","['signs', 'bus', 'store', 'history']"
bravery,"word: bravery
properties: firefighter, lion, medal, darkness","['firefighter', 'lion', 'medal', 'darkness']"
career,"word: career
properties: ladder, briefcase, interview, retirement","['ladder', 'briefcase', 'interview', 'retirement']"
carefulness,"word: carefulness
properties: glass, tightrope, surgery, ice","['glass', 'tightrope', 'surgery', 'ice']"
catastrophe,"word: catastrophe
properties: sirens, tears, rubble, news","['sirens', 'tears', 'rubble', 'news']"
caution,"word: caution
properties: yellow, cone, ice, brake","['yellow', 'cone', 'ice', 'brake']"
challenge,"word: challenge
properties: mountain, sweat, timer, trophy","['mountain', 'sweat', 'timer', 'trophy']"
chaos,"word: chaos
properties: tornado, sirens, fire, shouting","['tornado', 'sirens', 'fire', 'shouting']"
character,"word: character
properties: book, costume, honesty, keyboard","['book', 'costume', 'honesty', 'keyboard']"
charm,"word: charm
properties: bracelet, magic, prince, lucky","['bracelet', 'magic', 'prince', 'lucky']"
comfort,"word: comfort
properties: blanket, soup, fireplace, couch","['blanket', 'soup', 'fireplace', 'couch']"
commitment,"word: commitment
properties: ring, sweat, contract, anchor","['ring', 'sweat', 'contract', 'anchor']"
comparison,"word: comparison
properties: scale, mirror, graph, shopping","['scale', 'mirror', 'graph', 'shopping']"
compassion,"word: compassion
properties: heart, tears, blanket, listening","['heart', 'tears', 'blanket', 'listening']"
competence,"word: competence
properties: diploma, trust, promotion, office","['diploma', 'trust', 'promotion', 'office']"
