word,response,properties
ability,"ability: practice, growth, confidence, challenge",[]
accusation,"accusation: courtroom, betrayal, evidence, guilt",[]
achievement,"word: achievement  
properties: trophy, graduation, hard work, celebration","['trophy', 'graduation', 'hard work', 'celebration']"
activity,"word: activity
properties: workout, meeting, hobby, schedule","['workout', 'meeting', 'hobby', 'schedule']"
addiction,"word: addiction  
properties: cravings, rehab, relapse, withdrawal","['cravings', 'rehab', 'relapse', 'withdrawal']"
admiration,"word: admiration  
properties: applause, role model, achievement, inspiration","['applause', 'role model', 'achievement', 'inspiration']"
advantage,"word: advantage  
properties: leverage, competition, promotion, edge","['leverage', 'competition', 'promotion', 'edge']"
adventure,"word: adventure  
properties: map, campfire, unknown, treasure","['map', 'campfire', 'unknown', 'treasure']"
advice,"advice: mentor, notebook, dilemma, earpiece",[]
agony,"word: agony  
properties: clenched fists, midnight cries, burning fire, trembling heart","['clenched fists', 'midnight cries', 'burning fire', 'trembling heart']"
agreement,"word: agreement  
properties: handshake, contract, compromise, consensus","['handshake', 'contract', 'compromise', 'consensus']"
amazement,"word: amazement  
properties: fireworks, first snowfall, surprise party, discovering hidden talent","['fireworks', 'first snowfall', 'surprise party', 'discovering hidden talent']"
ambition,"word: ambition  
properties: ladder, sunrise, notebook, marathon","['ladder', 'sunrise', 'notebook', 'marathon']"
ambush,"word: ambush  
properties: surprise attack, hidden trap, jungle foliage, startled wildlife","['surprise attack', 'hidden trap', 'jungle foliage', 'startled wildlife']"
amusement,"word: amusement  
properties: circus, laughter, rollercoaster, popcorn","['circus', 'laughter', 'rollercoaster', 'popcorn']"
anger,"word: anger  
properties: traffic jam, clenched fists, flushed cheeks, shouted arguments","['traffic jam', 'clenched fists', 'flushed cheeks', 'shouted arguments']"
anxiety,"word: anxiety  
properties: racing heart, exam, night, coffee","['racing heart', 'exam', 'night', 'coffee']"
apology,"word: apology  
properties: handwritten note, sincere tone, missed deadline, peace offering","['handwritten note', 'sincere tone', 'missed deadline', 'peace offering']"
appearance,"word: appearance  
properties: mirror, first impression, makeup, disguise","['mirror', 'first impression', 'makeup', 'disguise']"
appetite,"word: appetite  
properties: dinner, cravings, marketing, metabolism","['dinner', 'cravings', 'marketing', 'metabolism']"
application,"word: application  
properties: resume, software, job interview, form filling","['resume', 'software', 'job interview', 'form filling']"
aptitude,"word: aptitude  
properties: puzzles, talent show, career test, quick learning","['puzzles', 'talent show', 'career test', 'quick learning']"
argument,"argument: debate, courtroom, logic, disagreement",[]
art,"word: art  
properties: museum, brushstrokes, expression, gallery","['museum', 'brushstrokes', 'expression', 'gallery']"
aspect,"word: aspect  
properties: perspective, lighting, analysis, facet","['perspective', 'lighting', 'analysis', 'facet']"
assassination,"word: assassination  
properties: conspiracy, intrigue, political turmoil, secret meeting","['conspiracy', 'intrigue', 'political turmoil', 'secret meeting']"
assumption,"word: assumption  
properties: hypothesis, bias, expectation, inference","['hypothesis', 'bias', 'expectation', 'inference']"
astonishment,"word: astonishment  
properties: wide‑eyed stare, sudden gasp, dropped jaw, racing heartbeat","['wide‑eyed stare', 'sudden gasp', 'dropped jaw', 'racing heartbeat']"
