word,response,properties
ability,"word: ability
properties: climbing, piano, wings, certificate","['climbing', 'piano', 'wings', 'certificate']"
accusation,"word: accusation
properties: finger, gavel, sweat, whisper","['finger', 'gavel', 'sweat', 'whisper']"
achievement,"word: achievement
properties: trophy, sweat, mountain, champagne","['trophy', 'sweat', 'mountain', 'champagne']"
activity,"word: activity
properties: running, sweat, calendar, playground","['running', 'sweat', 'calendar', 'playground']"
addiction,"word: addiction
properties: needle, chains, sweat, screen","['needle', 'chains', 'sweat', 'screen']"
admiration,"word: admiration
properties: applause, stars, mentor, museum","['applause', 'stars', 'mentor', 'museum']"
advantage,"word: advantage
properties: tennis, hilltop, telescope, shortcut","['tennis', 'hilltop', 'telescope', 'shortcut']"
adventure,"word: adventure
properties: mountain, compass, risk, backpack","['mountain', 'compass', 'risk', 'backpack']"
advice,"word: advice
properties: grandparent, compass, whisper, mistake","['grandparent', 'compass', 'whisper', 'mistake']"
agony,"word: agony
    properties: clenched teeth, marathon, broken glass, waiting room","['clenched teeth', 'marathon', 'broken glass', 'waiting room']"
agreement,"word: agreement
properties: handshake, signature, nod, peace","['handshake', 'signature', 'nod', 'peace']"
amazement,"word: amazement
properties: fireworks, jaw, galaxy, magician","['fireworks', 'jaw', 'galaxy', 'magician']"
ambition,"word: ambition
properties: mountain, ladder, coffee, horizon","['mountain', 'ladder', 'coffee', 'horizon']"
ambush,"word: ambush
properties: camouflage, jungle, stillness, alley","['camouflage', 'jungle', 'stillness', 'alley']"
amusement,"word: amusement
properties: roller coaster, popcorn, arcade, tickle","['roller coaster', 'popcorn', 'arcade', 'tickle']"
anger,"word: anger
properties: red, fist, traffic, heartbeat","['red', 'fist', 'traffic', 'heartbeat']"
anxiety,"word: anxiety
properties: knot, coffee, stage, deadline","['knot', 'coffee', 'stage', 'deadline']"
apology,"word: apology
properties: flowers, handshake, mirror, bridge","['flowers', 'handshake', 'mirror', 'bridge']"
appearance,"word: appearance
properties: mirror, makeup, curtain, witness","['mirror', 'makeup', 'curtain', 'witness']"
appetite,"word: appetite
properties: buffet, aroma, midnight, silverware","['buffet', 'aroma', 'midnight', 'silverware']"
