word,response,properties
ability,"word: ability
properties: skill, practice, talent, strength","['skill', 'practice', 'talent', 'strength']"
accusation,"word: accusation
properties: courtroom, finger-pointing, guilt, defense","['courtroom', 'finger-pointing', 'guilt', 'defense']"
achievement,"word: achievement
properties: trophy, hard work, pride, milestone","['trophy', 'hard work', 'pride', 'milestone']"
activity,"word: activity
properties: movement, exercise, energy, playground","['movement', 'exercise', 'energy', 'playground']"
addiction,"word: addiction
properties: craving, withdrawal, cigarettes, spiral","['craving', 'withdrawal', 'cigarettes', 'spiral']"
admiration,"word: admiration
properties: telescope, pedestal, applause, gold","['telescope', 'pedestal', 'applause', 'gold']"
advantage,"word: advantage
properties: chess, headstart, leverage, winner","['chess', 'headstart', 'leverage', 'winner']"
adventure,"word: adventure
properties: jungle, compass, unknown, adrenaline","['jungle', 'compass', 'unknown', 'adrenaline']"
advice,"word: advice
properties: mentor, wisdom, listen, guidance","['mentor', 'wisdom', 'listen', 'guidance']"
agony,"word: agony
properties: writhing, defeat, thorns, scream","['writhing', 'defeat', 'thorns', 'scream']"
agreement,"word: agreement
properties: handshake, contract, nodding, compromise","['handshake', 'contract', 'nodding', 'compromise']"
amazement,"word: amazement
properties: gasp, circus, discovery, wide-eyed","['gasp', 'circus', 'discovery', 'wide-eyed']"
ambition,"word: ambition
properties: ladder, fire, sleepless, mountain","['ladder', 'fire', 'sleepless', 'mountain']"
ambush,"word: ambush
properties: jungle, surprise, hidden, trap","['jungle', 'surprise', 'hidden', 'trap']"
amusement,"word: amusement
properties: carnival, laughter, clown, roller coaster","['carnival', 'laughter', 'clown', 'roller coaster']"
anger,"word: anger
properties: red, fist, volcano, scream","['red', 'fist', 'volcano', 'scream']"
anxiety,"word: anxiety
properties: racing heart, sweaty palms, deadline, chest tight","['racing heart', 'sweaty palms', 'deadline', 'chest tight']"
apology,"word: apology
properties: sorry, mistake, forgiveness, sincerity","['sorry', 'mistake', 'forgiveness', 'sincerity']"
appearance,"word: appearance
properties: mirror, costume, first impression, stage","['mirror', 'costume', 'first impression', 'stage']"
appetite,"word: appetite
properties: hunger, feast, stomach, wolf","['hunger', 'feast', 'stomach', 'wolf']"
application,"word: application
properties: form, software, job, smartphone","['form', 'software', 'job', 'smartphone']"
aptitude,"word: aptitude
properties: test, talent, career, measurement","['test', 'talent', 'career', 'measurement']"
argument,"word: argument
properties: raised voices, courtroom, fists, debate","['raised voices', 'courtroom', 'fists', 'debate']"
art,"word: art
properties: canvas, museum, brush, creativity","['canvas', 'museum', 'brush', 'creativity']"
aspect,"word: aspect
properties: angle, view, telescope, facet","['angle', 'view', 'telescope', 'facet']"
assassination,"word: assassination
properties: bullet, political, darkness, conspiracy","['bullet', 'political', 'darkness', 'conspiracy']"
assumption,"word: assumption
properties: belief, leap, gravity, foundation","['belief', 'leap', 'gravity', 'foundation']"
astonishment,"word: astonishment
properties: wide eyes, jaw drop, unexpected, gasp","['wide eyes', 'jaw drop', 'unexpected', 'gasp']"
attack,"word: attack
properties: shield, sudden, teeth, war","['shield', 'sudden', 'teeth', 'war']"
attention,"word: attention
properties: spotlight, classroom, focus, alert","['spotlight', 'classroom', 'focus', 'alert']"
attraction,"word: attraction
properties: magnet, gravity, butterflies, museum","['magnet', 'gravity', 'butterflies', 'museum']"
beauty,"word: beauty
properties: flower, mirror, sunset, smile","['flower', 'mirror', 'sunset', 'smile']"
being,"word: being
properties: existence, human, consciousness, alive","['existence', 'human', 'consciousness', 'alive']"
betrayal,"word: betrayal
properties: knife, trust, backstab, darkness","['knife', 'trust', 'backstab', 'darkness']"
