word,response,properties
ability,"word: ability
properties: skill, talent, capacity, potential","['skill', 'talent', 'capacity', 'potential']"
accusation,"word: accusation
properties: courtroom, pointing, guilt, defense","['courtroom', 'pointing', 'guilt', 'defense']"
achievement,"word: achievement
properties: trophy, hard work, success, milestone","['trophy', 'hard work', 'success', 'milestone']"
activity,"word: activity
properties: running, dancing, cooking, reading","['running', 'dancing', 'cooking', 'reading']"
addiction,"word: addiction
properties: cravings, compulsion, dependency, withdrawal","['cravings', 'compulsion', 'dependency', 'withdrawal']"
admiration,"word: admiration
properties: idol, applause, respect, mentor","['idol', 'applause', 'respect', 'mentor']"
advantage,"word: advantage
properties: lead, gain, strength, opportunity","['lead', 'gain', 'strength', 'opportunity']"
adventure,"word: adventure
properties: unknown, journey, risk, discovery","['unknown', 'journey', 'risk', 'discovery']"
advice,"word: advice
properties: listening, mentor, experience, caution","['listening', 'mentor', 'experience', 'caution']"
agony,"word: agony
properties: childbirth, broken bone, torture, grief","['childbirth', 'broken bone', 'torture', 'grief']"
agreement,"word: agreement
properties: handshake, contract, consent, compromise","['handshake', 'contract', 'consent', 'compromise']"
amazement,"word: amazement
properties: wide eyes, dropped jaw, speechless, awe","['wide eyes', 'dropped jaw', 'speechless', 'awe']"
ambition,"word: ambition
properties: climb, goal, drive, success","['climb', 'goal', 'drive', 'success']"
ambush,"word: ambush
properties: surprise attack, hiding place, sudden violence, trap","['surprise attack', 'hiding place', 'sudden violence', 'trap']"
amusement,"word: amusement
properties: laughter, park, games, circus","['laughter', 'park', 'games', 'circus']"
anger,"word: anger
properties: clenched fists, red face, shouting, frustration","['clenched fists', 'red face', 'shouting', 'frustration']"
anxiety,"word: anxiety
properties: racing heart, knot in stomach, worrying, restlessness","['racing heart', 'knot in stomach', 'worrying', 'restlessness']"
apology,"word: apology
properties: regret, forgiveness, reconciliation, sincerity","['regret', 'forgiveness', 'reconciliation', 'sincerity']"
appearance,"appearance: mirror, fashion, mask, disguise",[]
appetite,"word: appetite
properties: hunger, food, craving, dining","['hunger', 'food', 'craving', 'dining']"
application,"application: software, resume, form, nail",[]
aptitude,"word: aptitude
properties: natural talent, skill, quick learner, potential","['natural talent', 'skill', 'quick learner', 'potential']"
argument,"word: argument
properties: shouting, disagreement, logic, frustration","['shouting', 'disagreement', 'logic', 'frustration']"
art,"word: art
properties: painting, sculpture, creativity, exhibition","['painting', 'sculpture', 'creativity', 'exhibition']"
aspect,"word: aspect
properties: facet, viewpoint, dimension, appearance","['facet', 'viewpoint', 'dimension', 'appearance']"
assassination,"word: assassination
properties: political, betrayal, secret, power","['political', 'betrayal', 'secret', 'power']"
assumption,"word: assumption
properties: guess, belief, presumption, premise","['guess', 'belief', 'presumption', 'premise']"
astonishment,"word: astonishment
properties: wide eyes, dropped jaw, gasp, disbelief","['wide eyes', 'dropped jaw', 'gasp', 'disbelief']"
attack,"word: attack
properties: sudden onset, military, defense, swarm","['sudden onset', 'military', 'defense', 'swarm']"
attention,"word: attention
properties: stage, spotlight, listening, focus","['stage', 'spotlight', 'listening', 'focus']"
attraction,"word: attraction
properties: magnet, gravity, desire, interest","['magnet', 'gravity', 'desire', 'interest']"
beauty,"word: beauty
properties: sunrise, melody, flower, art","['sunrise', 'melody', 'flower', 'art']"
being,"word: being
properties: existence, alive, presence, consciousness","['existence', 'alive', 'presence', 'consciousness']"
betrayal,"word: betrayal
properties: broken trust, whispered secrets, stolen plans, sharp pain","['broken trust', 'whispered secrets', 'stolen plans', 'sharp pain']"
blackmail,"blackmail: coercion, threat, secrets, money",[]
boredom,"word: boredom
properties: clock watching, sigh, staring, waiting","['clock watching', 'sigh', 'staring', 'waiting']"
boycott,"word: boycott
properties: protest, refuse, company, picket","['protest', 'refuse', 'company', 'picket']"
bravery,"word: bravery
properties: lion, shield, courage, facing fear","['lion', 'shield', 'courage', 'facing fear']"
career,"word: career
properties: ambition, promotion, job, ladder","['ambition', 'promotion', 'job', 'ladder']"
carefulness,"word: carefulness
properties: slow down, double check, steady hands, avoid risk","['slow down', 'double check', 'steady hands', 'avoid risk']"
catastrophe,"catastrophe: earthquake, fire, flood, famine",[]
caution,"word: caution
properties: warning, hazard, slow, risk","['warning', 'hazard', 'slow', 'risk']"
challenge,"word: challenge
properties: mountain, race, game, puzzle","['mountain', 'race', 'game', 'puzzle']"
chaos,"word: chaos
properties: hurricane, shattered glass, screaming, tangled wires","['hurricane', 'shattered glass', 'screaming', 'tangled wires']"
character,"character: acting, writing, development, villain",[]
charm,"word: charm
properties: spell, allure, magnetism, enchantment","['spell', 'allure', 'magnetism', 'enchantment']"
comfort,"word: comfort
properties: blanket, warmth, sleep, safety","['blanket', 'warmth', 'sleep', 'safety']"
commitment,"word: commitment
properties: wedding, contract, promise, vow","['wedding', 'contract', 'promise', 'vow']"
comparison,"word: comparison
properties: scales, weighing, differing, choosing","['scales', 'weighing', 'differing', 'choosing']"
compassion,"compassion: kindness, empathy, understanding, comfort",[]
competence,"word: competence
properties: skill, experience, knowledge, efficiency","['skill', 'experience', 'knowledge', 'efficiency']"
compromise,"word: compromise
properties: negotiation, give and take, solution, agreement","['negotiation', 'give and take', 'solution', 'agreement']"
compulsion,"compulsion: addiction, irresistible urge, repetitive action, mental distress",[]
confession,"confession: guilt, truth, priest, silence",[]
conflict,"word: conflict
properties: argument, war, disagreement, struggle","['argument', 'war', 'disagreement', 'struggle']"
consideration,"word: consideration
properties: thoughtful gesture, careful thought, empathy, deliberation","['thoughtful gesture', 'careful thought', 'empathy', 'deliberation']"
consolation,"word: consolation
properties: shoulder to cry on, warm blanket, gentle words, shared silence","['shoulder to cry on', 'warm blanket', 'gentle words', 'shared silence']"
contempt,"word: contempt
properties: sneer, disapproval, judgment, superiority","['sneer', 'disapproval', 'judgment', 'superiority']"
convention,"convention: meeting, rules, gathering, agreement",[]
cooperation,"word: cooperation
properties: teamwork, compromise, helping, shared goal","['teamwork', 'compromise', 'helping', 'shared goal']"
courage,"word: courage
properties: bravery, lion, fear, battle","['bravery', 'lion', 'fear', 'battle']"
creativity,"word: creativity
properties: idea, paint, music, spark","['idea', 'paint', 'music', 'spark']"
crime,"word: crime
properties: handcuffs, police, prison, fear","['handcuffs', 'police', 'prison', 'fear']"
criticism,"criticism: feedback, judgment, review, advice",[]
cruelty,"cruelty: animal abuse, torture, indifference, suffering",[]
culture,"word: culture
properties: art, language, tradition, food","['art', 'language', 'tradition', 'food']"
curiosity,"word: curiosity
properties: exploration, questions, new, learning","['exploration', 'questions', 'new', 'learning']"
custom,"word: custom
properties: tradition, handshake, tailor, law","['tradition', 'handshake', 'tailor', 'law']"
danger,"danger: explosion, cliff, poison, storm",[]
death,"word: death
properties: funeral, grief, silence, end","['funeral', 'grief', 'silence', 'end']"
decision,"decision:
choice
consequence
deliberation
path",[]
demand,"demand:
properties: necessity, scarcity, purchase, argument","['necessity', 'scarcity', 'purchase', 'argument']"
desire,"desire: longing, craving, want, ambition",[]
desperation,"word: desperation
properties: last resort, wild eyes, frantic searching, broken plea","['last resort', 'wild eyes', 'frantic searching', 'broken plea']"
destruction,"word: destruction
properties: fire, ruin, chaos, demolition","['fire', 'ruin', 'chaos', 'demolition']"
detection,"word: detection
properties: alarm, scientist, screen, footprint","['alarm', 'scientist', 'screen', 'footprint']"
dictatorship,"word: dictatorship
properties: oppression, control, fear, propaganda","['oppression', 'control', 'fear', 'propaganda']"
difference,"word: difference
properties: contrast, inequality, disparity, variation","['contrast', 'inequality', 'disparity', 'variation']"
difficulty,"word: difficulty
properties: struggle, mountain, puzzle, rain","['struggle', 'mountain', 'puzzle', 'rain']"
dignity,"word: dignity
properties: composure, self-respect, grace, integrity","['composure', 'self-respect', 'grace', 'integrity']"
diligence,"word: diligence
properties: steady effort, thoroughness, perseverance, careful work","['steady effort', 'thoroughness', 'perseverance', 'careful work']"
disadvantage,"word: disadvantage
properties: handicap, setback, weakness, deficit","['handicap', 'setback', 'weakness', 'deficit']"
disappointment,"disappointment: unmet expectations, letting someone down, a heavy sigh, a missed opportunity",[]
discovery,"word: discovery
properties: exploration, new, learning, uncharted","['exploration', 'new', 'learning', 'uncharted']"
disgust,"disgust: rotten food, bad smell, bitter taste, wrinkled nose",[]
dismay,"dismay: dark clouds, sinking feeling, bad news, crushing defeat",[]
dispute,"word: dispute
properties: argument, negotiation, disagreement, law","['argument', 'negotiation', 'disagreement', 'law']"
distance,"distance: mile, travel, far, space",[]
distraction,"distraction: phone, noise, daydream, urgent",[]
diversity,"word: diversity
properties: mosaic, ecosystem, spectrum, community","['mosaic', 'ecosystem', 'spectrum', 'community']"
doubt,"word: doubt
properties: suspicion, uncertainty, questioning, hesitation","['suspicion', 'uncertainty', 'questioning', 'hesitation']"
downfall,"downfall: ruin, collapse, shame, end",[]
dream,"word: dream
properties: sleep, imagination, future, movie","['sleep', 'imagination', 'future', 'movie']"
duty,"word: duty
properties: obligation, responsibility, service, commitment","['obligation', 'responsibility', 'service', 'commitment']"
eagerness,"word: eagerness
properties: leaning forward, wide eyes, quick breath, tapping foot","['leaning forward', 'wide eyes', 'quick breath', 'tapping foot']"
effort,"word: effort
properties: sweat, practice, perseverance, goal","['sweat', 'practice', 'perseverance', 'goal']"
elegance,"word: elegance
properties: swan, ballroom, velvet, quiet","['swan', 'ballroom', 'velvet', 'quiet']"
emotion,"emotion: laughter
properties: tears, anger, shock, fear","['tears', 'anger', 'shock', 'fear']"
enchantment,"word: enchantment
properties: magic, spell, fairy tale, wonder","['magic', 'spell', 'fairy tale', 'wonder']"
enthusiasm,"word: enthusiasm
properties: cheering, music, dancing, celebration","['cheering', 'music', 'dancing', 'celebration']"
envy,"word: envy
properties: longing, green, covet, resentment","['longing', 'green', 'covet', 'resentment']"
error,"error: bug, mistake, typo, glitch",[]
event,"event: party, concert, wedding, birthday",[]
excitement,"word: excitement
properties: loud cheers, racing heart, bright lights, jumping up","['loud cheers', 'racing heart', 'bright lights', 'jumping up']"
expectation,"word: expectation
properties: anticipation, future, hope, planning","['anticipation', 'future', 'hope', 'planning']"
experience,"experience: learning, growth, memories, skill",[]
explanation,"word: explanation
properties: puzzle, steps, clarity, teacher","['puzzle', 'steps', 'clarity', 'teacher']"
exploitation,"exploitation: unfair labor, child soldiers, natural resources, power imbalance",[]
faithfulness,"word: faithfulness
properties: dog, spouse, promise, vow","['dog', 'spouse', 'promise', 'vow']"
fantasy,"word: fantasy
properties: dragon, magic, adventure, dream","['dragon', 'magic', 'adventure', 'dream']"
fate,"fate: destiny, stars, threads, unavoidable",[]
fear,"word: fear
properties: dark, screams, alone, run","['dark', 'screams', 'alone', 'run']"
fight,"fight: boxing, war, argument, struggle",[]
fitness,"word: fitness
properties: gym, sweat, healthy, muscle","['gym', 'sweat', 'healthy', 'muscle']"
flexibility,"word: flexibility
properties: bend, adaptable, elastic, stretch","['bend', 'adaptable', 'elastic', 'stretch']"
force,"word: force
properties: push, muscle, gravity, magnetism","['push', 'muscle', 'gravity', 'magnetism']"
forgiveness,"forgiveness: tears, peace, release, understanding",[]
freedom,"word: freedom
properties: open road, wings, clear sky, choices","['open road', 'wings', 'clear sky', 'choices']"
fright,"word: fright
properties: jump, scream, dark, monster","['jump', 'scream', 'dark', 'monster']"
frustration,"frustration: traffic jam, forgotten password, unfinished project, tangled headphones",[]
fun,"word: fun
properties: laughter, games, adventure, celebration","['laughter', 'games', 'adventure', 'celebration']"
fury,"word: fury
properties: storm, clenched fists, red face, scream","['storm', 'clenched fists', 'red face', 'scream']"
future,"future: possibilities, planning, uncertainty, hope",[]
genius,"genius: invention, curiosity, challenge, breakthrough",[]
glory,"word: glory
properties: triumph, radiance, admiration, legacy","['triumph', 'radiance', 'admiration', 'legacy']"
grace,"word: grace
properties: swan, prayer, dance, forgiveness","['swan', 'prayer', 'dance', 'forgiveness']"
gratitude,"word: gratitude
properties: thank you, gift, helping hand, appreciation","['thank you', 'gift', 'helping hand', 'appreciation']"
greed,"word: greed
properties: hoarding, endless hunger, selfishness, obsession","['hoarding', 'endless hunger', 'selfishness', 'obsession']"
guess,"word: guess
properties: riddle, assumption, prediction, unknown","['riddle', 'assumption', 'prediction', 'unknown']"
habit,"word: habit
properties: routine, addiction, comfort, repetition","['routine', 'addiction', 'comfort', 'repetition']"
happiness,"word: happiness
properties: laughter, sunshine, comfort, accomplishment","['laughter', 'sunshine', 'comfort', 'accomplishment']"
