word,response,properties
ability,"word: ability
properties: practice, limits, potential, confidence","['practice', 'limits', 'potential', 'confidence']"
accusation,"word: accusation
properties: courtroom, guilt, finger-pointing, defense","['courtroom', 'guilt', 'finger-pointing', 'defense']"
achievement,"word: achievement
properties: medal, effort, milestone, celebration","['medal', 'effort', 'milestone', 'celebration']"
activity,"word: activity
properties: exhaustion, playground, schedule, progress","['exhaustion', 'playground', 'schedule', 'progress']"
addiction,"word: addiction
properties: withdrawal, dopamine, relapse, isolation","['withdrawal', 'dopamine', 'relapse', 'isolation']"
admiration,"word: admiration
properties: trophy, hero, applause, inspiration","['trophy', 'hero', 'applause', 'inspiration']"
advantage,"word: advantage
properties: head start, competition, leverage, exploit","['head start', 'competition', 'leverage', 'exploit']"
adventure,"word: adventure
properties: compass, unknown, risk, discovery","['compass', 'unknown', 'risk', 'discovery']"
advice,"word: advice
properties: listening, reluctant, consequences, trusted person","['listening', 'reluctant', 'consequences', 'trusted person']"
agony,"word: agony
properties: writhing, defeat, silence, hours","['writhing', 'defeat', 'silence', 'hours']"
agreement,"word: agreement
properties: handshake, contract, compromise, nod","['handshake', 'contract', 'compromise', 'nod']"
amazement,"word: amazement
properties: wide eyes, speechless, discovery, wonder","['wide eyes', 'speechless', 'discovery', 'wonder']"
ambition,"word: ambition
properties: ladder, sleepless nights, competition, sacrifice","['ladder', 'sleepless nights', 'competition', 'sacrifice']"
ambush,"word: ambush
properties: dark alley, predator, trap, heart attack","['dark alley', 'predator', 'trap', 'heart attack']"
amusement,"word: amusement
properties: roller coaster, laughter, distraction, carnival","['roller coaster', 'laughter', 'distraction', 'carnival']"
anger,"word: anger
properties: red, fist, volcano, storm","['red', 'fist', 'volcano', 'storm']"
anxiety,"word: anxiety
properties: racing heart, blank mind, fidgeting, insomnia","['racing heart', 'blank mind', 'fidgeting', 'insomnia']"
apology,"word: apology
properties: mistake, forgiveness, awkward silence, repair","['mistake', 'forgiveness', 'awkward silence', 'repair']"
appearance,"word: appearance
properties: mirror, judgment, clothing, deceptive","['mirror', 'judgment', 'clothing', 'deceptive']"
appetite,"word: appetite
properties: stomach growling, delicious food, morning hunger, eating quickly","['stomach growling', 'delicious food', 'morning hunger', 'eating quickly']"
