word,response,properties
ability,"word: ability
properties: skill, potential, challenge, limit","['skill', 'potential', 'challenge', 'limit']"
accusation,"word: accusation
properties: trial, anger, doubt, evidence","['trial', 'anger', 'doubt', 'evidence']"
achievement,"word: achievement
properties: effort, reward, pride, recognition","['effort', 'reward', 'pride', 'recognition']"
activity,"word: activity
properties: game, noise, movement, energy","['game', 'noise', 'movement', 'energy']"
addiction,"word: addiction
properties: withdrawal, shame, relapse, control","['withdrawal', 'shame', 'relapse', 'control']"
admiration,"word: admiration
properties: applause, respect, hero, statue","['applause', 'respect', 'hero', 'statue']"
advantage,"word: advantage
properties: win, lead, boost, edge","['win', 'lead', 'boost', 'edge']"
adventure,"word: adventure
properties: journey, risk, excitement, map","['journey', 'risk', 'excitement', 'map']"
advice,"word: advice
properties: guidance, wisdom, listening, caution","['guidance', 'wisdom', 'listening', 'caution']"
agony,"word: agony
properties: pain, scream, darkness, loss","['pain', 'scream', 'darkness', 'loss']"
agreement,"word: agreement
properties: contract, negotiation, compromise, signature","['contract', 'negotiation', 'compromise', 'signature']"
amazement,"word: amazement
properties: fireworks, gasp, wide-eyed, stillness","['fireworks', 'gasp', 'wide-eyed', 'stillness']"
ambition,"word: ambition
properties: drive, struggle, reward, legacy","['drive', 'struggle', 'reward', 'legacy']"
ambush,"word: ambush
properties: darkness, surprise, danger, trap","['darkness', 'surprise', 'danger', 'trap']"
amusement,"word: amusement
properties: laughter, circus, games, park","['laughter', 'circus', 'games', 'park']"
anger,"word: anger
properties: shouting, heat, fists, red","['shouting', 'heat', 'fists', 'red']"
anxiety,"word: anxiety
properties: racing, tightness, worry, breath","['racing', 'tightness', 'worry', 'breath']"
apology,"word: apology
properties: regret, silence, forgiveness, shame","['regret', 'silence', 'forgiveness', 'shame']"
appearance,"word: appearance
properties: reflection, disguise, shadow, memory","['reflection', 'disguise', 'shadow', 'memory']"
appetite,"word: appetite
properties: food, hunger, craving, fullness","['food', 'hunger', 'craving', 'fullness']"
application,"word: application
properties: form, process, software, deadline","['form', 'process', 'software', 'deadline']"
aptitude,"word: aptitude
properties: test, learning, skill, potential","['test', 'learning', 'skill', 'potential']"
argument,"word: argument
properties: shouting, anger, disagreement, tension","['shouting', 'anger', 'disagreement', 'tension']"
art,"word: art
properties: canvas, brush, color, sculpture","['canvas', 'brush', 'color', 'sculpture']"
aspect,"word: aspect
properties: shadow, view, detail, form","['shadow', 'view', 'detail', 'form']"
assassination,"word: assassination
properties: darkness, betrayal, target, silence","['darkness', 'betrayal', 'target', 'silence']"
assumption,"word: assumption
properties: bias, mistake, belief, judgment","['bias', 'mistake', 'belief', 'judgment']"
astonishment,"word: astonishment
properties: wide-eyed, silence, shock, breathlessness","['wide-eyed', 'silence', 'shock', 'breathlessness']"
attack,"word: attack
properties: chaos, pain, fear, weapon","['chaos', 'pain', 'fear', 'weapon']"
attention,"word: attention
properties: spotlight, focus, request, notice","['spotlight', 'focus', 'request', 'notice']"
attraction,"word: attraction
properties: magnet, pull, sparkle, heat","['magnet', 'pull', 'sparkle', 'heat']"
beauty,"word: beauty
properties: light, reflection, feeling, art","['light', 'reflection', 'feeling', 'art']"
being,"word: being
properties: existence, consciousness, life, soul","['existence', 'consciousness', 'life', 'soul']"
betrayal,"word: betrayal
properties: guilt, broken, silence, distrust","['guilt', 'broken', 'silence', 'distrust']"
blackmail,"word: blackmail
properties: secrets, fear, money, consequences","['secrets', 'fear', 'money', 'consequences']"
boredom,"word: boredom
properties: gray, stillness, rain, slow","['gray', 'stillness', 'rain', 'slow']"
boycott,"word: boycott
properties: protest, strike, refusal, impact","['protest', 'strike', 'refusal', 'impact']"
bravery,"word: bravery
properties: shield, risk, courage, battle","['shield', 'risk', 'courage', 'battle']"
career,"word: career
properties: pressure, ambition, timeline, ladder","['pressure', 'ambition', 'timeline', 'ladder']"
carefulness,"word: carefulness
properties: mistake, patience, risk, shield","['mistake', 'patience', 'risk', 'shield']"
catastrophe,"word: catastrophe
properties: rubble, chaos, fear, loss","['rubble', 'chaos', 'fear', 'loss']"
caution,"word: caution
properties: warning, risk, slow, careful","['warning', 'risk', 'slow', 'careful']"
challenge,"word: challenge
properties: effort, struggle, growth, reward","['effort', 'struggle', 'growth', 'reward']"
chaos,"word: chaos
properties: fire, storm, scramble, dark","['fire', 'storm', 'scramble', 'dark']"
character,"word: character
properties: story, role, flaw, voice","['story', 'role', 'flaw', 'voice']"
charm,"word: charm
properties: sparkle, smile, influence, velvet","['sparkle', 'smile', 'influence', 'velvet']"
comfort,"word: comfort
properties: blanket, warmth, silence, hug","['blanket', 'warmth', 'silence', 'hug']"
commitment,"word: commitment
properties: vows, struggle, promise, weight","['vows', 'struggle', 'promise', 'weight']"
comparison,"word: comparison
properties: scales, charts, differences, judgment","['scales', 'charts', 'differences', 'judgment']"
compassion,"word: compassion
properties: healing, kindness, comfort, empathy","['healing', 'kindness', 'comfort', 'empathy']"
competence,"word: competence
properties: training, skill, confidence, leadership","['training', 'skill', 'confidence', 'leadership']"
compromise,"word: compromise
properties: negotiation, trade-off, difficult, solution","['negotiation', 'trade-off', 'difficult', 'solution']"
compulsion,"word: compulsion
properties: prison, force, need, habit","['prison', 'force', 'need', 'habit']"
confession,"word: confession
properties: guilt, silence, truth, shame","['guilt', 'silence', 'truth', 'shame']"
conflict,"word: conflict
properties: shouting, anger, division, struggle","['shouting', 'anger', 'division', 'struggle']"
consideration,"word: consideration
properties: pause, thought, balance, impact","['pause', 'thought', 'balance', 'impact']"
consolation,"word: consolation
properties: comfort, tears, forgiveness, silence","['comfort', 'tears', 'forgiveness', 'silence']"
contempt,"word: contempt
properties: scorn, anger, distance, judgment","['scorn', 'anger', 'distance', 'judgment']"
convention,"word: convention
properties: ballroom, badges, speakers, crowds","['ballroom', 'badges', 'speakers', 'crowds']"
cooperation,"word: cooperation
properties: teamwork, agreement, effort, project","['teamwork', 'agreement', 'effort', 'project']"
courage,"word: courage
properties: battle, risk, strength, hope","['battle', 'risk', 'strength', 'hope']"
creativity,"word: creativity
properties: paint, ideas, music, chaos","['paint', 'ideas', 'music', 'chaos']"
crime,"word: crime
properties: prison, danger, investigation, guilt","['prison', 'danger', 'investigation', 'guilt']"
criticism,"word: criticism
properties: feedback, defense, hurt, judgment","['feedback', 'defense', 'hurt', 'judgment']"
cruelty,"word: cruelty
properties: pain, anger, destruction, fear","['pain', 'anger', 'destruction', 'fear']"
culture,"word: culture
properties: music, food, traditions, art","['music', 'food', 'traditions', 'art']"
curiosity,"word: curiosity
properties: questions, exploration, secrets, wonder","['questions', 'exploration', 'secrets', 'wonder']"
custom,"word: custom
properties: tailoring, order, preference, process","['tailoring', 'order', 'preference', 'process']"
danger,"word: danger
properties: falling, scream, shadow, heat","['falling', 'scream', 'shadow', 'heat']"
death,"word: death
properties: darkness, silence, grief, cold","['darkness', 'silence', 'grief', 'cold']"
decision,"word: decision
properties: risk, consequence, choice, impact","['risk', 'consequence', 'choice', 'impact']"
demand,"word: demand
properties: request, pressure, need, consequence","['request', 'pressure', 'need', 'consequence']"
desire,"word: desire
properties: longing, craving, wanting, pursuit","['longing', 'craving', 'wanting', 'pursuit']"
desperation,"word: desperation
properties: panic, hunger, shadows, silence","['panic', 'hunger', 'shadows', 'silence']"
destruction,"word: destruction
properties: rubble, fire, silence, fear","['rubble', 'fire', 'silence', 'fear']"
detection,"word: detection
properties: radar, clues, suspicion, alert","['radar', 'clues', 'suspicion', 'alert']"
dictatorship,"word: dictatorship
properties: oppression, fear, control, silence","['oppression', 'fear', 'control', 'silence']"
difference,"word: difference
properties: math, contrast, gap, scale","['math', 'contrast', 'gap', 'scale']"
difficulty,"word: difficulty
properties: struggle, frustration, challenge, burden","['struggle', 'frustration', 'challenge', 'burden']"
dignity,"word: dignity
properties: respect, honor, restraint, pride","['respect', 'honor', 'restraint', 'pride']"
diligence,"word: diligence
properties: effort, reward, patience, habit","['effort', 'reward', 'patience', 'habit']"
disadvantage,"word: disadvantage
properties: struggle, loss, setback, hurdle","['struggle', 'loss', 'setback', 'hurdle']"
disappointment,"word: disappointment
properties: tears, silence, regret, cold","['tears', 'silence', 'regret', 'cold']"
discovery,"word: discovery
properties: map, light, puzzle, excitement","['map', 'light', 'puzzle', 'excitement']"
disgust,"word: disgust
properties: bile, rejection, mold, sickness","['bile', 'rejection', 'mold', 'sickness']"
dismay,"word: dismay
properties: loss, silence, shadow, cold","['loss', 'silence', 'shadow', 'cold']"
dispute,"word: dispute
properties: argument, anger, tension, conflict","['argument', 'anger', 'tension', 'conflict']"
distance,"word: distance
properties: road, space, feeling, silence","['road', 'space', 'feeling', 'silence']"
distraction,"word: distraction
properties: noise, blur, rush, forgetting","['noise', 'blur', 'rush', 'forgetting']"
diversity,"word: diversity
properties: mosaic, garden, challenge, change","['mosaic', 'garden', 'challenge', 'change']"
doubt,"word: doubt
properties: uncertainty, questioning, hesitation, worry","['uncertainty', 'questioning', 'hesitation', 'worry']"
downfall,"word: downfall
properties: ruin, despair, collapse, loss","['ruin', 'despair', 'collapse', 'loss']"
dream,"word: dream
properties: sleep, fantasy, hope, memory","['sleep', 'fantasy', 'hope', 'memory']"
duty,"word: duty
properties: responsibility, obligation, service, sacrifice","['responsibility', 'obligation', 'service', 'sacrifice']"
eagerness,"word: eagerness
properties: anticipation, excitement, rush, drive","['anticipation', 'excitement', 'rush', 'drive']"
effort,"word: effort
properties: strain, sweat, struggle, reward","['strain', 'sweat', 'struggle', 'reward']"
elegance,"word: elegance
properties: silk, ballroom, statue, perfume","['silk', 'ballroom', 'statue', 'perfume']"
emotion,"word: emotion
properties: tears, anger, heartbeat, memory","['tears', 'anger', 'heartbeat', 'memory']"
enchantment,"word: enchantment
properties: forest, magic, sparkle, dream","['forest', 'magic', 'sparkle', 'dream']"
enthusiasm,"word: enthusiasm
properties: energy, excitement, competition, passion","['energy', 'excitement', 'competition', 'passion']"
envy,"word: envy
properties: jealousy, bitterness, comparison, resentment","['jealousy', 'bitterness', 'comparison', 'resentment']"
error,"word: error
properties: bug, crash, message, fix","['bug', 'crash', 'message', 'fix']"
event,"word: event
properties: party, noise, tickets, memory","['party', 'noise', 'tickets', 'memory']"
excitement,"word: excitement
properties: rush, energy, anticipation, laughter","['rush', 'energy', 'anticipation', 'laughter']"
expectation,"word: expectation
properties: pressure, planning, disappointment, hope","['pressure', 'planning', 'disappointment', 'hope']"
experience,"word: experience
properties: memory, feeling, growth, change","['memory', 'feeling', 'growth', 'change']"
explanation,"word: explanation
properties: diagram, process, details, reason","['diagram', 'process', 'details', 'reason']"
exploitation,"word: exploitation
properties: prison, debt, power, greed","['prison', 'debt', 'power', 'greed']"
faithfulness,"word: faithfulness
properties: promise, loyalty, trust, devotion","['promise', 'loyalty', 'trust', 'devotion']"
fantasy,"word: fantasy
properties: dragons, castles, magic, dreams","['dragons', 'castles', 'magic', 'dreams']"
fate,"word: fate
properties: destiny, crossroads, prophecy, inevitability","['destiny', 'crossroads', 'prophecy', 'inevitability']"
fear,"word: fear
properties: darkness, trembling, breathlessness, shadow","['darkness', 'trembling', 'breathlessness', 'shadow']"
fight,"word: fight
properties: bruises, anger, struggle, impact","['bruises', 'anger', 'struggle', 'impact']"
fitness,"word: fitness
properties: gym, sweat, challenge, health","['gym', 'sweat', 'challenge', 'health']"
flexibility,"word: flexibility
properties: yoga, bend, stretch, dance","['yoga', 'bend', 'stretch', 'dance']"
force,"word: force
properties: impact, pressure, movement, resistance","['impact', 'pressure', 'movement', 'resistance']"
forgiveness,"word: forgiveness
properties: release, healing, burden, peace","['release', 'healing', 'burden', 'peace']"
