word,response,properties
ability,"word: ability  
properties: learning, overcoming, creativity, confidence","['learning', 'overcoming', 'creativity', 'confidence']"
accusation,"word: accusation  
properties: courtroom, betrayal, silence, denial","['courtroom', 'betrayal', 'silence', 'denial']"
achievement,"word: achievement  
properties: medal, personal growth, pride, milestone","['medal', 'personal growth', 'pride', 'milestone']"
activity,"word: activity  
properties: sports event, school project, community cleanup, dance class","['sports event', 'school project', 'community cleanup', 'dance class']"
addiction,"word: addiction  
properties: compulsive behavior, dependency on substances, loss of control, emotional withdrawal","['compulsive behavior', 'dependency on substances', 'loss of control', 'emotional withdrawal']"
admiration,"word: admiration  
properties: compliment, quiet respect, looking up, heartfelt gaze","['compliment', 'quiet respect', 'looking up', 'heartfelt gaze']"
advantage,"word: advantage  
properties: negotiation, strategy, opportunity, edge","['negotiation', 'strategy', 'opportunity', 'edge']"
adventure,"word: adventure  
properties: mountain climb, foreign language, lost map, campfire story","['mountain climb', 'foreign language', 'lost map', 'campfire story']"
advice,"word: advice  
properties: career choice, conflict resolution, life decision, personal growth","['career choice', 'conflict resolution', 'life decision', 'personal growth']"
agony,"word: agony  
properties: sharp pain, suffocating silence, trembling hands, desperate breaths","['sharp pain', 'suffocating silence', 'trembling hands', 'desperate breaths']"
agreement,"word: agreement  
properties: contract, peace, compromise, consensus","['contract', 'peace', 'compromise', 'consensus']"
amazement,"word: amazement  
properties: witnessing a first flight, discovering an ancient manuscript, seeing a child laugh uncontrollably, hearing a long-lost song played on a piano","['witnessing a first flight', 'discovering an ancient manuscript', 'seeing a child laugh uncontrollably', 'hearing a long-lost song played on a piano']"
ambition,"word: ambition  
properties: early mornings, risk-taking, long-term goals, relentless drive","['early mornings', 'risk-taking', 'long-term goals', 'relentless drive']"
ambush,"word: ambush  
properties: surprise, hidden trap, sudden attack, unexpected confrontation","['surprise', 'hidden trap', 'sudden attack', 'unexpected confrontation']"
amusement,"word: amusement  
properties: carnival, laughter, popcorn, roller coaster","['carnival', 'laughter', 'popcorn', 'roller coaster']"
anger,"word: anger  
properties: shouting, betrayal, fists, road rage","['shouting', 'betrayal', 'fists', 'road rage']"
anxiety,"word: anxiety  
properties: racing heart, clenching jaw, sleepless night, avoidance behavior","['racing heart', 'clenching jaw', 'sleepless night', 'avoidance behavior']"
apology,"word: apology  
properties: broken promise, public statement, regret, sincere gesture","['broken promise', 'public statement', 'regret', 'sincere gesture']"
appearance,"word: appearance  
properties: mirror, fashion, gaze, disguise","['mirror', 'fashion', 'gaze', 'disguise']"
appetite,"word: appetite  
properties: hunger, meal prep, digestion, food cravings","['hunger', 'meal prep', 'digestion', 'food cravings']"
application,"word: application  
properties: software, phone, startup, form","['software', 'phone', 'startup', 'form']"
aptitude,"word: aptitude  
properties: academic success, quick learning, problem-solving, natural talent","['academic success', 'quick learning', 'problem-solving', 'natural talent']"
argument,"word: argument  
properties: disagreement, raised voice, broken silence, mutual frustration","['disagreement', 'raised voice', 'broken silence', 'mutual frustration']"
art,"word: art  
properties: brushstrokes, silent conversation, imagination, transformation","['brushstrokes', 'silent conversation', 'imagination', 'transformation']"
aspect,"word: aspect  
properties: angle, dimension, feature, perspective","['angle', 'dimension', 'feature', 'perspective']"
assassination,"word: assassination  
properties: political conspiracy, silent murder, sudden violence, covert operation","['political conspiracy', 'silent murder', 'sudden violence', 'covert operation']"
assumption,"word: assumption  
properties: hidden bias, unverified truth, silent agreement, flawed logic","['hidden bias', 'unverified truth', 'silent agreement', 'flawed logic']"
astonishment,"word: astonishment  
properties: a dropped phone in a crowd, a clock suddenly stopping, a long-lost relative appearing, a sudden rainbow after rain","['a dropped phone in a crowd', 'a clock suddenly stopping', 'a long-lost relative appearing', 'a sudden rainbow after rain']"
attack,"word: attack  
properties: battle, betrayal, fear, suddenness","['battle', 'betrayal', 'fear', 'suddenness']"
attention,"word: attention  
properties: classroom, phone notification, spotlight, focused gaze","['classroom', 'phone notification', 'spotlight', 'focused gaze']"
attraction,"word: attraction  
properties: magnetic pull, unexpected meeting, silent gaze, natural draw","['magnetic pull', 'unexpected meeting', 'silent gaze', 'natural draw']"
beauty,"word: beauty  
properties: symmetry, stillness, glow, nature","['symmetry', 'stillness', 'glow', 'nature']"
being,"word: being  
properties: meditation, stillness, presence, self-awareness","['meditation', 'stillness', 'presence', 'self-awareness']"
betrayal,"word: betrayal  
properties: trust shattered, secret revealed, loyalty broken, silent anger","['trust shattered', 'secret revealed', 'loyalty broken', 'silent anger']"
blackmail,"word: blackmail  
properties: threat, coercion, secret deal, legal consequence","['threat', 'coercion', 'secret deal', 'legal consequence']"
boredom,"word: boredom  
properties: staring at walls, endless scrolling, slow clock, empty room","['staring at walls', 'endless scrolling', 'slow clock', 'empty room']"
boycott,"word: boycott  
properties: protest, food, refusal, political action","['protest', 'food', 'refusal', 'political action']"
bravery,"word: bravery  
properties: standing up for a friend, facing a fear in the dark, saving someone from danger, making a difficult decision alone","['standing up for a friend', 'facing a fear in the dark', 'saving someone from danger', 'making a difficult decision alone']"
career,"word: career  
properties: job interview, startup failure, long hours, professional growth","['job interview', 'startup failure', 'long hours', 'professional growth']"
carefulness,"word: carefulness  
properties: patience, meticulous planning, attention to detail, thoughtful gestures","['patience', 'meticulous planning', 'attention to detail', 'thoughtful gestures']"
catastrophe,"word: catastrophe  
properties: natural disaster, sudden collapse, human error, total loss","['natural disaster', 'sudden collapse', 'human error', 'total loss']"
caution,"word: caution  
properties: traffic lights, mountain trail, warning sign, emergency exit","['traffic lights', 'mountain trail', 'warning sign', 'emergency exit']"
challenge,"word: challenge  
properties: mountain climb, competitive exam, creative problem-solving, personal growth","['mountain climb', 'competitive exam', 'creative problem-solving', 'personal growth']"
chaos,"word: chaos  
properties: storm, broken clocks, unpredictable outcomes, scattered papers","['storm', 'broken clocks', 'unpredictable outcomes', 'scattered papers']"
character,"word: character  
properties: integrity, transformation, courage, moral choice","['integrity', 'transformation', 'courage', 'moral choice']"
charm,"word: charm  
properties: magic, attraction, whisper, vintage necklace","['magic', 'attraction', 'whisper', 'vintage necklace']"
comfort,"word: comfort  
properties: warm blanket, quiet room, soft music, familiar smell","['warm blanket', 'quiet room', 'soft music', 'familiar smell']"
commitment,"word: commitment  
properties: loyalty, long-term partnership, responsibility, sacrifice","['loyalty', 'long-term partnership', 'responsibility', 'sacrifice']"
comparison,"word: comparison  
properties: side-by-side review, salary negotiation, academic grading, social media feed","['side-by-side review', 'salary negotiation', 'academic grading', 'social media feed']"
compassion,"word: compassion  
properties: healing, silence, patience, shared suffering","['healing', 'silence', 'patience', 'shared suffering']"
competence,"word: competence  
properties: professional assessment, skill demonstration, independent decision-making, task efficiency","['professional assessment', 'skill demonstration', 'independent decision-making', 'task efficiency']"
compromise,"word: compromise  
properties: negotiation, conflict resolution, mutual agreement, giving in","['negotiation', 'conflict resolution', 'mutual agreement', 'giving in']"
compulsion,"word: compulsion  
properties: addiction, involuntary action, internal drive, irresistible urge","['addiction', 'involuntary action', 'internal drive', 'irresistible urge']"
confession,"word: confession  
properties: truth, guilt, repentance, silence","['truth', 'guilt', 'repentance', 'silence']"
conflict,"word: conflict  
properties: war, negotiation, tension, resolution","['war', 'negotiation', 'tension', 'resolution']"
consideration,"word: consideration  
properties: compromise, patience, fairness, long-term thinking","['compromise', 'patience', 'fairness', 'long-term thinking']"
consolation,"word: consolation  
properties: grief, quiet, warmth, second chance","['grief', 'quiet', 'warmth', 'second chance']"
contempt,"word: contempt  
properties: public ridicule, silence, cold eyes, betrayal","['public ridicule', 'silence', 'cold eyes', 'betrayal']"
convention,"word: convention  
properties: expo, networking, trade shows, large gatherings","['expo', 'networking', 'trade shows', 'large gatherings']"
cooperation,"word: cooperation  
properties: team project, shared goals, mutual support, problem-solving","['team project', 'shared goals', 'mutual support', 'problem-solving']"
courage,"word: courage  
properties: standing up to injustice, facing fear in the dark, choosing hope over despair, stepping into the unknown","['standing up to injustice', 'facing fear in the dark', 'choosing hope over despair', 'stepping into the unknown']"
creativity,"word: creativity  
properties: painting, problem-solving, improvisation, original ideas","['painting', 'problem-solving', 'improvisation', 'original ideas']"
crime,"word: crime  
properties: justice, fear, silence, punishment","['justice', 'fear', 'silence', 'punishment']"
criticism,"word: criticism  
properties: failure, honesty, growth, challenge","['failure', 'honesty', 'growth', 'challenge']"
cruelty,"word: cruelty  
properties: abandoned animal, silent treatment, broken trust, unkind laughter","['abandoned animal', 'silent treatment', 'broken trust', 'unkind laughter']"
culture,"word: culture  
properties: museum, global traditions, language evolution, artistic expression","['museum', 'global traditions', 'language evolution', 'artistic expression']"
