word,response,properties
ability,"word: ability  
properties: learning a language, peeling a banana, coding a script, tightrope walk","['learning a language', 'peeling a banana', 'coding a script', 'tightrope walk']"
accusation,"word: accusation  
properties: courtroom, alibi, gavel, testimony","['courtroom', 'alibi', 'gavel', 'testimony']"
achievement,"word: achievement  
properties: diploma, gold medal, applause, personal growth","['diploma', 'gold medal', 'applause', 'personal growth']"
activity,"word: activity
properties: dance class, book club, sailing, cooking contest","['dance class', 'book club', 'sailing', 'cooking contest']"
addiction,"word: addiction  
properties: withdrawal, rehabilitation, peer support, financial strain","['withdrawal', 'rehabilitation', 'peer support', 'financial strain']"
admiration,"word: admiration  
properties: stadium roar, child's gasp at the moon, art gallery hush, sunrise on cliffs","['stadium roar', ""child's gasp at the moon"", 'art gallery hush', 'sunrise on cliffs']"
advantage,"word: advantage
properties: experience, skill, network, resources","['experience', 'skill', 'network', 'resources']"
adventure,"word: adventure  
properties: cliff, sunrise, compass, laughter","['cliff', 'sunrise', 'compass', 'laughter']"
advice,"word: advice  
properties: mother’s kitchen chat, mentor’s coffee talk, GPS road‑trip hint, legal document review","['mother’s kitchen chat', 'mentor’s coffee talk', 'GPS road‑trip hint', 'legal document review']"
agony,"word: agony  
properties: operating theater, break‑up at midnight, sudden job loss, trapped in hot elevator  ","['operating theater', 'break‑up at midnight', 'sudden job loss', 'trapped in hot elevator']"
agreement,"word: agreement  
properties: handshake, compromise, trust, treaty","['handshake', 'compromise', 'trust', 'treaty']"
amazement,"word: amazement  
properties: surprise flash mob, newborn's first cry, quiet snowfall at midnight, towering rocket launch  ","['surprise flash mob', ""newborn's first cry"", 'quiet snowfall at midnight', 'towering rocket launch']"
ambition,"word: ambition
properties: career ladder, startup pitch, late-night journals, handling failure","['career ladder', 'startup pitch', 'late-night journals', 'handling failure']"
ambush,"word: ambush  
properties: jungle, sniper, shadow, alarm","['jungle', 'sniper', 'shadow', 'alarm']"
amusement,"word: amusement  
properties: roller coaster, clown, carnival lights, popcorn","['roller coaster', 'clown', 'carnival lights', 'popcorn']"
anger,"word: anger  
properties: traffic jam, elevator jam, spilled coffee, hot sauce","['traffic jam', 'elevator jam', 'spilled coffee', 'hot sauce']"
anxiety,"word: anxiety  
properties: exam, coffee, traffic jam, loud alarm","['exam', 'coffee', 'traffic jam', 'loud alarm']"
