word,properties,codes,frequencies
ability,"['potential', 'practice', 'growth', 'performance']","['other abstract concept', 'sensorimotor feature', 'other abstract concept', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
accusation,"['courtroom', 'finger-pointing', 'defensive', 'evidence']","['association', 'sensorimotor feature', 'internal state and emotion', 'association']","[0.25, 0.25, 0.0, 0.5]"
achievement,"['trophy', 'effort', 'milestone', 'applause']","['association', 'internal state and emotion', 'other abstract concept', 'social constellation']","[0.0, 0.25, 0.25, 0.5]"
activity,"['movement', 'energy', 'task', 'play']","['sensorimotor feature', 'sensorimotor feature', 'other abstract concept', 'other abstract concept']","[0.5, 0.0, 0.0, 0.5]"
addiction,"['craving', 'chain', 'cycle', 'escape']","['internal state and emotion', 'association', 'other abstract concept', 'internal state and emotion']","[0.0, 0.5, 0.0, 0.5]"
admiration,"['respect', 'inspiration', 'achievement', 'hero']","['other abstract concept', 'association', 'association', 'association']","[0.0, 0.0, 0.0, 1.0]"
advantage,"['head start', 'high ground', 'leverage', 'bonus']","['association', 'sensorimotor feature', 'sensorimotor feature', 'other abstract concept']","[0.5, 0.0, 0.0, 0.5]"
adventure,"['discovery', 'challenge', 'backpack', 'unknown']","['other abstract concept', 'other abstract concept', 'sensorimotor feature', 'other abstract concept']","[0.25, 0.0, 0.0, 0.75]"
advice,"['guidance', 'crossroads', 'mentor', 'perspective']","['other abstract concept', 'association', 'social constellation', 'other abstract concept']","[0.0, 0.0, 0.25, 0.75]"
agony,"['scream', 'wound', 'despair', 'hospital']","['sensorimotor feature', 'sensorimotor feature', 'internal state and emotion', 'association']","[0.5, 0.25, 0.0, 0.25]"
agreement,"['contract', 'handshake', 'peace', 'meeting']","['other abstract concept', 'sensorimotor feature', 'association', 'social constellation']","[0.25, 0.0, 0.25, 0.5]"
amazement,"['magic trick', 'dropped jaw', 'stargazing', 'gasp']","['association', 'sensorimotor feature', 'association', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
ambition,"['ladder', 'summit', 'engine', 'blueprint']","['association', 'association', 'association', 'association']","[0.0, 0.0, 0.0, 1.0]"
ambush,"['concealment', 'patience', 'surprise', 'trap']","['sensorimotor feature', 'internal state and emotion', 'internal state and emotion', 'association']","[0.25, 0.5, 0.0, 0.25]"
amusement,"['laughter', 'park', 'circus', 'smile']","['internal state and emotion', 'association', 'association', 'internal state and emotion']","[0.0, 0.5, 0.0, 0.5]"
anger,"['red face', 'shattered glass', 'tight chest', 'injustice']","['sensorimotor feature', 'association', 'sensorimotor feature', 'other abstract concept']","[0.5, 0.0, 0.0, 0.5]"
anxiety,"['racing heart', 'fidgeting', 'unknown', 'tight knot']","['sensorimotor feature', 'sensorimotor feature', 'internal state and emotion', 'sensorimotor feature']","[0.75, 0.25, 0.0, 0.0]"
apology,"['mistake', 'forgiveness', 'tears', 'repair']","['other abstract concept', 'other abstract concept', 'internal state and emotion', 'sensorimotor feature']","[0.25, 0.25, 0.0, 0.5]"
appearance,"['light', 'surface', 'stage', 'illusion']","['sensorimotor feature', 'sensorimotor feature', 'association', 'other abstract concept']","[0.5, 0.0, 0.0, 0.5]"
appetite,"['stomach growl', 'food', 'meal time', 'satisfaction']","['sensorimotor feature', 'sensorimotor feature', 'association', 'internal state and emotion']","[0.5, 0.25, 0.0, 0.25]"
application,"['resume', 'icon', 'brush', 'form']","['association', 'association', 'sensorimotor feature', 'other abstract concept']","[0.25, 0.0, 0.0, 0.75]"
aptitude,"['learning', 'discovery', 'growth', 'mentorship']","['other abstract concept', 'other abstract concept', 'other abstract concept', 'social constellation']","[0.0, 0.0, 0.25, 0.75]"
argument,"['voice raising', 'evidence', 'red face', 'resolution']","['sensorimotor feature', 'association', 'sensorimotor feature', 'other abstract concept']","[0.5, 0.0, 0.0, 0.5]"
art,[''],[],"[0, 0, 0, 0]"
