word,properties,codes,frequencies
ability,"['practice', 'growth', 'challenge', 'confidence']","['sensorimotor feature', 'other abstract concept', 'other abstract concept', 'internal state and emotion']","[0.25, 0.25, 0.0, 0.5]"
accusation,"['courtroom', 'evidence', 'tension', 'reputation']","['association', 'association', 'internal state and emotion', 'association']","[0.0, 0.25, 0.0, 0.75]"
achievement,"['trophy', 'graduation', 'hard work', 'celebration']","['association', 'association', 'internal state and emotion', 'social constellation']","[0.0, 0.25, 0.25, 0.5]"
activity,[''],[],"[0, 0, 0, 0]"
addiction,"['cravings', 'withdrawal', 'cycles', 'triggers']","['internal state and emotion', 'internal state and emotion', 'association', 'association']","[0.0, 0.5, 0.0, 0.5]"
admiration,"['applause', 'role model', 'achievement', 'awe']","['sensorimotor feature', 'social constellation', 'association', 'internal state and emotion']","[0.25, 0.25, 0.25, 0.25]"
advantage,"['leverage', 'competition', 'edge', 'opportunity']","['association', 'social constellation', 'sensorimotor feature', 'other abstract concept']","[0.25, 0.0, 0.25, 0.5]"
adventure,"['map', 'campfire', 'unknown path', 'treasure hunt']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'association']","[0.75, 0.0, 0.0, 0.25]"
advice,[''],[],"[0, 0, 0, 0]"
agony,"['hospital', 'scream', 'night', 'betrayal']","['association', 'sensorimotor feature', 'association', 'other abstract concept']","[0.25, 0.0, 0.0, 0.75]"
agreement,"['handshake', 'contract', 'compromise', 'consensus']","['sensorimotor feature', 'other abstract concept', 'other abstract concept', 'social constellation']","[0.25, 0.0, 0.25, 0.5]"
amazement,"['fireworks', 'first steps', 'discovery', 'wide eyes']","['association', 'sensorimotor feature', 'other abstract concept', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
ambition,"['ladder', 'marathon', 'sunrise', 'trophy']","['association', 'association', 'association', 'association']","[0.0, 0.0, 0.0, 1.0]"
ambush,"['hidden trap', 'sudden surprise', 'forest shadows', 'guerrilla tactics']","['sensorimotor feature', 'internal state and emotion', 'association', 'association']","[0.25, 0.25, 0.0, 0.5]"
amusement,"['rollercoaster', 'popcorn', 'fireworks', 'circus tent']","['sensorimotor feature', 'association', 'association', 'association']","[0.25, 0.0, 0.0, 0.75]"
anger,"['clenched fists', 'red face', 'heated argument', 'slammed door']","['sensorimotor feature', 'sensorimotor feature', 'social constellation', 'sensorimotor feature']","[0.75, 0.0, 0.25, 0.0]"
anxiety,"['racing heart', 'restless nights', 'crowded rooms', 'endless to‑do lists']","['sensorimotor feature', 'sensorimotor feature', 'social constellation', 'association']","[0.5, 0.0, 0.25, 0.25]"
apology,"['remorse', 'handwritten note', 'courtroom', 'reconciliation']","['internal state and emotion', 'association', 'association', 'social constellation']","[0.0, 0.25, 0.25, 0.5]"
appearance,"['mirror', 'first impression', 'makeup', 'camouflage']","['sensorimotor feature', 'association', 'sensorimotor feature', 'sensorimotor feature']","[0.75, 0.0, 0.0, 0.25]"
appetite,"['buffet', 'cravings', 'dieting', 'midnight snack']","['sensorimotor feature', 'internal state and emotion', 'other abstract concept', 'association']","[0.25, 0.25, 0.0, 0.5]"
application,"['resume', 'software', 'job interview', 'form filling']","['association', 'association', 'social constellation', 'sensorimotor feature']","[0.25, 0.0, 0.25, 0.5]"
aptitude,"['puzzles', 'career', 'learning', 'potential']","['sensorimotor feature', 'social constellation', 'internal state and emotion', 'other abstract concept']","[0.25, 0.25, 0.25, 0.25]"
argument,"['debate', 'courtroom', 'raised voices', 'stubbornness']","['other abstract concept', 'association', 'sensorimotor feature', 'internal state and emotion']","[0.25, 0.25, 0.0, 0.5]"
art,"['canvas', 'gallery', 'imagination', 'performance']","['sensorimotor feature', 'association', 'internal state and emotion', 'sensorimotor feature']","[0.5, 0.25, 0.0, 0.25]"
aspect,"['angle', 'perspective', 'detail', 'facet']","['sensorimotor feature', 'other abstract concept', 'other abstract concept', 'other abstract concept']","[0.25, 0.0, 0.0, 0.75]"
assassination,"['secret plot', 'bullet', 'power shift', 'historical intrigue']","['association', 'sensorimotor feature', 'other abstract concept', 'association']","[0.25, 0.0, 0.0, 0.75]"
assumption,"['hypothesis', 'bias', 'expectation', 'default setting']","['other abstract concept', 'internal state and emotion', 'internal state and emotion', 'other abstract concept']","[0.0, 0.5, 0.0, 0.5]"
astonishment,"['wide‑eyes', 'sudden gasp', 'unexpected twist', 'fireworks burst']","['sensorimotor feature', 'sensorimotor feature', 'association', 'association']","[0.5, 0.0, 0.0, 0.5]"
attack,"['alarm', 'battlefield', 'invasion', 'surprise']","['association', 'association', 'social constellation', 'internal state and emotion']","[0.0, 0.25, 0.25, 0.5]"
attention,"['phone notifications', 'lecture hall', 'eye contact', 'mindfulness']","['association', 'social constellation', 'sensorimotor feature', 'internal state and emotion']","[0.25, 0.25, 0.25, 0.25]"
attraction,"['magnets', 'first dates', 'gravity', 'crowd magnet']","['sensorimotor feature', 'social constellation', 'association', 'association']","[0.25, 0.0, 0.25, 0.5]"
beauty,"['sunrise', 'music', 'kindness', 'harmony']","['association', 'association', 'internal state and emotion', 'other abstract concept']","[0.0, 0.25, 0.0, 0.75]"
being,[''],"[""503 unavailable. {'error'""]","[0.0, 0.0, 0.0, 0.0]"
betrayal,"['secret', 'knife', 'broken trust', 'exile']","['association', 'sensorimotor feature', 'internal state and emotion', 'social constellation']","[0.25, 0.25, 0.25, 0.25]"
blackmail,"['secrets', 'leverage', 'intimidation', 'ransom']","['association', 'other abstract concept', 'internal state and emotion', 'association']","[0.0, 0.25, 0.0, 0.75]"
boredom,"['ticking clock', 'endless hallway', 'restless feet', 'half‑finished crossword']","['association', 'association', 'internal state and emotion', 'association']","[0.0, 0.25, 0.0, 0.75]"
boycott,[''],"['association', 'other abstract concept', 'social constellation', 'internal state and emotion']","[0.0, 0.25, 0.25, 0.5]"
bravery,"['fire', 'rescue', 'medals', 'fear']","['association', 'social constellation', 'association', 'internal state and emotion']","[0.0, 0.25, 0.25, 0.5]"
career,[''],[],"[0, 0, 0, 0]"
carefulness,"['microscope', 'checklist', 'slow driving', 'safety gear']","['sensorimotor feature', 'association', 'sensorimotor feature', 'sensorimotor feature']","[0.75, 0.0, 0.0, 0.25]"
catastrophe,"['emergency', 'insurance', 'evacuation', 'headlines']","['other abstract concept', 'association', 'social constellation', 'association']","[0.0, 0.0, 0.25, 0.75]"
caution,"['traffic lights', 'warning signs', 'careful steps', 'safety helmets']","['association', 'association', 'sensorimotor feature', 'association']","[0.25, 0.0, 0.0, 0.75]"
challenge,"['puzzle', 'marathon', 'growth', 'obstacle']","['association', 'association', 'other abstract concept', 'sensorimotor feature']","[0.25, 0.0, 0.0, 0.75]"
chaos,"['traffic jam', 'spilled paint', 'crowded market', 'broken clock']","['sensorimotor feature', 'sensorimotor feature', 'social constellation', 'association']","[0.5, 0.0, 0.25, 0.25]"
character,"['novel', 'personality', 'role‑play', 'font\\u200b']","['association', 'other abstract concept', 'social constellation', 'sensorimotor feature']","[0.25, 0.0, 0.25, 0.5]"
charm,"['""rabbit\'s foot""', 'vintage locket', 'stage magician', 'lucky smile']","['association', 'association', 'association', 'sensorimotor feature']","[0.25, 0.0, 0.0, 0.75]"
comfort,"['blanket', 'fireplace', 'lullaby', 'warm tea']","['sensorimotor feature', 'association', 'association', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
commitment,"['wedding', 'deadline', 'loyalty', 'contract']","['social constellation', 'association', 'internal state and emotion', 'other abstract concept']","[0.0, 0.25, 0.25, 0.5]"
comparison,[''],[],"[0, 0, 0, 0]"
compassion,"['volunteer work', 'gentle voice', 'warm blanket', 'listening ear']","['social constellation', 'sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature']","[0.75, 0.0, 0.25, 0.0]"
competence,"['exam', 'training', 'promotion', 'confidence']","['sensorimotor feature', 'sensorimotor feature', 'social constellation', 'internal state and emotion']","[0.5, 0.25, 0.25, 0.0]"
compromise,"['negotiation', 'middle ground', 'trade‑off', 'peace treaty']","['social constellation', 'other abstract concept', 'other abstract concept', 'association']","[0.0, 0.0, 0.25, 0.75]"
compulsion,"['habit', 'cravings', 'repetitive actions', 'inner tension']","['association', 'internal state and emotion', 'sensorimotor feature', 'internal state and emotion']","[0.25, 0.5, 0.0, 0.25]"
confession,[''],[],"[0, 0, 0, 0]"
conflict,"['arguments', 'battlefield', 'torn loyalties', 'negotiation table']","['social constellation', 'association', 'internal state and emotion', 'social constellation']","[0.0, 0.25, 0.5, 0.25]"
consideration,[''],[],"[0, 0, 0, 0]"
consolation,[''],[],"[0, 0, 0, 0]"
contempt,"['sneer', 'dismissal', 'cold stare', 'broken trust']","['sensorimotor feature', 'other abstract concept', 'sensorimotor feature', 'other abstract concept']","[0.5, 0.0, 0.0, 0.5]"
convention,"['conference', 'costumes', 'schedule', 'networking']","['association', 'association', 'other abstract concept', 'social constellation']","[0.0, 0.0, 0.25, 0.75]"
cooperation,"['meeting', 'shared goal', 'joint effort', 'partnership']","['social constellation', 'other abstract concept', 'social constellation', 'social constellation']","[0.0, 0.0, 0.75, 0.25]"
courage,"['fire', 'cliff‑jumping', 'whistleblower', 'sunrise']","['association', 'sensorimotor feature', 'social constellation', 'association']","[0.25, 0.0, 0.25, 0.5]"
creativity,"['paint', 'brainstorming', 'improvisation', 'invention']","['sensorimotor feature', 'internal state and emotion', 'internal state and emotion', 'other abstract concept']","[0.25, 0.5, 0.0, 0.25]"
crime,"['courtroom', 'detective', 'motive', 'evidence']","['association', 'social constellation', 'internal state and emotion', 'sensorimotor feature']","[0.25, 0.25, 0.25, 0.25]"
criticism,"['lecture', 'newspaper', 'self‑doubt', 'growth']","['association', 'association', 'internal state and emotion', 'other abstract concept']","[0.0, 0.25, 0.0, 0.75]"
cruelty,"['animal testing', 'oppression', 'cold stare', 'war']","['association', 'social constellation', 'sensorimotor feature', 'social constellation']","[0.25, 0.0, 0.5, 0.25]"
culture,"['festivals', 'language', 'traditions', 'cuisine']","['association', 'other abstract concept', 'other abstract concept', 'sensorimotor feature']","[0.25, 0.0, 0.0, 0.75]"
curiosity,"['questions', 'experiments', 'puzzles', 'exploration']","['other abstract concept', 'sensorimotor feature', 'other abstract concept', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
custom,"['tradition', 'ceremony', 'regional cuisine', 'family heirloom']","['other abstract concept', 'association', 'sensorimotor feature', 'association']","[0.25, 0.0, 0.0, 0.75]"
danger,"['traffic', 'fire', 'warning', 'adrenaline']","['sensorimotor feature', 'sensorimotor feature', 'association', 'internal state and emotion']","[0.5, 0.25, 0.0, 0.25]"
death,"['funeral', 'grief', 'legacy', 'silence']","['association', 'internal state and emotion', 'association', 'sensorimotor feature']","[0.25, 0.25, 0.0, 0.5]"
decision,"['crossroads', 'deadline', 'weighing', 'consequences']","['association', 'other abstract concept', 'internal state and emotion', 'other abstract concept']","[0.0, 0.25, 0.0, 0.75]"
demand,"['protest', 'shortage', 'deadline', 'negotiation']","['social constellation', 'association', 'other abstract concept', 'social constellation']","[0.0, 0.0, 0.5, 0.5]"
desire,"['cravings', 'ambition', 'longing glances', 'midnight thoughts']","['sensorimotor feature', 'internal state and emotion', 'social constellation', 'association']","[0.25, 0.25, 0.25, 0.25]"
desperation,"['last‑ditch plan', 'trembling hands', 'empty wallet', 'midnight phone call']","['other abstract concept', 'sensorimotor feature', 'association', 'association']","[0.25, 0.0, 0.0, 0.75]"
destruction,"['shattered glass', 'wildfire', 'crumbling ruins', 'broken promises']","['sensorimotor feature', 'association', 'sensorimotor feature', 'social constellation']","[0.5, 0.0, 0.25, 0.25]"
detection,"['radar', 'alarm', 'clues', 'microscope']","['sensorimotor feature', 'association', 'sensorimotor feature', 'sensorimotor feature']","[0.75, 0.0, 0.0, 0.25]"
dictatorship,"['censorship', 'propaganda', 'military parades', 'secret police']","['other abstract concept', 'association', 'association', 'social constellation']","[0.0, 0.0, 0.25, 0.75]"
difference,"['contrast', 'margin', 'change', 'gap']","['other abstract concept', 'association', 'other abstract concept', 'association']","[0.0, 0.0, 0.0, 1.0]"
difficulty,"['puzzle', 'mountain', 'deadline', 'learning']","['sensorimotor feature', 'association', 'other abstract concept', 'internal state and emotion']","[0.25, 0.25, 0.0, 0.5]"
dignity,"['courtroom', 'posture', 'ceremony', 'respect']","['association', 'sensorimotor feature', 'association', 'other abstract concept']","[0.25, 0.0, 0.0, 0.75]"
diligence,"['notebook', 'sunrise', 'marathon', 'craftsmanship']","['association', 'association', 'association', 'association']","[0.0, 0.0, 0.0, 1.0]"
disadvantage,"['missed opportunity', 'lower odds', 'uphill battle', 'extra cost']","['association', 'other abstract concept', 'association', 'association']","[0.0, 0.0, 0.0, 1.0]"
disappointment,"['empty chair', 'missed deadline', 'wilted flower', 'silent applause']","['association', 'other abstract concept', 'association', 'association']","[0.0, 0.0, 0.0, 1.0]"
discovery,"['telescope', 'breakthrough', 'map', 'curiosity']","['sensorimotor feature', 'other abstract concept', 'association', 'internal state and emotion']","[0.25, 0.25, 0.0, 0.5]"
disgust,"['rotten food', 'grimace', 'foul smell', 'repulsive texture']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature']","[1.0, 0.0, 0.0, 0.0]"
dismay,"['sudden silence', 'spilled coffee', 'missed train', 'empty inbox']","['association', 'sensorimotor feature', 'association', 'association']","[0.25, 0.0, 0.0, 0.75]"
dispute,"['courtroom', 'heated debate', 'contract breach', 'media coverage']","['association', 'internal state and emotion', 'other abstract concept', 'association']","[0.0, 0.25, 0.0, 0.75]"
