word,properties,codes,frequencies
ability,"['cape', 'brain', 'puzzle', 'trophy']","['association', 'sensorimotor feature', 'association', 'association']","[0.25, 0.0, 0.0, 0.75]"
accusation,"['courtroom', 'finger', 'defense', 'anger']","['association', 'sensorimotor feature', 'social constellation', 'internal state and emotion']","[0.25, 0.25, 0.25, 0.25]"
achievement,"['medal', 'applause', 'mountain', 'sweat']","['association', 'social constellation', 'association', 'sensorimotor feature']","[0.25, 0.0, 0.25, 0.5]"
activity,"['sweat', 'playground', 'health', 'shoes']","['sensorimotor feature', 'social constellation', 'other abstract concept', 'association']","[0.25, 0.0, 0.25, 0.5]"
addiction,"['withdrawal', 'casino', 'isolation', 'recovery']","['internal state and emotion', 'association', 'social constellation', 'other abstract concept']","[0.0, 0.25, 0.25, 0.5]"
admiration,"['applause', 'mentor', 'trophy', 'spotlight']","['sensorimotor feature', 'social constellation', 'association', 'association']","[0.25, 0.0, 0.25, 0.5]"
advantage,"['height', 'tennis', 'chess', 'binoculars']","['sensorimotor feature', 'association', 'association', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
adventure,"['backpack', 'jungle', 'adrenaline', 'compass']","['sensorimotor feature', 'sensorimotor feature', 'internal state and emotion', 'association']","[0.5, 0.25, 0.0, 0.25]"
advice,"['path', 'coffee', 'ear', 'mistake']","['association', 'association', 'sensorimotor feature', 'other abstract concept']","[0.25, 0.0, 0.0, 0.75]"
agony,"['waiting', 'screaming', 'tears', 'hospital']","['internal state and emotion', 'sensorimotor feature', 'sensorimotor feature', 'association']","[0.5, 0.25, 0.0, 0.25]"
agreement,"['handshake', 'pen', 'nod', 'smile']","['sensorimotor feature', 'association', 'sensorimotor feature', 'internal state and emotion']","[0.5, 0.25, 0.0, 0.25]"
amazement,"['fireworks', 'magic', 'gasp', 'stars']","['association', 'association', 'sensorimotor feature', 'association']","[0.25, 0.0, 0.0, 0.75]"
ambition,"['ladder', 'mountain', 'coffee', 'stars']","['association', 'association', 'association', 'association']","[0.0, 0.0, 0.0, 1.0]"
ambush,"['forest', 'night', 'camouflage', 'silence']","['association', 'association', 'sensorimotor feature', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
amusement,"['rollercoaster', 'popcorn', 'joke', 'smile']","['sensorimotor feature', 'association', 'association', 'internal state and emotion']","[0.25, 0.25, 0.0, 0.5]"
anger,"['red', 'shouting', 'fist', 'fire']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'association']","[0.75, 0.0, 0.0, 0.25]"
anxiety,"['coffee', 'exams', 'pacing', 'night']","['association', 'association', 'sensorimotor feature', 'association']","[0.25, 0.0, 0.0, 0.75]"
apology,"['flowers', 'tears', 'argument', 'handshake']","['association', 'internal state and emotion', 'social constellation', 'sensorimotor feature']","[0.25, 0.25, 0.25, 0.25]"
