word,properties,codes,frequencies
ability,"['skill', 'talent', 'effort', 'success']","['other abstract concept', 'other abstract concept', 'internal state and emotion', 'association']","[0.0, 0.25, 0.0, 0.75]"
accusation,"['courtroom', 'finger-pointing', 'denial', 'scandal']","['association', 'sensorimotor feature', 'internal state and emotion', 'association']","[0.25, 0.25, 0.0, 0.5]"
achievement,"['trophy', 'graduation', 'pride', 'medal']","['association', 'association', 'internal state and emotion', 'association']","[0.0, 0.25, 0.0, 0.75]"
activity,"['exercise', 'busy', 'playground', 'movement']","['sensorimotor feature', 'internal state and emotion', 'association', 'sensorimotor feature']","[0.5, 0.25, 0.0, 0.25]"
addiction,"['craving', 'relapse', 'withdrawal', 'habit']","['internal state and emotion', 'association', 'internal state and emotion', 'association']","[0.0, 0.5, 0.0, 0.5]"
admiration,"['applause', 'statue', 'leader', 'shining eyes']","['association', 'association', 'social constellation', 'sensorimotor feature']","[0.25, 0.0, 0.25, 0.5]"
advantage,"['competition', 'lead', 'opportunity', 'strategy']","['social constellation', 'association', 'other abstract concept', 'other abstract concept']","[0.0, 0.0, 0.25, 0.75]"
adventure,"['backpack', 'jungle', 'map', 'risk']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'internal state and emotion']","[0.75, 0.25, 0.0, 0.0]"
advice,"['mentor', 'warning', 'guidance', 'decision']","['social constellation', 'internal state and emotion', 'other abstract concept', 'other abstract concept']","[0.0, 0.25, 0.25, 0.5]"
agony,"['scream', 'hospital', 'tears', 'burning']","['sensorimotor feature', 'association', 'sensorimotor feature', 'sensorimotor feature']","[0.75, 0.0, 0.0, 0.25]"
agreement,"['handshake', 'contract', 'signature', 'meeting']","['sensorimotor feature', 'other abstract concept', 'sensorimotor feature', 'social constellation']","[0.5, 0.0, 0.25, 0.25]"
amazement,"['fireworks', 'wide eyes', 'magic trick', 'gasp']","['association', 'sensorimotor feature', 'association', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
ambition,"['ladder', 'promotion', 'late nights', 'trophy']","['association', 'other abstract concept', 'association', 'association']","[0.0, 0.0, 0.0, 1.0]"
ambush,"['forest', 'surprise', 'hidden', 'attack']","['association', 'internal state and emotion', 'sensorimotor feature', 'sensorimotor feature']","[0.5, 0.25, 0.0, 0.25]"
amusement,"['rollercoaster', 'laughter', 'carnival', 'popcorn']","['sensorimotor feature', 'internal state and emotion', 'association', 'association']","[0.25, 0.25, 0.0, 0.5]"
anger,"['shouting', 'red face', 'argument', 'slammed door']","['sensorimotor feature', 'sensorimotor feature', 'social constellation', 'sensorimotor feature']","[0.75, 0.0, 0.25, 0.0]"
anxiety,"['racing heart', 'insomnia', 'crowded room', 'nail-biting']","['sensorimotor feature', 'internal state and emotion', 'social constellation', 'sensorimotor feature']","[0.5, 0.25, 0.25, 0.0]"
apology,"['regret', 'mistake', 'forgiveness', 'awkwardness']","['internal state and emotion', 'association', 'social constellation', 'internal state and emotion']","[0.0, 0.5, 0.25, 0.25]"
appearance,"['mirror', 'first impression', 'clothing', 'confidence']","['sensorimotor feature', 'association', 'sensorimotor feature', 'internal state and emotion']","[0.5, 0.25, 0.0, 0.25]"
appetite,"['hunger', 'meal', 'cravings', 'stomach']","['sensorimotor feature', 'association', 'internal state and emotion', 'sensorimotor feature']","[0.5, 0.25, 0.0, 0.25]"
application,"['job', 'form', 'submit', 'deadline']","['association', 'sensorimotor feature', 'sensorimotor feature', 'other abstract concept']","[0.5, 0.0, 0.0, 0.5]"
aptitude,"['test', 'school', 'talent', 'score']","['association', 'association', 'other abstract concept', 'association']","[0.0, 0.0, 0.0, 1.0]"
argument,"['shouting', 'tension', 'misunderstanding', 'debate']","['sensorimotor feature', 'internal state and emotion', 'internal state and emotion', 'social constellation']","[0.25, 0.5, 0.25, 0.0]"
art,"['paint', 'museum', 'canvas', 'gallery']","['sensorimotor feature', 'association', 'sensorimotor feature', 'association']","[0.5, 0.0, 0.0, 0.5]"
aspect,"['angle', 'perspective', 'feature', 'side']","['sensorimotor feature', 'other abstract concept', 'other abstract concept', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
assassination,"['target', 'sniper', 'conspiracy', 'security']","['sensorimotor feature', 'association', 'social constellation', 'other abstract concept']","[0.25, 0.0, 0.25, 0.5]"
assumption,"['guess', 'misunderstanding', 'bias', 'expectation']","['internal state and emotion', 'internal state and emotion', 'internal state and emotion', 'internal state and emotion']","[0.0, 1.0, 0.0, 0.0]"
astonishment,"['wide eyes', 'dropped jaw', 'fireworks', 'sudden silence']","['sensorimotor feature', 'sensorimotor feature', 'association', 'sensorimotor feature']","[0.75, 0.0, 0.0, 0.25]"
attack,"['alarm', 'defender', 'sudden', 'injury']","['association', 'social constellation', 'sensorimotor feature', 'sensorimotor feature']","[0.5, 0.0, 0.25, 0.25]"
attention,"['spotlight', 'classroom', 'focus', 'noise']","['association', 'social constellation', 'internal state and emotion', 'sensorimotor feature']","[0.25, 0.25, 0.25, 0.25]"
attraction,"['magnet', 'amusement park', 'chemistry', 'crowd']","['sensorimotor feature', 'association', 'association', 'social constellation']","[0.25, 0.0, 0.25, 0.5]"
beauty,"['mirror', 'flowers', 'elegance', 'art']","['sensorimotor feature', 'association', 'other abstract concept', 'association']","[0.25, 0.0, 0.0, 0.75]"
being,"['existence', 'presence', 'consciousness', 'life']","['other abstract concept', 'sensorimotor feature', 'internal state and emotion', 'other abstract concept']","[0.25, 0.25, 0.0, 0.5]"
betrayal,"['broken trust', 'secret revealed', 'backstabbing', 'tears']","['internal state and emotion', 'association', 'sensorimotor feature', 'internal state and emotion']","[0.25, 0.5, 0.0, 0.25]"
blackmail,"['secret', 'threat', 'money', 'scandal']","['association', 'internal state and emotion', 'association', 'association']","[0.0, 0.25, 0.0, 0.75]"
boredom,"['waiting', 'clock', 'yawning', 'empty room']","['internal state and emotion', 'association', 'sensorimotor feature', 'sensorimotor feature']","[0.5, 0.25, 0.0, 0.25]"
boycott,"['protest', 'companies', 'products', 'refusal']","['association', 'social constellation', 'association', 'other abstract concept']","[0.0, 0.0, 0.25, 0.75]"
bravery,"['firefighter', 'battlefield', 'speaking up', 'lion']","['association', 'association', 'internal state and emotion', 'association']","[0.0, 0.25, 0.0, 0.75]"
