word,properties,codes,frequencies
abominable,"['Extremely bad', 'Morally disgusting', 'Inspires revulsion', 'Shockingly unacceptable', 'Often used for cruel acts']","['taxonomic', 'entity', 'introspective', 'introspective', 'situation']","[0.2, 0.2, 0.2, 0.4]"
accessible,"['Easy to reach', 'Usable by many people', 'Not blocked or restricted', 'Simple to understand or obtain', 'Designed for disabilities']","['entity', 'entity', 'introspective', 'entity', 'situation']","[0.0, 0.6, 0.2, 0.2]"
accurate,"['Matches reality', 'Few errors', 'Correct measurement', 'Precise result', 'Faithful to facts']","['entity', 'entity', 'entity', 'entity', 'entity']","[0.0, 1.0, 0.0, 0.0]"
accusation,"['Claim of wrongdoing', 'Directed at someone', 'Spoken or written', 'Common in legal or personal conflict', 'May require proof or defense']","['taxonomic', 'situation', 'situation', 'situation', 'introspective']","[0.2, 0.0, 0.6, 0.2]"
admiration,"['Respect for excellence', 'Warm positive regard', 'Felt toward a person or achievement', 'Inspired by skill, character, or beauty', 'Looking up to someone']","['entity', 'entity', 'situation', 'situation', 'situation']","[0.0, 0.4, 0.6, 0.0]"
adoring,"['Deep affection', 'Looking with warmth', 'Full of fondness', 'Toward someone cherished', 'Loving admiration']","['entity', 'situation', 'entity', 'situation', 'entity']","[0.0, 0.6, 0.4, 0.0]"
affection,"['Warm feeling', 'Toward someone loved', 'Shown by hugs', 'Gentle tenderness', 'Caring attachment']","['entity', 'situation', 'situation', 'entity', 'entity']","[0.0, 0.6, 0.4, 0.0]"
affirmation,"['Declaring something true', 'Positive confirmation', 'Often spoken or written', 'Used to support confidence', 'Agreement or approval']","['situation', 'taxonomic', 'situation', 'situation', 'taxonomic']","[0.4, 0.0, 0.6, 0.0]"
affordable,"['Low cost', 'Within budget', 'Easy to pay for', 'Not too expensive', 'Reasonable price']","['entity', 'introspective', 'situation', 'introspective', 'introspective']","[0.0, 0.2, 0.2, 0.6]"
aging,"['Growing older over time', 'Gradual bodily changes', 'Wrinkles, gray hair', 'Happens to living things', 'Slow lifelong process']","['entity', 'entity', 'entity', 'situation', 'situation']","[0.0, 0.6, 0.4, 0.0]"
agitation,"['Inner restlessness', 'Upset nerves', 'Pacing or fidgeting', 'Mental unease', 'Disturbed, excited state']","['entity', 'entity', 'entity', 'entity', 'entity']","[0.0, 1.0, 0.0, 0.0]"
agree,"['Same opinion', 'Say yes', 'Accept a proposal', 'Think alike', 'Not oppose']","['entity', 'situation', 'situation', 'introspective', 'introspective']","[0.0, 0.2, 0.4, 0.4]"
amazing,"['Extremely impressive', 'Causes wonder', 'Better than expected', 'Makes people stare', 'Strong positive reaction']","['introspective', 'introspective', 'introspective', 'situation', 'introspective']","[0.0, 0.0, 0.2, 0.8]"
amused,"['Mild pleasure', 'Caused by something funny', 'Small smile', 'Brief entertainment', 'Not serious delight']","['introspective', 'situation', 'entity', 'entity', 'introspective']","[0.0, 0.4, 0.2, 0.4]"
angry,"['Strong displeasure', 'Face tense', 'Raised voice', 'Caused by insult', 'Wants to confront']","['introspective', 'entity', 'situation', 'situation', 'situation']","[0.0, 0.2, 0.6, 0.2]"
angst,"['Vague inner dread', 'Troubled, restless feeling', 'Often about identity or future', 'Common in adolescence', 'Brooding emotional tension']","['introspective', 'introspective', 'situation', 'situation', 'introspective']","[0.0, 0.0, 0.4, 0.6]"
annoyed,"['Mild irritation', 'By repeated bother', 'Wants it to stop', 'Impatient expression', 'Less intense than angry']","['taxonomic', 'situation', 'introspective', 'entity', 'introspective']","[0.2, 0.2, 0.2, 0.4]"
anxious,"['Worried anticipation', 'Uneasy about what might happen', 'Restless, tense feeling', 'Before a test or bad news', 'Hard to relax or sit still']","['introspective', 'introspective', 'introspective', 'situation', 'introspective']","[0.0, 0.0, 0.2, 0.8]"
