word,properties,codes,frequencies
ability,"['practice', 'unlock', 'potential', 'struggle']","['sensorimotor feature', 'other abstract concept', 'other abstract concept', 'internal state and emotion']","[0.25, 0.25, 0.0, 0.5]"
accusation,"['pointing finger', 'courtroom', 'denial', 'betrayal']","['sensorimotor feature', 'association', 'internal state and emotion', 'social constellation']","[0.25, 0.25, 0.25, 0.25]"
achievement,"['medal', 'sweat', 'milestone', 'pride']","['association', 'sensorimotor feature', 'other abstract concept', 'internal state and emotion']","[0.25, 0.25, 0.0, 0.5]"
activity,"['exercise', 'energy', 'buzzing', 'boredom']","['sensorimotor feature', 'internal state and emotion', 'sensorimotor feature', 'internal state and emotion']","[0.5, 0.5, 0.0, 0.0]"
addiction,"['withdrawal', 'relapse', 'dopamine', 'chains']","['internal state and emotion', 'internal state and emotion', 'sensorimotor feature', 'association']","[0.25, 0.5, 0.0, 0.25]"
admiration,"['standing ovation', 'role model', 'inspiration', 'trophy']","['sensorimotor feature', 'social constellation', 'association', 'association']","[0.25, 0.0, 0.25, 0.5]"
advantage,"['competition', 'leverage', 'head start', 'exploit']","['social constellation', 'association', 'association', 'social constellation']","[0.0, 0.0, 0.5, 0.5]"
adventure,"['mountains', 'compass', 'risk', 'discovery']","['sensorimotor feature', 'association', 'internal state and emotion', 'other abstract concept']","[0.25, 0.25, 0.0, 0.5]"
advice,"['unwanted', 'mentor', 'crossroads', 'burden']","['internal state and emotion', 'social constellation', 'association', 'other abstract concept']","[0.0, 0.25, 0.25, 0.5]"
agony,"['writhing', 'dentist', 'defeat', 'silence']","['sensorimotor feature', 'association', 'association', 'sensorimotor feature']","[0.5, 0.0, 0.0, 0.5]"
agreement,"['handshake', 'contract', 'compromise', 'relief']","['sensorimotor feature', 'other abstract concept', 'social constellation', 'internal state and emotion']","[0.25, 0.25, 0.25, 0.25]"
amazement,"['wide eyes', 'gasped breath', 'frozen moment', 'discovery']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'association']","[0.75, 0.0, 0.0, 0.25]"
ambition,"['climbing', 'sleepless nights', 'competition', 'sacrifice']","['sensorimotor feature', 'internal state and emotion', 'social constellation', 'association']","[0.25, 0.25, 0.25, 0.25]"
ambush,"['predator', 'darkness', 'trap', 'surprise']","['association', 'association', 'association', 'internal state and emotion']","[0.0, 0.25, 0.0, 0.75]"
amusement,"['carousel', 'laughter', 'distraction', 'tickets']","['sensorimotor feature', 'internal state and emotion', 'internal state and emotion', 'association']","[0.25, 0.5, 0.0, 0.25]"
anger,"['fist', 'red', 'yelling', 'betrayal']","['sensorimotor feature', 'sensorimotor feature', 'sensorimotor feature', 'association']","[0.75, 0.0, 0.0, 0.25]"
anxiety,"['racing heart', 'exam room', 'overthinking', 'sleepless night']","['sensorimotor feature', 'association', 'internal state and emotion', 'internal state and emotion']","[0.25, 0.5, 0.0, 0.25]"
apology,"['mistake', 'forgiveness', 'awkward silence', 'repair']","['association', 'internal state and emotion', 'social constellation', 'sensorimotor feature']","[0.25, 0.25, 0.25, 0.25]"
